,Skill cat: Information Technology,"Skill cat: Maintenance, Repair, and Facility Services"
2023-01-01,0.33784256171232285,0.12603641366616755
2023-02-01,0.3378685304736163,0.12609675212643817
2023-03-01,0.3370893521629508,0.12606297953547005
2023-04-01,0.3357741167458156,0.12602725200210044
2023-05-01,0.33472289111119596,0.12562545747864728
2023-06-01,0.3349141845990059,0.1251026280348458
2023-07-01,0.3362177009767995,0.12517189598169273
2023-08-01,0.33807218617659585,0.12562110430785597
2023-09-01,0.34037316728337624,0.12566499291464053
2023-10-01,0.3425658197915873,0.1254529885133822
2023-11-01,0.34350787316365106,0.12552389255710403
2023-12-01,0.3431205010375587,0.12569675227832855
2024-01-01,0.34240541655092627,0.12561931209538937
2024-02-01,0.3421927128327061,0.12586494421990452
2024-03-01,0.3427995747727541,0.1265050476246178
2024-04-01,0.3438765972015898,0.12675583244835562
2024-05-01,0.34509188399357993,0.12650338239329328
2024-06-01,0.3463614798271348,0.1264674429164401
2024-07-01,0.34703501926582236,0.12671939716135758
2024-08-01,0.3460508845789095,0.1268289113551588
2024-09-01,0.343568618243568,0.12701860544839083
2024-10-01,0.34103933122712676,0.1273492047851212
2024-11-01,0.3392361661885021,0.1271472876213795
2024-12-01,0.3378199653508943,0.12670556389639823
2025-01-01,0.3368415877168984,0.12688154519709355
2025-02-01,0.3369165742796256,0.1270893806758718
2025-03-01,0.33773465238874617,0.12677667293381026
2025-04-01,0.33802829843226684,0.12705700617804833
2025-05-01,0.3369990279905381,0.12803131385614347
2025-06-01,0.3353151216576279,0.12785674658956056
2025-07-01,0.3340333046437056,0.1269291040493618
