,Skill cat: Information Technology,"Skill cat: Maintenance, Repair, and Facility Services",Skill cat: Architecture and Construction,Skill cat: Design,Skill cat: Media and Communications,Skill cat: Business,Skill cat: Health Care,Skill cat: Finance,Skill cat: Human Resources,Skill cat: Manufacturing and Production,Skill cat: Marketing and Public Relations,Skill cat: Energy and Utilities,Skill cat: Customer and Client Support,Skill cat: Education and Training,Skill cat: Public Safety and National Security,Skill cat: Science and Research,Skill cat: Analysis,Skill cat: Environment,"Skill cat: Transportation, Supply Chain, and Logistics","Skill cat: Law, Regulation, and Compliance",Skill cat: Physical and Inherent Abilities,Skill cat: Administration,Skill cat: Social and Human Services,Skill cat: Sales,"Skill cat: Performing Arts, Sports, and Recreation","Skill cat: Agriculture, Horticulture, and Landscaping",Skill cat: Personal Care and Services,Skill cat: Hospitality and Food Services,Skill cat: Property and Real Estate
2023-01-01,0.3379951161326815,0.12662476426595626,0.07328747205411237,0.0437842740474888,0.5417267795455544,0.5227016898740048,0.2358655654386723,0.23734957574920645,0.08799244716413887,0.12232555085202523,0.14666721573167807,0.01565383438097248,0.32776002362430057,0.12067728154858103,0.040280811073076225,0.13026868821851212,0.15449982304971355,0.018231719818063163,0.21903151568225543,0.3385280958966596,0.6590910246466966,0.2936603956225571,0.027839675899393956,0.26769436470574476,0.007935436646123199,0.007948568099805467,0.007158475082981721,0.10683355232153706,0.014422231049273884
2023-02-01,0.33950734184678694,0.12811490229349548,0.07402232945255166,0.04344780752961185,0.5407880210476468,0.5229112940020817,0.2353923007818967,0.23809793505991111,0.08833583112503123,0.12321067953764431,0.1464608652601609,0.015869319374487587,0.327780188292659,0.1213687251931876,0.040444731894195576,0.12985837627657631,0.15477733849854902,0.018641262384471845,0.21910061512780554,0.33801872821811796,0.66144414574305,0.2926162880133024,0.028442834408208002,0.2679111428646192,0.007963975671410812,0.007954485818925789,0.00713486604450074,0.1062734396459065,0.014445564911488374
2023-03-01,0.3421365834203653,0.12934669318777858,0.0753987828981989,0.042792648231892286,0.5390358933225904,0.5226034895441328,0.23327940762097335,0.23836917197211938,0.08877393882668917,0.12419295821514831,0.1461783497399372,0.015955129129390427,0.3276430828992817,0.12127120948704595,0.040500573862917666,0.12875281558613494,0.154963283690586,0.019032939145393758,0.2197726729316064,0.33738138854999467,0.664578753432407,0.2917724383972954,0.029076587027856475,0.2684709257085676,0.007918611412238326,0.00795340984129446,0.006995383514511334,0.1056396669287655,0.014466260602262564
2023-04-01,0.34537056637192437,0.12951598851891255,0.07686780177880967,0.04215794239242729,0.5374631803318363,0.5223436995569035,0.23047238814850424,0.23834371102992558,0.0894659856515139,0.12496114996639685,0.14625360127743883,0.015905670749298956,0.32610806042631074,0.12051091375627654,0.04053600203368677,0.12730486479590483,0.1551408621916119,0.0193974870889165,0.22109014044101305,0.33680385395536716,0.667514714468337,0.29159723679453253,0.02972501421280401,0.26919745055996813,0.007808183995090225,0.00794711133578465,0.006768812128201093,0.10493355362361126,0.014482262203391844
2023-05-01,0.34877263052758717,0.12857370731627066,0.07797396720737321,0.0418105543555533,0.5372905806217213,0.5230700648497117,0.22823303450110577,0.2384973604863188,0.09022996404046224,0.1257557965281621,0.14664473068050818,0.015835340992493,0.3226000326993886,0.11963025963632473,0.040636634193677725,0.12569337880516945,0.15564993241847735,0.01974169131839228,0.22243693224024297,0.33698604977284596,0.6692095663163328,0.29241146121546246,0.03036816366479026,0.270014791223072,0.007683525234422542,0.007937021979944205,0.006488868569323871,0.10415678958298638,0.014520156314894856
2023-06-01,0.35199946757295447,0.12746409485706184,0.07858826998473804,0.04174909881673856,0.5385525329098455,0.5249603992574007,0.22734415728552426,0.23896459768566541,0.09086300706232808,0.12690543395457704,0.14725791474122124,0.015813410044560973,0.3176185822678441,0.11939687522476523,0.04085801802021717,0.12385839863703635,0.15638509210464274,0.0200789736349532,0.2226244609989444,0.3383428694773939,0.6691710413865735,0.29385872418073233,0.030982671430243598,0.2710391454858407,0.007600752443480879,0.007924287765426955,0.006170116530872156,0.10331144708666881,0.01452095053027836
2023-07-01,0.3544332238541334,0.12757450410630894,0.07884800063317013,0.04166723191139832,0.5397143426519945,0.5279518065074408,0.22751513259739672,0.23968172504447,0.09127153950209699,0.12828519204468664,0.14807731544899239,0.015853589005088944,0.31243478834597027,0.12032610201902287,0.041199188259479116,0.12161238602999086,0.15691351903151615,0.020423693784011817,0.22107009220249685,0.3404276471137426,0.6676934541267115,0.2956109389507869,0.03154279281054712,0.2723560945545587,0.007582042907953888,0.007909817348473595,0.00583193125211692,0.10239999195648958,0.01446421110107092
2023-08-01,0.355567608245801,0.12973359270002166,0.07906217566888604,0.04110037563232639,0.5387903202832715,0.5315409196550573,0.22734830147216714,0.24028725045812613,0.09132153968388904,0.12951171810772555,0.14885599152818463,0.01592500180827669,0.30832557450199727,0.12228186920445108,0.041578492721698015,0.11869763057203617,0.1572178321910617,0.02078628816232059,0.21889224308517863,0.34225016112699336,0.6655425127793307,0.2971974385304374,0.032021803413399746,0.27378299855103994,0.007600748010439284,0.007894324167122258,0.005519167345186325,0.10142529366769384,0.01438506976866567
2023-09-01,0.3558910352400451,0.13347094282300243,0.07972756671991242,0.039671705417272905,0.5347722808424665,0.5343800529646408,0.22493505379745,0.24047126229881943,0.09080567747361189,0.1305575998754544,0.14963964870604385,0.01591096175187784,0.30576813479483644,0.12445685951037333,0.04185224677696678,0.11483001229315659,0.15730380382362633,0.021165966631884612,0.2185354593353216,0.34313046224584043,0.663326542129479,0.2980697619380528,0.03239369613035464,0.27492278816181287,0.007594395083193796,0.007878362191255598,0.005280069748769068,0.10039063436621593,0.014365081381026464
2023-10-01,0.35702782970932706,0.13710771912694347,0.08144155353361537,0.03732936056889458,0.5283676485828364,0.5361066273826752,0.21882097191823052,0.240432588703819,0.08966435900276255,0.13184671503612294,0.15065092769301974,0.01579962355655997,0.3039771260058689,0.1257223983290737,0.04189157051567704,0.10986632131430454,0.15715583905212452,0.021547180474250856,0.22194620234281104,0.3432445094372252,0.6610346095376372,0.29860499281385955,0.03263506634025716,0.2754626292811989,0.007497718916325101,0.007862355599349346,0.005124582023637363,0.09929971670102646,0.01446042910238807
