,Skill cat: Information Technology,"Skill cat: Maintenance, Repair, and Facility Services",Skill cat: Architecture and Construction,Skill cat: Design,Skill cat: Engineering,Skill cat: Media and Communications,Skill cat: Business,Skill cat: Health Care,Skill cat: Finance,Skill cat: Human Resources,Skill cat: Marketing and Public Relations,Skill cat: Energy and Utilities,Skill cat: Customer and Client Support,Skill cat: Education and Training,Skill cat: Public Safety and National Security,Skill cat: Science and Research,Skill cat: Analysis,Skill cat: Environment,"Skill cat: Transportation, Supply Chain, and Logistics","Skill cat: Law, Regulation, and Compliance",Skill cat: Physical and Inherent Abilities,Skill cat: Administration,Skill cat: Social and Human Services,Skill cat: Sales,"Skill cat: Performing Arts, Sports, and Recreation","Skill cat: Economics, Policy, and Social Studies","Skill cat: Agriculture, Horticulture, and Landscaping",Skill cat: Personal Care and Services,Skill cat: Hospitality and Food Services,Skill cat: Property and Real Estate
2023-01-01,0.1417677598324151,0.21880008331264972,0.20113247520867114,0.00624969828992554,0.08021305792161289,0.2828658694132406,0.23805492051040297,0.03186184264685745,0.07478756721138394,0.020346975167746643,0.021087775158318375,0.02406906756589032,0.17501837491518363,0.021319594831793992,0.014908526817098273,0.022939432312659318,0.08173928503017426,0.026255323974907818,0.6099086648799431,0.33071405027406514,0.42169661288017757,0.12182162904580837,0.0028603917354862373,0.11918553796941854,0.0006290147758160431,0.009762441154295674,0.005962726567611522,0.0004904053748274991,0.03911600025803783,0.0006061505154211768
2023-02-01,0.1435746734824677,0.2256496552508394,0.20549222890149985,0.006659674352896213,0.08311551182246261,0.275539775494861,0.24433347930308053,0.033746328803690134,0.07659682450288643,0.02142515201625283,0.021085301957272366,0.02422094785991273,0.1799952471402819,0.022257847269727606,0.015505770779097304,0.02350099153646331,0.08305267830461743,0.02718339997390986,0.607093146640743,0.33134479707320946,0.43342569367041117,0.12713733724690812,0.0030729701262189207,0.1217516862939148,0.0006288625922351292,0.010799328037890707,0.0061413716164949155,0.00050191527237726,0.039431992477978364,0.000668846947294976
2023-03-01,0.14573954152369548,0.23196351480914543,0.21299374595896578,0.00705186069634551,0.08538963052968117,0.2676202133044752,0.2508527806556615,0.03533600695713079,0.07904736479794162,0.02244849501652225,0.020897314819619213,0.024322195877829383,0.18554453210269312,0.023004557042373246,0.016312696177227484,0.02450227302623502,0.08422104732827575,0.02799980528616529,0.6060949086785905,0.3375969968080882,0.44518666741353374,0.13342840347102056,0.0032718840382594087,0.12415361826222181,0.0006387968909565215,0.011885524715774368,0.006279895269688779,0.00048112856096698894,0.03969367740402114,0.0007584625493155927
2023-04-01,0.14914219191461303,0.23847254552553843,0.22151000178328575,0.007408412816635721,0.0857004576204335,0.25952950690331983,0.25784982223246455,0.03608472026761277,0.08288982514198572,0.023438744470231622,0.02106645433071537,0.024960834557949618,0.1920827407724776,0.023702507648022637,0.017272924689418646,0.025971372185656268,0.0857509935545082,0.028753382891571748,0.6039943657094123,0.352388904276493,0.45485116557561484,0.13858181836771277,0.0034482055358194576,0.12764640672055003,0.0007321100628749133,0.01301714132886223,0.006413995743063677,0.0004370266875460922,0.04001348916707073,0.0008551507681784022
2023-05-01,0.15455885627245727,0.24593284631105153,0.22998029687806235,0.007737004796477553,0.08444693982765247,0.2516992700336924,0.2669650611395778,0.03612930015200289,0.08795184787788052,0.024398701981383625,0.021533609464122194,0.025409596737600678,0.20055861411900003,0.024835932545826493,0.018176101618803616,0.027865336789749763,0.08887486893038847,0.029604052920719347,0.6009756685233183,0.3754894764485066,0.46491511751146397,0.14173716134135356,0.003650585769540451,0.13275229672374173,0.0009110977721534055,0.014124902810870664,0.00658368342281118,0.00037897576342450865,0.04121556013213493,0.0009355889541702231
2023-06-01,0.16242019672705738,0.25535355597533166,0.2399389107632476,0.008013789086528372,0.0842865547821221,0.24455248408146335,0.27952648889080806,0.036719730816930404,0.093189004311377,0.025440345164973115,0.02222925911680685,0.02569106906214122,0.21117190149640114,0.02686502083171524,0.019015869179820573,0.03028486208183303,0.09425753979799584,0.030626078855453473,0.599582209683477,0.4034924821665411,0.4806913816421884,0.1437569483992987,0.003972383735734645,0.13877756422238824,0.0010879610346910575,0.015206131834896292,0.006760254544825317,0.00038251319271188564,0.04401894792665352,0.0009902082100967239
2023-07-01,0.17176324408238502,0.26623888365800324,0.2527772618593066,0.008271724347683414,0.08660288251912329,0.23848685956338717,0.29258532370569756,0.038846838220275084,0.0974358880552231,0.026445306974536145,0.023009216891772395,0.026179962989657832,0.22332840431936107,0.029465539958753995,0.01991894768385865,0.03287489756007543,0.10011338364746532,0.031462387579988774,0.5992473264417334,0.43103997418521056,0.5014926910624995,0.14543855655648372,0.004421664327411715,0.14373148743321779,0.001190402879251903,0.016299571364528725,0.006840932344391362,0.0005155849581443299,0.04806893536164681,0.001027220040317576
2023-08-01,0.18098611003333326,0.276743870084271,0.2678968674835661,0.008517420740815126,0.09037023585737815,0.23385972910593295,0.2999682544892037,0.04184334069691132,0.10020362101875097,0.027248775120634606,0.023825116475310576,0.027158706046813138,0.23538289406524698,0.031674643546698245,0.0210808292384199,0.035060473470626165,0.10278149884221532,0.03214470535919431,0.5973703220999436,0.4531643446204887,0.5172819432318827,0.14633534376491336,0.004860346355892791,0.14481029125638423,0.0012381773814657973,0.017400270933315483,0.006682173391196358,0.0007630315554209175,0.05124133804340538,0.0010510613240891635
2023-09-01,0.1889023050304472,0.28487581468483353,0.28376124147234166,0.008683729109355767,0.09372146138129028,0.23097467309267578,0.29776524427236767,0.04410266274743954,0.10143591595325223,0.027931382874108842,0.024713462781307455,0.028930945080073312,0.2456409890160041,0.032853905551572304,0.022470545789797014,0.0365342755590915,0.09995476955102534,0.03302853131122022,0.5910893999415645,0.46867518020536725,0.5193614463191151,0.14528819248174307,0.00513047089044954,0.14083650834821118,0.0013052692595582455,0.018436682936425253,0.006266836130421801,0.0009950344298588036,0.05122521244644727,0.001070068776243566
2023-10-01,0.19603263177205055,0.2903657216123847,0.3000815669246118,0.008751338733468977,0.09579586664013987,0.23007005444197182,0.2902303845323452,0.04461231042861023,0.10209749614107248,0.028792449685315344,0.025482417566418225,0.031599186897238,0.25370907835608913,0.03331421627468427,0.023833433373464698,0.03758870270399203,0.0946812783168246,0.034037817805647366,0.5812203735372966,0.481536586521511,0.5131666015304406,0.1423635158328599,0.005193270269593148,0.1344798764461013,0.0014317064408905264,0.019365190577234584,0.005861607636123058,0.0011101852638816792,0.04855720032888159,0.0011029240313734328
