,Skill: PTC Windchill,Skill: Valves (Piping),Skill: Blogs,Skill: Ecology,Skill: Microsoft Teams,Skill: Orthopedics,Skill: Hydraulics,Skill: Financial Sales,Skill: Inventory Forecasting,Skill: Medical Ventilators,Skill: Information Systems,Skill: Brand Loyalty,Skill: Safety Culture,Skill: Equipment Calibration,Skill: Furniture Assembly,Skill: First Article Inspections,Skill: Human Capital,Skill: Logo Design,Skill: Landscape Architecture,Skill: Account Management,Skill: Risk Mitigation,Skill: Technology Strategies,Skill: Organizational Architecture,Skill: Daily Production Reports,Skill: Technical Sales,Skill: Relational Databases
2023-01-01,5.5738024255691084e-06,0.029037733147742828,5.8717985486486436e-05,0.00010967559715081115,2.570777926106792e-05,3.1437723218835355e-16,0.022648513355532144,-9.318731601798026e-14,0.00027595238391295453,0.0007920762388601327,0.00091161300554011,-1.3185873946805634e-05,0.0041176033030122915,1.9264290754840272e-05,0.005554015876078492,0.0017814932813838336,-1.1781983392472786e-07,0.0003428105996380753,7.45166028059697e-05,0.0005414092494927278,0.00035203874196907504,0.00023950911115757555,0.00020621649044419004,0.00029386711631259374,0.0012177154928926682,2.8852340847244728e-12
2023-02-01,2.547310722534454e-05,0.02946794547690432,2.462340907960841e-05,8.944818924132983e-05,-1.5373445204834915e-05,5.563228955092561e-07,0.02294223087399089,-6.732317004109656e-13,0.00013811406273971273,0.0008134185787110179,0.0012212241461367554,-4.9615787011007964e-05,0.0038178278377751507,4.9795642365249995e-05,0.005705017163539609,0.002395279570975165,-3.2768119848313297e-07,0.00041958569385570145,7.401543738073566e-05,0.0005713036197142599,0.00025804613073006247,0.00023950911115758796,0.00017309869963921736,0.00026436416037149745,0.0006280948080391988,5.032423295589057e-12
2023-03-01,5.8277870988702316e-05,0.0303748968544045,-2.705779304956831e-06,0.00013222666355043735,-8.653513717112428e-06,6.981321104568182e-06,0.023352276252660138,-4.023693594170789e-05,-0.0002581298467438787,0.0007964205045168885,0.001559485012143212,-6.689204186585618e-05,0.003577750974050252,7.780338723834816e-05,0.005780143444771949,0.003205533743688527,-5.106128826082312e-07,0.0004664727414334636,8.574493822690801e-05,0.0006222995360520877,0.00020509169647494637,0.00017345882937941338,0.00016123394444901733,0.0003009460625973979,-0.0007247091200028907,1.2770015588051513e-11
2023-04-01,0.00010104712165729875,0.03158255179939799,-2.303289543620636e-05,0.0002065921095715135,3.0460647114196026e-05,2.2439789936388792e-05,0.023467410300047276,-0.00014529990967942637,-0.0010390349425047373,0.0007450619122563436,0.0018536581646237515,-3.2716663719495776e-05,0.0032143010205656266,0.00010753768575534134,0.005778680493019869,0.004275789555394848,-6.238852433654531e-07,0.00046453457635993456,0.0001183737137912581,0.0007002041527322837,0.00014201190886445979,-1.5940576955794507e-05,0.00014354981518860887,0.00045878303510636344,-0.002958323533751334,2.4093834412215872e-11
2023-05-01,0.0001238632798563395,0.03305870890788936,-3.6515868861628477e-05,0.00027393079160326463,8.127145747237639e-05,4.445921849242511e-05,0.022598586063842525,-0.00024301817865271264,-0.0022953340840518657,0.0006997043984793048,0.0021358771579642766,1.2936352145031315e-05,0.0027361522136277877,0.00014160308189303884,0.005727425055811376,0.005690085170838296,-6.922830297841397e-07,0.0004491220597811573,0.00016525595373334371,0.0007258492257714123,8.305636198601608e-05,-0.00030008755646418174,0.00013070344033325082,0.0006387208022115883,-0.006315205143407108,2.4246867959815794e-11
2023-06-01,2.3160918644082647e-05,0.034845354504967674,-4.363235097954137e-05,0.0003068537928163622,0.00011279039070569559,6.649834538444694e-05,0.02142269655013493,-0.00022455184228130674,-0.003991112217030791,0.0006579270267725064,0.0022740241065318384,3.924344952057715e-05,0.0020604076743394326,0.00016217789014090744,0.00579378101953135,0.007559571650449918,-7.30626678031245e-07,0.0004569624156206418,0.00019500721572331098,0.0007181099658634968,2.5840128900157214e-05,-0.0005826820835997317,0.00010945473873522784,0.0006550965234695596,-0.010976670918914935,1.4586374574433383e-05
2023-07-01,-8.974494884072656e-05,0.03622920578639051,-4.510133270725122e-05,0.0002988062534220039,0.00012373250582325225,8.474375746763383e-05,0.020934089359713654,-0.00010241561259729471,-0.005821583246476888,0.0005815853282757543,0.002092049663272885,6.262980612472903e-05,0.0014431002442977514,0.00017752120792740932,0.006192324995756481,0.010031259222375454,-7.400146180309451e-07,0.0004677485958701599,0.00021983790968166706,0.0007125727806549621,4.139036886796781e-05,-0.0007950042114213054,8.580013172012916e-05,0.0004898114675240873,-0.01693065039545332,4.989762123112052e-05
2023-08-01,3.218957424820263e-05,0.03647496909918841,-4.180583167220129e-05,0.0002625264618085851,0.00011822063976627651,9.986988477807122e-05,0.021125845258411543,-1.3379381775775517e-05,-0.007027305772118151,0.0004938783271513771,0.0015731107352704114,0.00010229700449811911,0.0010264694762242045,0.0002030667690917994,0.006679035550289376,0.01329958835126037,-7.321193301514415e-07,0.0004606332739354334,0.00026458376035957135,0.0007246325952153336,0.00011588950089554897,-0.0009492669090579856,7.037076103943405e-05,0.00028440557246831125,-0.02375901619942421,7.397368140377232e-05
2023-09-01,0.00027072403807547454,0.035608250771315485,-3.472038168993825e-05,0.00022038916343300469,0.00011209326979827911,0.00011256973817778165,0.02165634261680756,-2.1223444542816915e-05,-0.00620406395824425,0.00039629631933618404,0.0007399738025553283,0.00015455302982080415,0.0005273439079867713,0.00021794749910844678,0.0068746786018037956,0.017621735852156678,-7.226784482056784e-07,0.0004042317470007553,0.0003250509487575846,0.000749167835009437,0.0002557683109730509,-0.001055088472864951,4.1045013507922805e-05,0.00015223529081276023,-0.03018096087985001,4.091707871182132e-05
2023-10-01,0.000418016569936362,0.034008386517353925,-2.4846181376820476e-05,0.0001925763179776961,0.00011173490174564918,0.0001229307081909282,0.021528382472881056,-6.583479753748269e-05,-0.001199546891686572,0.0003243822191848657,-0.00040813194450119855,0.00019485500338574849,6.642772557988088e-05,0.00020958135075525272,0.006813317583486736,0.023337860751807753,-7.173465014213014e-07,0.00028346496972826577,0.0003926831164881785,0.0007101785893031395,0.00047341513913046093,-0.0011221822452040103,2.1872838123004033e-05,0.00014782785351243586,-0.034048789146440606,-4.7764202481827026e-05
2023-11-01,0.0002991902612233014,0.03225368763801743,-1.315588668618606e-05,0.00018871116853193772,0.00012795155793524684,0.0001313552382709468,0.020966230570757038,-8.02841510595324e-05,0.010740678843118148,0.00028056944204484614,-0.001941333575217856,0.00019831049865170103,-0.00023946565424512803,0.0001828116172587959,0.00684421272179096,0.030897883692216764,-7.14754439601334e-07,0.0001393928240046041,0.00046260453584228464,0.0006419703902490338,0.000725490381024106,-0.0011587032013325432,1.3307899769148023e-05,0.0002510653058541329,-0.03236009449606461,-0.00012903664463308293
2023-12-01,-5.245072658719117e-05,0.030477420106062962,-5.492074496512578e-07,0.00020588315052161407,0.00015704353658558938,0.0001381825636776879,0.020632405780727368,-5.399138666043571e-05,0.032336210964682734,0.00024047615906309613,-0.0039414091046300805,0.00016567643302099964,-0.00042176483322482923,0.00015542952659136153,0.0071310562532464076,0.040896908147607186,-7.141361895086113e-07,-3.1014491459508856e-05,0.0005210146138999347,0.0005920163507683361,0.001043732885950785,-0.0011714681353161675,-6.244916849892045e-06,0.00040517171524901156,-0.020993544140997255,-0.00015491314432058113
