,Skill cat: Information Technology,"Skill cat: Maintenance, Repair, and Facility Services",Skill cat: Engineering,Skill cat: Business,Skill cat: Health Care,Skill cat: Human Resources,Skill cat: Manufacturing and Production,Skill cat: Marketing and Public Relations,Skill cat: Energy and Utilities,Skill cat: Customer and Client Support,Skill cat: Public Safety and National Security,"Skill cat: Law, Regulation, and Compliance",Skill cat: Physical and Inherent Abilities,Skill cat: Social and Human Services,Skill cat: Sales,Skill cat: Hospitality and Food Services,Skill cat: Property and Real Estate
2023-01-01,0.8820762527782464,0.059465204083095524,0.16412050059068184,0.8194146823808095,0.12461209524675866,0.09279562450319997,0.1345747219709028,0.1365559453617356,0.015929990421953713,0.29376428982976177,0.12202029023873176,0.31290914333019276,0.8148650512925505,0.018167382403345013,0.21181853993804445,0.018481238115537323,0.007702766631458232
2023-02-01,0.8834566080802884,0.0592510859104429,0.16608561748379314,0.8213080385564187,0.1243928648110314,0.09540054609089191,0.13466610459332898,0.13681439276800308,0.01609417406652377,0.2962829576363408,0.12023320689399201,0.3127432147704202,0.8154881841539974,0.018385435388917536,0.2112663293928279,0.018258849633429823,0.007963523476062623
2023-03-01,0.8855254120043277,0.05895103278889419,0.16816767659374093,0.823239759798198,0.12416126908530595,0.09820053309212298,0.13441354150824944,0.13707515625326866,0.01631314930705402,0.29750228187654104,0.11735405376896235,0.31249045766712047,0.8147586889684412,0.01848464020905785,0.21103353432613872,0.01810920623613063,0.00827068523267866
2023-04-01,0.8882636164508548,0.058969304573145157,0.17037430591333613,0.8252119607126499,0.12436832778462127,0.10132035263968514,0.13432348312704978,0.1373381348251647,0.016438194228754553,0.296603077298601,0.11446262100686617,0.3127540214099789,0.8126538654697691,0.0184565713688353,0.21126330533233348,0.018022485206443072,0.008477177150090637
2023-05-01,0.8917095619205416,0.059393236981744424,0.17271363196337083,0.8272267449506865,0.12491794909164262,0.10481229973114906,0.1346123584152205,0.13760323360856702,0.016342470291827622,0.29380942739730076,0.11264516365446459,0.31270218234157365,0.810139973859805,0.01832611412108118,0.21174911174675143,0.017799680453198387,0.008439496154598276
2023-06-01,0.8959989697293557,0.05986950405549266,0.17519431237521474,0.8292862090977392,0.12543138872833215,0.10855550296670473,0.1346399882649243,0.1378703634800214,0.016099792103750524,0.2902713011767467,0.11206149616379049,0.31197625606927437,0.8086256807853158,0.018152697136170574,0.211884505333596,0.017593642259274393,0.008132700313057547
2023-07-01,0.9013356538646621,0.060352289313390026,0.17782557060293344,0.8313924464087535,0.125983861673752,0.11241738092165196,0.1342814041819152,0.13813944072402748,0.015841380473636466,0.2872935779143182,0.11199440194288612,0.3113573318571417,0.8087133026831235,0.018020890386447736,0.21165695059577172,0.017471934932523914,0.0076559053077413525
2023-08-01,0.907802775920367,0.06082741200692043,0.18061723290410978,0.8335475503999755,0.12658943974986522,0.11642537655626298,0.13378767289598406,0.13841038670987318,0.015587002112249934,0.2854536006097055,0.11173156810580162,0.3111235941732243,0.8093675387059962,0.017997907832771803,0.2109573153584329,0.017354253822065527,0.00716004283014925
2023-09-01,0.915173862433563,0.06109653571383771,0.18357976773764498,0.8357536183087623,0.12713671744573665,0.12071121609738106,0.13346276950756025,0.13868312758779122,0.015294860173349273,0.28422934060806726,0.11134057003215575,0.31121383177477285,0.8083311736688107,0.0180886648816403,0.21013877794147626,0.017292738297525694,0.006761677712206126
2023-10-01,0.9229879174350653,0.06113815966816667,0.18672432773650785,0.8380127544320157,0.12744963035825507,0.12533118348235006,0.1332583592377078,0.13895759400328211,0.015006693959599263,0.28238486042314914,0.1114677675165654,0.31131725809118027,0.8036153836386754,0.018237242624315045,0.2099092226303858,0.01730480179530209,0.006498082080305052
2023-11-01,0.9308720124397412,0.06111098876762393,0.19006279442372462,0.8403270733532455,0.12762417694648054,0.13021814839198426,0.13307444409629893,0.13923372082851776,0.01484263229956266,0.278864527541064,0.11243050226034984,0.31117332679812437,0.7950204053589209,0.0183777898842983,0.21018268188649175,0.017444095982102975,0.006332085348214939
2023-12-01,0.9387702426357388,0.06123447633542921,0.1936078258509012,0.842698703067716,0.12791190176135733,0.13530407154658863,0.13294118352545978,0.13951144690980447,0.014857343985586233,0.27366669323975723,0.11381102201709117,0.31114559726125834,0.7845780094190182,0.018485617352298506,0.21058052204491395,0.017603784557841003,0.00618834233949333
