,Skill cat: Information Technology,Skill cat: Architecture and Construction,Skill cat: Design,Skill cat: Engineering,Skill cat: Media and Communications,Skill cat: Business,Skill cat: Health Care,Skill cat: Finance,Skill cat: Human Resources,Skill cat: Manufacturing and Production,Skill cat: Marketing and Public Relations,Skill cat: Energy and Utilities,Skill cat: Customer and Client Support,Skill cat: Public Safety and National Security,Skill cat: Science and Research,Skill cat: Analysis,Skill cat: Environment,"Skill cat: Transportation, Supply Chain, and Logistics","Skill cat: Law, Regulation, and Compliance",Skill cat: Physical and Inherent Abilities,Skill cat: Administration,Skill cat: Sales,"Skill cat: Performing Arts, Sports, and Recreation","Skill cat: Economics, Policy, and Social Studies","Skill cat: Agriculture, Horticulture, and Landscaping",Skill cat: Personal Care and Services,Skill cat: Hospitality and Food Services
2023-01-01,0.134351095187655,0.005004866661767596,0.029380470042024563,0.010218067380292788,0.4138289376864572,0.20557905746547556,0.3901016617706673,0.0420385159792951,0.04717195203613826,0.010171005493100765,0.08282291119910991,0.0011946936023243962,0.148448739418606,0.018011511646796985,0.0740144352509072,0.04354245004511301,0.003152969264644618,0.03542670992399126,0.14240871549078435,0.5238272492983664,0.14239242574718974,0.02432792929200847,0.017822619184571883,0.05327710077327887,0.0013719440887869285,0.02720099260384043,0.046487170787251085
2023-02-01,0.1345862512621136,0.005225138590238964,0.02870497004087562,0.009992910616424685,0.4123462631358953,0.2121942530424684,0.38856302225063316,0.04520030173117877,0.04671798627794919,0.009718506235954542,0.0864317772845019,0.0013517015952122882,0.15148372609263686,0.018280972520409472,0.07381638510138876,0.04396382358009989,0.0034344715177326334,0.035651962611550785,0.14249340544255718,0.5275279269004182,0.14051546008868968,0.02444582885613049,0.017939811086591775,0.057729646802365066,0.0014387871373577705,0.02695570228841703,0.04500479087913984
2023-03-01,0.1348981046152248,0.005395171839365135,0.02768439102736716,0.009816289781732525,0.4095023425918982,0.21750213450723888,0.3871492881407517,0.048838595342050865,0.04566552944595517,0.009488342002284003,0.0899300990658068,0.0015060511911001012,0.15339140959607794,0.018503794886439374,0.07267105744847152,0.043912977694705535,0.0037438631539375156,0.036187326625316804,0.14331073273510775,0.5314474135905127,0.13875871879509735,0.024502765226017686,0.017961405962098005,0.06092282480253216,0.001546527401466373,0.02672510083164588,0.04351528891327203
2023-04-01,0.13500003683050518,0.005483248891702219,0.0268401501612284,0.009743216726530186,0.4069680571087922,0.2222822454540399,0.3858496032869823,0.05301508264973798,0.04474065287354307,0.00956541055981544,0.09351869427358396,0.001650162510575295,0.15414329823729686,0.01868001192062802,0.07159265311830137,0.043667046668543534,0.004082754975714294,0.036924400730493884,0.14562681096245073,0.5354394606381966,0.1376955120501853,0.024637087667821005,0.017861773103041607,0.06269979454339869,0.0016231208321694861,0.026507341986112053,0.04202912396463181
2023-05-01,0.13452787669911762,0.00551449427998615,0.026475128555899893,0.009781024975111432,0.40488196407323485,0.22748398033152872,0.38462912869210636,0.05779936983426799,0.04444837294399785,0.009798649713912297,0.09688735890103208,0.0017771830474111404,0.15374982357106054,0.018810820116790302,0.071319691201612,0.04331306212243767,0.004452831668210037,0.037839734586346443,0.1496567137291578,0.5391393727979816,0.13765744873012284,0.024663878125485632,0.017792206018837554,0.06417397054073672,0.001688747226255121,0.026300749436487973,0.04055598644532545
2023-06-01,0.13371273580412027,0.005545067105835452,0.026466317693465156,0.009913645893016226,0.40381579408866974,0.2331246608958628,0.38343745627542286,0.06327000509434509,0.04510395987099568,0.009961581796585961,0.09988087860550848,0.0018814205632576321,0.15225995453871916,0.018898544658138432,0.07213749971860957,0.04329150750000263,0.004855856245128966,0.038806823489346935,0.15525392744803798,0.5447734802062938,0.13851891055648935,0.024346857346159916,0.01793066136992478,0.06654196875517053,0.0017559508598363263,0.02610380821243526,0.03910470908050651
2023-07-01,0.13348898107284057,0.005545640455527645,0.02633899725289284,0.01011754422229004,0.4046358759233438,0.23851236578699644,0.3822180672118327,0.06951563176911305,0.046245274231632716,0.00992484979772388,0.10237315244384487,0.0019586796266696993,0.14975952658599778,0.01894657237735992,0.0736935438003226,0.0440443842511998,0.005293674688656521,0.03969870852410858,0.16219566319369094,0.554022491655457,0.1398730015650336,0.023442314508483976,0.018424838429163107,0.0701118838868872,0.0017930098345434737,0.025915155441719292,0.03768319657235952
2023-08-01,0.13499561403980634,0.005457714414798193,0.025771764387006152,0.010386104084948992,0.4066152857036401,0.2430392726140493,0.3809177881140605,0.07663628984157031,0.047048050658873374,0.009698274919399459,0.1047186443665453,0.002006482434617612,0.14636834252393316,0.01895925489586456,0.07535504533607615,0.04532100908755447,0.00576822079580506,0.040569413552310696,0.17027766010626286,0.5645860614352178,0.14136846243465712,0.022314142371287003,0.019284029342029517,0.07428676647595536,0.0018150566607612105,0.025733570701730202,0.03629837369615916
2023-09-01,0.13882154233425287,0.0053370154465736345,0.024925827790297877,0.0107508747398854,0.4098791638279213,0.24675903474645217,0.3794952539479292,0.08474488494037498,0.04714530347877265,0.009369398437562279,0.10765053355317793,0.0020241638820627334,0.14223614282275918,0.018941785301223105,0.07686740510182759,0.04657458447358194,0.006281521244047196,0.04160422189754977,0.1793082707145986,0.5745419836368268,0.1428331187015369,0.02156059493151384,0.020239122134241137,0.07816370706468649,0.0018439485367039007,0.025557966183939067,0.034956151320087246
2023-10-01,0.1444211100609127,0.005264745499228387,0.024009470256594338,0.011251019456309986,0.41211135568857704,0.25020273979719065,0.3779275331518151,0.09396884641798674,0.0464488370087099,0.00902512406996945,0.1110111362910537,0.0020128404108742124,0.13753758066133515,0.018900052381240404,0.077489059339033,0.047180555234028795,0.006835700889640823,0.04289352453671752,0.18913215263619548,0.5821154330769426,0.14415021701390304,0.02138950929365907,0.020841913121874577,0.08109106203129712,0.0018976874850339385,0.025387376847445138,0.03366140961296556
