,Skill cat: Information Technology,"Skill cat: Maintenance, Repair, and Facility Services",Skill cat: Architecture and Construction,Skill cat: Design,Skill cat: Engineering,Skill cat: Media and Communications,Skill cat: Business,Skill cat: Health Care,Skill cat: Human Resources,Skill cat: Manufacturing and Production,Skill cat: Marketing and Public Relations,Skill cat: Energy and Utilities,Skill cat: Customer and Client Support,Skill cat: Education and Training,Skill cat: Public Safety and National Security,Skill cat: Science and Research,Skill cat: Analysis,Skill cat: Environment,"Skill cat: Transportation, Supply Chain, and Logistics","Skill cat: Law, Regulation, and Compliance",Skill cat: Administration,Skill cat: Social and Human Services,Skill cat: Sales,"Skill cat: Performing Arts, Sports, and Recreation","Skill cat: Economics, Policy, and Social Studies","Skill cat: Agriculture, Horticulture, and Landscaping",Skill cat: Personal Care and Services,Skill cat: Hospitality and Food Services,Skill cat: Property and Real Estate
2023-01-01,0.26599030293004666,0.6518747242255933,0.4172876631774979,0.00934557506219362,0.3868405897763579,0.4330728639245882,0.44686608381589377,0.05217159347687953,0.023639967848278286,0.3880460054997536,0.03299066370771059,0.12744083832261444,0.25405514598027334,0.09155176923905857,0.04969234695025393,0.12790897472334578,0.06393939384777612,0.03391325002074795,0.2301839565844462,0.5348589343162693,0.17126354130819998,0.0039086971849255255,0.12226165634425235,0.0015604988515782875,0.009616887041034403,0.021223019200161786,0.0004538757269136735,0.05247343147543382,0.007409930263632091
2023-02-01,0.265280363723936,0.6458530294333743,0.41958105110159355,0.010266226213076225,0.38919826511974354,0.4367133101277064,0.4398577414593401,0.052921711498607645,0.02191347174730786,0.3786930218936554,0.03204588198729538,0.1294045403642087,0.2521640179401936,0.09431205428007457,0.05140646562975615,0.13118793398844725,0.06439397974280274,0.031442614888343795,0.23132315906731332,0.5360071627816402,0.16837416384180445,0.004252065674353236,0.1252151786797224,0.001956162979144027,0.009461817051102377,0.019980526677903475,0.00043588138409250693,0.05281393387192508,0.005706763786093479
2023-03-01,0.2659754261076738,0.6401569648967311,0.42183068555097464,0.011432917705999234,0.3928791529501501,0.44074037787940934,0.43196170296988723,0.0537576858070722,0.019395790344914607,0.3697059072739346,0.031054528989083327,0.13128733890718525,0.2512083131182814,0.096648208122348,0.05322946556378691,0.13449842276840984,0.0648691771670633,0.029596806616623655,0.2325959820820112,0.5385254035090068,0.1669243050609867,0.004573577041063568,0.1276838071582368,0.0028365630732885144,0.009292512636368863,0.019191202283806878,0.0003988351437264221,0.05299196876754211,0.004223999387315217
2023-04-01,0.2681176683659954,0.6377596068646889,0.424037892564989,0.012989042283176825,0.3967055202184516,0.4450910811888589,0.42427941683475107,0.054766369275213334,0.01650385804832379,0.3613773617773479,0.030022827990003095,0.13308385718833438,0.2512653385345669,0.09854433783082839,0.05523114929223191,0.1378430984263571,0.06535899199189779,0.028320148837608906,0.233997759878574,0.5416123651740564,0.166996432585857,0.004921672064188511,0.12912753626381557,0.004177316155156555,0.009112516267734337,0.018841683930103985,0.00039867069831999287,0.05300915645135211,0.003647083931411967
2023-05-01,0.2708222832610253,0.6417973048065071,0.4262039592284625,0.014824076046062427,0.3991641244390559,0.44984818860413095,0.41772663656377274,0.0560302170392231,0.013710929014849695,0.3532771909120985,0.028959747340286553,0.13478964027302082,0.2524297444456616,0.09999795892612837,0.05810898616470239,0.14122683731721708,0.06585754266265666,0.027540214704294047,0.2355237783430615,0.5443049588267466,0.16801827302849548,0.0052570776805995825,0.1296248781933194,0.005869011454007561,0.008925447930236353,0.018837235095072177,0.0004721953797559326,0.05287048669981042,0.00443891402468146
2023-06-01,0.2728405032323843,0.6547945370843651,0.4283301348180002,0.01677093596065842,0.3988982542616514,0.4552433112850556,0.41265547123408397,0.05762329131269497,0.011409235357349015,0.3444392887179165,0.027876134401357187,0.13640108736854398,0.2546305892104044,0.10101840545881992,0.06209725557851531,0.14465664219492808,0.06635916235829326,0.02718191565411197,0.23716933026291456,0.5462562341738068,0.17039522620725991,0.00549316777932872,0.12985974939563388,0.007768598193430162,0.008734920965155608,0.01912797628435086,0.0006003950384814575,0.05258395167379596,0.006588929537020933
2023-07-01,0.27323086209130404,0.6782463184366507,0.43041763191455995,0.018866150668484596,0.39517399099461353,0.4615889381977776,0.40888234889888164,0.059608045929261444,0.009838110610718521,0.333778115848042,0.02678422013633328,0.1379153867660814,0.2575172439256923,0.10162485977212667,0.06672267688001074,0.14814151632169914,0.06685849322783874,0.02717701079110311,0.23892976235057783,0.5483945190306521,0.1740019547321221,0.005561314589907839,0.1306874835489696,0.00975530749365721,0.008544461017730107,0.019729541817836444,0.0007224309861717871,0.05216015116592906,0.009567910540316481
2023-08-01,0.27187625157375767,0.7124673010279003,0.43246762748328926,0.021340885993869043,0.3881574173959512,0.4691736535931208,0.40585917042049713,0.06203298565494196,0.009049588173403173,0.3205295117904325,0.025697293503229076,0.1393304534499309,0.26048148537250293,0.10184414961020416,0.07143752716961346,0.15169230874162912,0.06735057118204578,0.02746901355314831,0.24080051480995773,0.5519289846101144,0.17894098373944844,0.005433703404837568,0.1326850280342768,0.01177093101119192,0.00835742987423158,0.020639297389085667,0.000788524243972642,0.05161187950488683,0.012543951815150771
2023-09-01,0.26936518166223905,0.7567765242916817,0.4344812639215891,0.02439100005510072,0.3789005761245065,0.4781576408018746,0.40285983455117474,0.06493124013518113,0.008922136574895795,0.30452617190099684,0.024629441765604075,0.14064486939733525,0.2628210298596136,0.10170845926798325,0.0761306633496468,0.1553215355396697,0.06783089996497624,0.028014084827285658,0.24277715418436077,0.5565132441638637,0.18497735587227285,0.0051098651078338355,0.13598024508467166,0.013793697174666705,0.008176955784533816,0.02176654583814226,0.0008029771217312023,0.050953703089997124,0.014764971534063915
2023-10-01,0.26634411111641154,0.8100103772979718,0.4364596500763397,0.02801185222597848,0.3690423796379727,0.4884987937590277,0.39915561134692157,0.06832004038099446,0.009224444056886437,0.2862158573286469,0.023595304835537997,0.14185782657809723,0.26398046562230193,0.10125309225560317,0.08096813200806643,0.15904318214996072,0.0682955134912548,0.02877890025736481,0.24485540017840474,0.5599173484973486,0.1920085574637992,0.004602914859814195,0.140378446653179,0.01573477212918612,0.008005871650028026,0.022920587327007243,0.0008187364214496349,0.05020153705249514,0.015892276258517184
