,Skill: Strong Academic Record,Skill: Valves (Piping),Skill: Solid-State Drives,Skill: Blogs,Skill: Ecology,Skill: Microsoft Teams,Skill: Orthopedics,Skill: Hydraulics,Skill: Financial Sales,Skill: Raiser's Edge NXT,Skill: Inventory Forecasting,Skill: Medical Ventilators,Skill: Algorithm Design,Skill: Information Systems,Skill: Team Foundation Server,Skill: Medical Records Filing,Skill: Brand Loyalty,Skill: Safety Culture,Skill: Equipment Calibration,Skill: Furniture Assembly,Skill: Human Capital,Skill: Logo Design,Skill: Landscape Architecture,Skill: Strategic Sourcing,Skill: Account Management,Skill: Team Effectiveness,Skill: Risk Mitigation,Skill: Articulate Storyline,Skill: Technology Strategies,Skill: Organizational Architecture,Skill: Security Testing,Skill: Daily Production Reports,Skill: Technical Sales,Skill: Relational Databases,Skill: Instructional Strategies
2023-01-01,9.47830809641448e-05,0.0005632487744619937,4.474228044031427e-05,7.201353462382666e-05,0.00022154485299334125,0.0011696492692100406,9.541574058544516e-05,0.00010051867221657252,4.9633637090822294e-05,0.0006660994946126952,0.00047415026342771704,3.717760636287388e-05,1.9680236384631136e-05,0.001093658143676249,3.889226928336799e-05,1.2383512947955256e-05,0.005784183408740666,0.00030184156050775757,4.3448604638613476e-08,8.5141903240418e-05,0.0002476330186112432,0.000300017137272141,0.00013252776756792926,0.0002599458372775235,0.0017102120870461281,0.0001835951621220649,0.0006650256725360389,3.9406959731435784e-05,0.0001580550213652952,0.00017063195275203967,2.1754285511609277e-05,-1.0242382976489837e-06,4.654565207445969e-05,0.00030451345056886105,3.081294103874331e-18
2023-02-01,8.25087910594159e-05,0.0006517950508343133,3.3674215677595944e-05,7.686814451768036e-05,0.0002453558985323817,0.0013195596122384066,0.00010600718759967484,9.199896086037473e-05,3.946990429561657e-05,0.0006496266237026421,0.00045180538915040147,3.950259979607497e-05,3.355248183058468e-05,0.0010452892240596678,4.361673346325484e-05,1.7808594169858913e-05,0.005888936743017487,0.0002911574123435189,1.9576026146242805e-07,9.360049718214077e-05,0.00026026583734695596,0.0003449793650535871,0.00013461983492195774,0.0002852739334920755,0.001729070303043707,0.0001987105992836111,0.000727818748070788,4.606211682307264e-05,0.0001837496455389891,0.00016393779763225914,1.4676556490647108e-05,-3.693636513551617e-06,5.135462348071105e-05,0.00037094683353536327,1.2739375526704677e-18
2023-03-01,7.386079214656767e-05,0.0007519988863328278,4.5804557592783697e-05,9.39044849659158e-05,0.00025967257260945705,0.0014800254231944396,0.00010989374172931801,7.877299634616528e-05,9.118073364010765e-06,0.0005937746136314469,0.00042450583795225537,4.134400385958517e-05,8.729491185049197e-05,0.0009832750538423126,4.73574777201647e-05,3.8255079334714056e-05,0.006033607143833313,0.0002996325816022291,3.279405320757836e-07,9.881068292297206e-05,0.0002568035919427534,0.0003860954325311974,0.00012263215247711022,0.0003141905779902984,0.001713892023448035,0.00022899871388895742,0.0007948176109006783,5.4643199175116184e-05,0.00021684801069131638,0.00017003681870631285,1.000684435245926e-05,-4.912845087329833e-06,7.131580898467663e-05,0.00045441476120044403,-4.0318768289304696e-18
2023-04-01,6.576802469975309e-05,0.0008333599448203078,0.0001068976699457931,0.00011270248614581515,0.00026185738105919114,0.0016407096687909078,0.00011492552967711815,6.683023564397541e-05,-3.59021063356357e-05,0.0005402864645783183,0.00039322503350697956,4.280867346850166e-05,0.00022123054931338213,0.0009349492206151956,5.097768672892116e-05,3.8166329008668935e-05,0.006207580209278685,0.000322627102865138,2.2484361205800105e-07,0.00010878655777300015,0.00024317434002076477,0.0003991708540255738,0.00010918084993187153,0.00035225028679023275,0.0016706182315884125,0.00026964510719889434,0.0008804192575700649,6.607867491106612e-05,0.00026618474945458524,0.00018508750150245687,5.133987193069661e-06,-2.746808325546279e-07,0.0001097354227178847,0.0005186126317630027,1.2577846672174116e-06
2023-05-01,7.392163536117026e-05,0.0008587725390271919,0.0002234130116581065,0.00012668803630595522,0.0002603724081901008,0.001806743768937151,0.00012319499319855302,4.819955084016107e-05,-8.990818048122463e-05,0.0005288814721677987,0.0003542337799411089,4.397955791819016e-05,0.00046864410685206403,0.0008754365079713485,5.549438224166263e-05,-2.0483722015268896e-05,0.006379030231045318,0.00036193078570837694,-4.5784989069303856e-07,0.00013491219667600981,0.00023092745335600814,0.00039203957316931643,0.00010192528022587858,0.0003920378579762146,0.001609832412884944,0.00031672444271682116,0.0009531056485387726,7.518404479669942e-05,0.00032132265006208,0.00022206102143190368,8.767052849473434e-07,1.353839894192612e-05,0.0001544994433772299,0.0005383531263343637,3.840101935624771e-06
2023-06-01,0.00011046994325259889,0.000819712160975897,0.0003939583303505759,0.0001406740363269006,0.00024824969265597487,0.0019733880218694793,0.00012730106564598254,1.0478257153707308e-05,-0.00013298586434412846,0.0005893233950960267,0.0003138499916371681,4.492106209919947e-05,0.0008849818773059372,0.0007998003905688799,6.072808982604621e-05,-3.5120787529233275e-05,0.006565246992915771,0.0004156780213750324,-1.844778462948024e-06,0.0001573851026745407,0.00022751975906231835,0.0003795741665259761,9.53175850106772e-05,0.00040661820308256273,0.0015338283756406342,0.0003572088220639487,0.0009907386203029164,7.89824650827643e-05,0.0003538829907680323,0.0002924106693158767,1.643184156249709e-06,2.857737616261391e-05,0.00018742225812478546,0.000545556462200368,7.642223127249215e-06
2023-07-01,0.00015114728414992125,0.0007267090729646197,0.0005800250461509412,0.00015893741996458828,0.000237133252773669,0.0021681107635569755,0.0001255106380911004,-4.035888208479526e-05,-0.00014747652754640127,0.0007107026237645373,0.0002799288484370983,4.568320480466287e-05,0.0016857289344012474,0.0007799844432087146,6.822200700999476e-05,0.00013604816870597453,0.0068103803951331705,0.00046063022497680917,-5.0885341458976814e-06,0.00016212182936247774,0.00023986599128772185,0.00035769690135381376,9.199812579892535e-05,0.00040700828613358605,0.0014279770497909955,0.0003698003809372459,0.0009687985511488716,8.103889139849071e-05,0.0003541764639895303,0.00038626120214862205,3.926232776207858e-06,3.451913058221642e-05,0.00019571801794893325,0.0005415932984632261,1.1431300155285241e-05
2023-08-01,0.00018030604083664904,0.000625867512385328,0.0007458818719194355,0.00017005971618188704,0.00022220107141958706,0.002375834406732869,0.00012042524498150454,-0.0001009697845411671,-0.00015016955805633117,0.0008522661628751741,0.00024753483246590995,4.630484405402112e-05,0.0034830292040987573,0.0008296572573687491,7.663514831387321e-05,0.00047965850283211215,0.007120023422578755,0.0004713150848183751,-1.3051461253127513e-05,0.00016252263469519225,0.00026617683670582563,0.00031540353900957104,8.526680431733807e-05,0.0004133261800661315,0.0012746085591957713,0.0003436841435823277,0.000879154606675379,8.438764919460636e-05,0.00033142936268663805,0.00048029345899920823,6.7867985147758935e-06,3.513857983502132e-05,0.0001986819244207879,0.0005234211936791643,1.5144736676315475e-05
2023-09-01,0.00020646758354124622,0.0005483689791523648,0.0008923722781504234,0.00017056114208275144,0.00018910969391613595,0.0025756921475516034,0.00011195579309088521,-0.0001663748588712261,-0.00016206214714128219,0.000978878501187708,0.0002178759943230078,4.6816178786842854e-05,0.007524179419124604,0.0008706195156280537,8.276175186423305e-05,0.0008057410217599894,0.007451365298146459,0.0004511245099427739,-2.285517290204848e-05,0.0001706185080673147,0.000304950613727229,0.00025436853901048776,7.848220042093468e-05,0.00041201095983442866,0.0011203905234558422,0.0003177052953272617,0.0007189066794007076,8.43915349963704e-05,0.00029918928992969033,0.0005670313517129056,7.816480329477562e-06,3.446122938423507e-05,0.0002095785936294199,0.0005179101586691153,2.5748570198348425e-05
2023-10-01,0.0002372199705434018,0.0004976370315907797,0.0010273324590683824,0.00017357077351331707,0.00015601291358610132,0.002764540641675135,0.0001047198989771314,-0.00021822029706273239,-0.00020096646517684001,0.0010561375689892333,0.00019335859588228912,4.7240689302236826e-05,0.015961078705357616,0.0008359679074968736,8.762301794871098e-05,0.0009286058771363723,0.007772466854189078,0.0004239749723281768,-2.49559842983035e-05,0.00017864133880897366,0.00035253538087615794,0.00019052254006622779,7.01663141190271e-05,0.000388016047357555,0.0010475024540184397,0.0002996425943238898,0.0005250331702307506,7.03459734653196e-05,0.0002679210634976588,0.0006521897838508845,8.132189604165318e-06,3.347122549117954e-05,0.0002086903282443839,0.0005227640573500177,4.27329346572013e-05
