,Skill: Strong Academic Record,Skill: Valves (Piping),Skill: Solid-State Drives,Skill: Blogs,Skill: Ecology,Skill: Microsoft Teams,Skill: Risk Awareness,Skill: Orthopedics,Skill: Hydraulics,Skill: Raiser's Edge NXT,Skill: Medical Ventilators,Skill: Algorithm Design,Skill: Information Systems,Skill: Team Foundation Server,Skill: Medical Records Filing,Skill: Brand Loyalty,Skill: Safety Culture,Skill: Equipment Calibration,Skill: Furniture Assembly,Skill: First Article Inspections,Skill: Human Capital,Skill: Logo Design,Skill: Landscape Architecture,Skill: Strategic Sourcing,Skill: Account Management,Skill: Team Effectiveness,Skill: Risk Mitigation,Skill: Technology Strategies,Skill: Organizational Architecture,Skill: Security Testing,Skill: Daily Production Reports,Skill: Technical Sales,Skill: Relational Databases,Skill: Instructional Strategies
2023-01-01,7.316598893389895e-06,0.0001944062265482635,5.435783413852008e-05,1.3405690172553898e-05,0.00012033520106886131,0.00034629719464068976,1.8139029564194044e-06,0.007678095639240497,0.00011886727021999388,6.139198512675545e-06,0.005333192419677389,2.921305833963424e-07,0.0032137267901781183,6.6680277935427e-07,0.0023412579285940595,7.542781000757078e-06,9.150516081886845e-05,7.520184162516404e-05,1.4932342468735415e-05,4.393983413881683e-21,9.003205197457862e-06,4.300838948749364e-05,4.085363914634548e-07,7.577778829391474e-06,0.0004064802185233319,0.0010368369514161284,0.00010978808174631038,5.469520084862708e-06,1.839887816910209e-05,5.666500225419402e-06,1.9439043462628077e-06,7.367812162083281e-05,4.367318796845082e-05,3.491817132567957e-05
2023-02-01,4.199419410952435e-06,0.00019675149157826846,8.212980423000823e-05,2.088095559025481e-05,0.00011428942596508996,0.00029342965123202767,1.0951307124147945e-06,0.0076791553450012585,0.00012048181139217659,5.28433631540661e-06,0.005131642920505732,8.50253511635907e-07,0.003263911853962657,3.627431295882517e-07,0.0025512327174861934,4.723619593962641e-06,7.712809686604523e-05,8.923993468036454e-05,1.799777310054178e-05,-3.748120791600279e-20,1.1979939694888744e-05,3.920256847844579e-05,2.5599151245161163e-06,6.806962982396446e-06,0.00040862904348812454,0.0010236566974400304,0.00011266669696168165,5.388258567391104e-06,7.876764589458844e-06,-2.3464375593733286e-06,1.3971181282681065e-06,5.9686284512688214e-05,4.464667944494661e-05,3.618739409395579e-05
2023-03-01,1.4859359830450742e-06,0.00020547609380389565,0.00011359825977942374,3.3665176760589764e-05,0.00010843742671663688,0.00024546868108286625,2.0687323554846802e-06,0.007804873388602782,0.0001158354330909987,5.8672171212264704e-06,0.004947760316746608,1.507916446332474e-06,0.0032517581835822904,-1.3890286674224226e-06,0.0026189746017349514,-7.973465996784263e-06,6.921747163914072e-05,0.0001041516966062013,2.365140329777952e-05,-2.1936883399353395e-08,1.3876154389913737e-05,3.488533482617535e-05,5.615214826356054e-06,6.0083231691117925e-06,0.00041110925588463905,0.0010069905219393927,0.0001177117894951295,4.667263621118405e-06,-5.525091124660567e-05,-4.1231291869792345e-05,1.2385860664890018e-05,4.446191149151813e-05,4.291927377391398e-05,2.6836849022319556e-05
2023-04-01,1.4080981495084358e-06,0.00021418825606060304,0.00014422818077214523,5.054582309304485e-05,0.00010396752300877098,0.0002325625875930065,3.5748559468071952e-06,0.008047705633387844,0.00010065519782339439,6.627365067569154e-06,0.0047974468276071195,2.1586661151611037e-06,0.0032268095924710555,-2.7199709762827065e-06,0.0024645235241429466,-3.6523938674672485e-05,6.373059464172897e-05,0.0001020271454552509,3.0091977211405264e-05,7.965300844846229e-08,1.3667583987260029e-05,3.157010829020353e-05,6.203824776740535e-06,8.902147424674645e-06,0.0004034433058420274,0.0009934693061381353,0.00012519830056230527,8.171596593719338e-07,-0.00020326858492897558,-0.00012868888571382028,2.184849094573108e-05,3.684047886052811e-05,4.1255085949842564e-05,1.5595262294578095e-05
2023-05-01,3.777907778744745e-06,0.0002188896233921185,0.00016811780992968172,6.747453761876907e-05,0.00010282359983660559,0.0002742357333091944,4.760255341404215e-06,0.00838004896242928,7.76923288825994e-05,6.82785036486566e-06,0.004682107320334673,2.74129732754524e-06,0.003217309445083488,-2.220441396917649e-06,0.002299340709805138,-8.0853586346826e-05,5.824725801982332e-05,8.022189515825628e-05,3.483137250890095e-05,5.048375319819179e-07,1.3067510143987702e-05,2.9149286998411925e-05,4.609043708145257e-06,1.609754897228984e-05,0.00038514541468726135,0.0009720745450946512,0.00013390031457180497,-6.585574837886206e-06,-0.0003841444176530146,-0.00020335336135416158,2.0156930526693654e-05,3.0257619546147165e-05,3.962926753550441e-05,1.2910458810284573e-05
2023-06-01,5.7982532900219346e-06,0.00021808634101102886,0.0001790827747138477,8.083876016792252e-05,0.00010328479108626175,0.0003637814938805088,5.539370494056132e-06,0.008684164339055897,5.622201528199852e-05,6.562652691170402e-06,0.0046139091800366915,3.226889421733677e-06,0.003191710529128309,-1.1323764404594947e-06,0.0024212833920830845,-0.0001348773991180009,5.034351193773274e-05,4.8964862560003865e-05,3.926182231172732e-05,1.2721756558747535e-06,1.302932242186914e-05,2.676058033661997e-05,2.7290286938647116e-06,2.2141889924267138e-05,0.00036568027829315687,0.0009378592982388254,0.00014202239803309187,-1.4400523575576846e-05,-0.00029888322512208466,5.031329281490258e-05,6.851030352208949e-06,2.8213667036756612e-05,3.685637674277482e-05,1.6699008088060102e-05
2023-07-01,5.680224979945636e-06,0.0002088452997176431,0.00017206157921116437,8.942565128371062e-05,0.00010450295839517976,0.00047627813356541053,6.075563350482729e-06,0.008880246289928567,4.465189739323068e-05,6.820728821744538e-06,0.004655288009083432,3.6081291649284334e-06,0.0031517076376320627,-1.2456064082548035e-06,0.0028129441317728023,-0.00019227171543855466,4.578029422442248e-05,1.6569860800868706e-05,8.545618883245516e-05,1.9420797709946798e-06,1.2756407258541048e-05,2.6523886904265893e-05,9.704001384617517e-07,2.347244388292262e-05,0.0003583421287771502,0.0009082431719833088,0.00014985642171001142,-2.135902656039481e-05,0.0007440923405511194,0.0013633908374151608,-1.217774312751932e-05,3.748337599293799e-05,3.2862503708262016e-05,1.9802281869503227e-05
2023-08-01,3.7054157431464174e-06,0.00019047306760033332,0.00014474666000597258,9.462203022770614e-05,0.0001089829416560804,0.0005793502519760316,6.419682009340232e-06,0.00901564929149135,4.4204261880399045e-05,6.428222807273973e-06,0.004810091595354897,3.890995133114329e-06,0.003130675662227564,-2.7182239343594997e-06,0.0030749647865742323,-0.00024972177152682605,4.598320555284464e-05,-2.3108843561221834e-06,0.0002929739340719294,2.4858171160679738e-06,1.1558606260609142e-05,2.7911800416429182e-05,5.312013819111005e-07,2.4845498889601536e-05,0.0003693239247980962,0.0008848408116167875,0.00015702290179127017,-2.8665915291017153e-05,0.0035723963142264134,0.004415649753686874,-3.4292716306135307e-06,5.648757423340974e-05,2.964376488480705e-05,2.2237272678030804e-05
2023-09-01,7.859187379809023e-07,0.00016954558014314598,9.874186015480709e-05,9.956540672164253e-05,0.00011664561638447008,0.000635737175325866,6.614187471587606e-06,0.00915580054813442,4.9212684508814304e-05,3.3416262479744677e-06,0.00500515815220956,4.088621912500025e-06,0.0031047112667830293,-4.818080089612687e-06,0.0028975535376310957,-0.00029800064212342906,4.55916879464997e-05,-9.050508285622606e-06,0.000802137646860849,4.196749693881957e-06,1.002852612070157e-05,3.103612149436712e-05,6.449639246042356e-07,2.9888907740684078e-05,0.00038901538015280733,0.0008572829238316472,0.0001595886751877994,-3.752373703080215e-05,0.0077340731976765845,0.00727881128935272,8.230957899159042e-06,8.440044742714117e-05,2.923331210611345e-05,2.4453591304740395e-05
2023-10-01,-2.1563232504877794e-06,0.00015544327413286925,3.970250130745179e-05,0.0001075445612733448,0.00012145149104243675,0.0006120983763695028,6.747488018233377e-06,0.009284668383342864,5.271339511374968e-05,-8.466154900972554e-07,0.005185669679777097,4.2170289227135974e-06,0.003035506712538821,-6.593293562233407e-06,0.0025453199859586818,-0.000301750874061615,4.331831608086806e-05,-7.045768889231321e-06,0.0016643761592835026,8.720385507827862e-06,9.476106971123584e-06,3.609467187938764e-05,9.534423999594575e-07,3.532446840633933e-05,0.00040688237347148297,0.0008243453046042906,0.0001570658996374412,-4.6612604973502826e-05,0.008267365602301915,-0.000684979525461293,2.7315773833919047e-05,0.00011952357077962898,3.087998305370513e-05,2.6229236536219315e-05
