,Skill cat: Information Technology,Skill cat: Architecture and Construction,Skill cat: Design,Skill cat: Engineering,Skill cat: Media and Communications,Skill cat: Business,Skill cat: Finance,Skill cat: Human Resources,Skill cat: Manufacturing and Production,Skill cat: Marketing and Public Relations,Skill cat: Energy and Utilities,Skill cat: Customer and Client Support,Skill cat: Education and Training,Skill cat: Public Safety and National Security,Skill cat: Science and Research,Skill cat: Analysis,"Skill cat: Transportation, Supply Chain, and Logistics",Skill cat: Administration,Skill cat: Social and Human Services,Skill cat: Sales,"Skill cat: Performing Arts, Sports, and Recreation","Skill cat: Economics, Policy, and Social Studies","Skill cat: Agriculture, Horticulture, and Landscaping",Skill cat: Personal Care and Services,Skill cat: Hospitality and Food Services,Skill cat: Property and Real Estate
2023-01-01,0.362789302802908,0.03465398946777579,0.0386281057973944,0.03874492413382469,0.7093871601471505,0.6937352762117146,0.46685966317459093,0.10558518204222356,0.07663289420336271,0.29439430103489195,0.008230008294193278,0.517288632147577,0.07786658023468225,0.02095176937294517,0.14770651177675315,0.19980905597306464,0.192449910872176,0.4651772363163442,0.016295071327919186,0.541174098882123,0.00391652456329869,0.05794860194560203,0.0052763254478507965,0.002396563399563796,0.059094103771446124,0.027138294727154524
2023-02-01,0.3621388770837678,0.034901801056177004,0.03955057633318069,0.039744905486401735,0.7075583645510665,0.694008540988583,0.4689171003783928,0.10619923203666962,0.07731908504083819,0.29330578798725104,0.008464276801480427,0.5156338822710322,0.07978300901505113,0.02106251036496068,0.1483019181323119,0.20167598825226507,0.19301711295484775,0.4648344852844919,0.01648296406428347,0.5389984593428221,0.003935295195924501,0.05852453100554636,0.005380127331176543,0.00241911026118859,0.05985335791690742,0.027380314915000852
2023-03-01,0.36148040753517185,0.03513197697767273,0.04095387475075179,0.04095274844962751,0.7054713491556209,0.6942406533862148,0.47027059228260104,0.10681427800881982,0.07798121113656713,0.2922304296524094,0.008739665113643746,0.514821300216387,0.08210752699488083,0.02123186422815814,0.148904319485034,0.20423148168429522,0.19358918594733668,0.4644038729394728,0.016669803805166524,0.5381385674212938,0.00391242204461309,0.0595024779306953,0.0055038686230058295,0.0023344188665974826,0.060846092023526116,0.027802818250841157
2023-04-01,0.3611483475571706,0.035345791698214876,0.04286320182835125,0.042419745293784124,0.7031114023602812,0.6944313026508268,0.4701638450879895,0.10743042125185885,0.07861758307835141,0.29126610140406756,0.008999885735572115,0.5143695060500515,0.0847887144459052,0.021511155267630526,0.14951355655854356,0.20761629314078803,0.1941660300151196,0.4638828272503115,0.01685436730519512,0.5385216426442297,0.0038256084382942562,0.06095740109831396,0.005669671055182762,0.0021645930094796005,0.061981308490203245,0.02833377989043424
2023-05-01,0.3610103707986313,0.035544427584655196,0.04514509853538487,0.044205964035618925,0.7004630072419473,0.69458017836713,0.468749305228354,0.10804775952665169,0.07922693308502074,0.2899593909913884,0.009217857756169096,0.5139426852217905,0.08808049616750203,0.02193346375523339,0.15012947805668056,0.21184516767986863,0.1947475495227889,0.46326881050153595,0.01703533387091794,0.5387480726476764,0.0036958888408202342,0.06268062072837799,0.005891567199212813,0.0019901093768828655,0.06318380724832416,0.028928733137482034
2023-06-01,0.3611959229786492,0.03572898156027382,0.047701785435661205,0.046381587005985776,0.6975097975939969,0.6946869704800541,0.46687014821384704,0.1086663872155443,0.0798084201599266,0.28822447336284307,0.009404535628078487,0.5137538801779113,0.09226548322579708,0.022463045175115312,0.15075194030416766,0.21699800952061699,0.19533365287114315,0.4625593182269623,0.01721131740483121,0.5386083855956154,0.003566666871528172,0.06445701941779561,0.006140190445202698,0.001887119738477834,0.0644461588358977,0.029551831314760996
2023-07-01,0.3621083509001648,0.03590047127934693,0.05058426234959689,0.04902857551641856,0.6942345115660686,0.6947513693166051,0.46511219472429705,0.10928639546966534,0.08036162954004995,0.286913621785776,0.009590295550249612,0.5142198965561428,0.09739328217744855,0.02307198672064662,0.1513808069036285,0.2231754658547248,0.19592425234064034,0.46175187821160824,0.01738089875126085,0.5391995550407367,0.0034655439049690005,0.0663286792597052,0.006356638363154775,0.001877169936357788,0.0658344588490236,0.03014106024012816
2023-08-01,0.36406689880398635,0.03605984085551021,0.053933808938142355,0.052242736390356904,0.6906189427736404,0.6947730656078576,0.4632809959173047,0.10990787235000465,0.08088656660513127,0.2873276969756517,0.00979437762757062,0.5144761719884211,0.10341997900987256,0.023683335196473105,0.15201594840821409,0.23032436754448404,0.1965192639409656,0.4608440495591679,0.017542657993501905,0.5413315765819092,0.0033885136288507277,0.06854807983192737,0.006508434643499199,0.0019275980244600824,0.06745275119346299,0.030606138552352186
2023-09-01,0.36710680883736446,0.03620796617616286,0.057864543188794734,0.05613627788900486,0.6866438887393125,0.6947517505110798,0.46076073565656595,0.1105309029625322,0.08138364547892427,0.2901674985365412,0.01000732987389005,0.514198818712847,0.11044421127677297,0.024234110186644946,0.15265724200912728,0.23822751915346577,0.19711860726647476,0.45983342182258585,0.01769520632535762,0.5446084083357405,0.0033158310876492333,0.07131654907731394,0.006621048070186708,0.001985631216822638,0.0694009042707133,0.03086722973982729
2023-10-01,0.3699757275528253,0.036345659832827025,0.06239395778599782,0.06084095627583185,0.6822890965201712,0.6946871156319916,0.45722062924952483,0.11115556958761055,0.0818536726174749,0.2950057430497748,0.010197936878419382,0.513437894241764,0.11864660328813886,0.024780644836928524,0.15330457123736924,0.24673693131011556,0.19772220535728416,0.4587176141953713,0.017837217101738797,0.5477175774357548,0.0032374869945883122,0.07462556329543191,0.006748662476983157,0.0020114290778858457,0.07174693919858616,0.03090812401267191
2023-11-01,0.37171854251878317,0.0364736756952154,0.06744406543649499,0.06651193044196924,0.6775332053676596,0.6945788530471546,0.4529301232950882,0.11178195180394275,0.08229782573655312,0.3007792944329208,0.010334808715765453,0.5124938984753041,0.12810029252883515,0.02529427271032859,0.15395782567906025,0.25602482384943315,0.19832998456578646,0.4574942747613898,0.017967455662493234,0.5510308146639432,0.003165411647386731,0.07836075764151207,0.006921947927371927,0.0019943623722141895,0.07452603963150925,0.03080454924219873
2023-12-01,0.3728682759968672,0.036592713154754576,0.07289194767295577,0.07333246128030191,0.6723536862579982,0.6944266553264948,0.44850283918284395,0.11241012660728741,0.0827176284814218,0.30674497319867383,0.010403738124741498,0.5124401537751989,0.13882144574942878,0.02581670202008033,0.15461690070371883,0.2666015281958304,0.1989418744283809,0.45616107980096143,0.01808480752125385,0.5550904311212933,0.003127766939754466,0.08252211391517195,0.007130790602518665,0.0019564736684776277,0.0777642413002971,0.030698804954059987
2024-01-01,0.3740075480841922,0.0367034210614507,0.0786299315803993,0.08151961559627192,0.6667267781223652,0.6942302155559567,0.44446660573196883,0.11304016852416304,0.08311492128652234,0.31296095872436125,0.01040977781148941,0.5129344264145373,0.15097272136893755,0.02643248334641592,0.15528169720490945,0.27908727978413317,0.1995578075422138,0.4547157331511863,0.018188304516837547,0.5599490955113765,0.0031533694405658924,0.08729681513442938,0.007350308590595073,0.0019472936118125513,0.08150922262087212,0.03072535919571233
2024-02-01,0.3750317796817039,0.03680640137625813,0.08458974415738567,0.09133116216855391,0.6606274205967185,0.6939892273602873,0.4410966263522385,0.11367214972075407,0.08349182890999084,0.3199817708703904,0.010367262874256046,0.512991070916855,0.16484290935457252,0.027056139659989046,0.15595212135269707,0.2939339696354105,0.20017771944673446,0.4531559656185009,0.018277148538502465,0.5649341946908549,0.0032564140749353383,0.09289906947049792,0.007569609026844913,0.0020260706606625295,0.08584418144656436,0.030930491020258424
2024-03-01,0.3754931457469932,0.036902212559510164,0.09071332523139368,0.10307388117834683,0.6540291831013153,0.693703384925953,0.438556170380172,0.11430614010722219,0.08385072515790505,0.3282996995833163,0.010288558653786136,0.5122289051591062,0.18059728866688268,0.027692242687440277,0.1566280843573717,0.3112884633275922,0.20080154850987794,0.45147953444155153,0.018350732457973258,0.569090903961201,0.0034303253307731013,0.09935839576338179,0.007790901339353257,0.0022296654547987703,0.09087021434843061,0.031240214497402094
