,Skill cat: Information Technology,"Skill cat: Maintenance, Repair, and Facility Services",Skill cat: Architecture and Construction,Skill cat: Design,Skill cat: Engineering,Skill cat: Media and Communications,Skill cat: Business,Skill cat: Health Care,Skill cat: Human Resources,Skill cat: Manufacturing and Production,Skill cat: Marketing and Public Relations,Skill cat: Energy and Utilities,Skill cat: Customer and Client Support,Skill cat: Public Safety and National Security,Skill cat: Science and Research,Skill cat: Analysis,Skill cat: Environment,"Skill cat: Transportation, Supply Chain, and Logistics","Skill cat: Law, Regulation, and Compliance",Skill cat: Physical and Inherent Abilities,Skill cat: Administration,Skill cat: Social and Human Services,Skill cat: Sales,"Skill cat: Performing Arts, Sports, and Recreation","Skill cat: Economics, Policy, and Social Studies","Skill cat: Agriculture, Horticulture, and Landscaping",Skill cat: Personal Care and Services,Skill cat: Hospitality and Food Services,Skill cat: Property and Real Estate
2023-01-01,0.2803760136141357,0.6561125176420926,0.4225179613209438,0.009529342495858177,0.37628592299481645,0.4013981744204971,0.4208664742152155,0.059085257520291284,0.02511368253751639,0.3988340038675463,0.03329755023871479,0.12739503324456122,0.28362210265304155,0.05119207381860197,0.1268795492956474,0.06162908999025237,0.03848929345579889,0.23097486855092778,0.545859419142276,0.591292888974108,0.1756881277896124,0.007392562016083954,0.12304315184381272,0.001663995623079631,0.011740639897614749,0.022238099605038034,0.0006938376793768361,0.05453420883038451,0.00720585451817185
2023-02-01,0.28238452409239795,0.657962198799756,0.42312355294272397,0.009875794227375223,0.3718415280576547,0.407667003113119,0.40631232157148833,0.060070293905605025,0.023554362142363002,0.39279415857811795,0.031906490968703335,0.12927563564951167,0.2754000621815942,0.0525836580757158,0.12680295940275713,0.06151724880913927,0.04038516225309735,0.22978309260706692,0.5417343694960204,0.5988955103150815,0.17491070625882013,0.007657620203984585,0.12915503721768423,0.001809558850088419,0.01163657241440036,0.021037214497979535,0.0009001165883528736,0.053728257487800885,0.005357079945683241
2023-03-01,0.2858101884495361,0.6607933935563756,0.42265860423557594,0.010220174981446804,0.3699717368423884,0.41783823784923013,0.3862328139650488,0.06105202948387221,0.022141958695985967,0.3840012863625387,0.03017292669365746,0.13123002664262548,0.2660468560402329,0.054708047502701,0.12690660940746573,0.06142028051146155,0.042004628541597394,0.2290159002384099,0.5411376442348512,0.6071207276324262,0.17414323837074105,0.007527972272774458,0.13673922187973847,0.0020766294855522616,0.011489338750300044,0.019532248230307536,0.0011293282095292834,0.0524221800090396,0.0034277812436919117
2023-04-01,0.29167084812536515,0.6627714802954896,0.42123478095434225,0.010570685758466196,0.3726947237131307,0.42863959609698654,0.36127385815748003,0.06204627115379575,0.021335148249423192,0.3744493128281242,0.028143553701775296,0.1323741514131518,0.25509093885215894,0.05760711029015103,0.12680958088841252,0.06133769110042396,0.04331099241230722,0.22848387791582603,0.5439305924654265,0.615862812279951,0.17338702507636758,0.007314774518397336,0.14585285844918616,0.0026064993651390075,0.011301152753982661,0.018523393287759676,0.0014318896561385831,0.05177559501365355,0.0014598610369309234
2023-05-01,0.29888590130721077,0.6658962755016065,0.41899910250696587,0.010844690456520166,0.38107536833431843,0.43561029711193355,0.33177838370155854,0.06306192824550981,0.021361900529204496,0.36681967701506857,0.025870448960926017,0.13229117228167153,0.24327493319985663,0.06126756835621611,0.1245320029011586,0.061268786722020054,0.04419997800710922,0.22797894245884512,0.5470217547643745,0.6250020473941524,0.17264323737450338,0.007189054560091648,0.15613884949364187,0.0035093437047554396,0.011075305721636687,0.017951585373443348,0.0018783149996015529,0.05206619796937674,-0.0005159127469260873
2023-06-01,0.3060403374941163,0.6715228303136186,0.4161266825926016,0.010940541162700261,0.39401329352318426,0.43606875919691446,0.29700346643437703,0.06410248539248836,0.022180565440702765,0.36193992839898537,0.02340993331810719,0.13217841589517418,0.23246790173997436,0.06545243536665768,0.12032797815507103,0.06121269977928014,0.04458803365193209,0.2272967509799101,0.5470952613445303,0.6344061216955401,0.17191292312098355,0.007012838084153261,0.1664185161827646,0.0047852213238017555,0.010816086102134408,0.017312866144626418,0.002525192830764364,0.05265651944617778,-0.0023600607829515757
2023-07-01,0.31359959731142,0.6746939465810293,0.41281223807798784,0.010801657178300159,0.4084672176813928,0.43083004455230856,0.2550621416189867,0.06516714904918322,0.02352226878828029,0.35811838119351536,0.02082150364005055,0.13384839078436234,0.2246106517052727,0.06986121849329191,0.116728423797098,0.0611684172196273,0.04445980740849288,0.22627085343801062,0.5435427349361631,0.6439318011219919,0.1711970136472428,0.00671680154415728,0.1759101525546211,0.006356700381173988,0.010528677178009838,0.016941131747425692,0.0033954988769276688,0.05292558243664261,-0.00405395811486647
2023-08-01,0.32250539633443354,0.6779925767776988,0.40926083094477156,0.01043640915949852,0.42098790255620977,0.4236240153209563,0.20295301460160986,0.06625176926492578,0.02501028336481741,0.35391484627998915,0.018166825569075784,0.13770875652694947,0.22104087618685178,0.07441617360631905,0.115762896878174,0.06113481017865678,0.04388208401991625,0.22480192183229408,0.5392555880709983,0.6534268629748288,0.1704963301850438,0.00628420849863109,0.1852638585572391,0.008155353915972413,0.010219034792280502,0.01675596480669207,0.004485640685458699,0.05207977517594403,-0.005965668041154594
2023-09-01,0.33197186129685813,0.6798779297508182,0.4056783265423199,0.009897562717085279,0.42941286361473174,0.41882843408743176,0.13632220248046673,0.06734960368330274,0.026319369781205106,0.35017036994680073,0.015508774650221465,0.14131896900738075,0.2223092423849274,0.07931852800805145,0.11644500356362325,0.06111066419644083,0.042992783263307466,0.2228736284291298,0.5383847015622617,0.662732272085411,0.16981159009494354,0.006006550783838221,0.1960968322421895,0.010153295077259296,0.009893747651817034,0.016556193685601385,0.005793067533768654,0.050012559522187666,-0.008725058284393017
2023-10-01,0.34047730330067894,0.6814717108021204,0.40226204654020664,0.009249557767805797,0.43372003027388073,0.41894176954655205,0.04911918097129908,0.06845196701955925,0.027307288442651186,0.34830244786270514,0.012910511996800829,0.14234722454367094,0.2281807175309998,0.08481558374162829,0.11670146574757616,0.06109470927031204,0.04197408767541197,0.22055280943294792,0.5431685239414519,0.6716845734432964,0.16914341289678914,0.0061206238230237155,0.20968236157620274,0.012314650033338405,0.009559883148724052,0.016197971089459917,0.007346391752548743,0.04757975424640917,-0.012768722041523423
