,Skill cat: Information Technology,"Skill cat: Maintenance, Repair, and Facility Services",Skill cat: Architecture and Construction,Skill cat: Design,Skill cat: Engineering,Skill cat: Media and Communications,Skill cat: Business,Skill cat: Health Care,Skill cat: Finance,Skill cat: Human Resources,Skill cat: Manufacturing and Production,Skill cat: Energy and Utilities,Skill cat: Education and Training,Skill cat: Public Safety and National Security,Skill cat: Science and Research,Skill cat: Analysis,Skill cat: Environment,"Skill cat: Transportation, Supply Chain, and Logistics","Skill cat: Law, Regulation, and Compliance",Skill cat: Physical and Inherent Abilities,Skill cat: Administration,Skill cat: Social and Human Services,Skill cat: Sales,"Skill cat: Performing Arts, Sports, and Recreation","Skill cat: Economics, Policy, and Social Studies","Skill cat: Agriculture, Horticulture, and Landscaping",Skill cat: Personal Care and Services,Skill cat: Hospitality and Food Services,Skill cat: Property and Real Estate
2023-01-01,0.19355113298167734,0.11020018167949353,0.020559284869319044,0.013863634383243784,0.018820770188252026,0.4666117120995333,0.509196596330906,0.07133376266247776,0.22629645908029455,0.10504271129231615,0.08087548590320008,0.0029143318181693786,0.05484196674579806,0.05100183145541092,0.031784391601118345,0.11706991487644702,0.007461264926872641,0.17210392573843444,0.4711308640551651,0.6674781968223534,0.2564175958707846,0.008053126496685135,0.3018628011497194,0.004712170935207018,0.017432505625344055,0.0026882959683524298,0.000894535317967857,0.7344045555197357,0.015076554467834645
2023-02-01,0.183809951647752,0.10811418810818949,0.02097231533883145,0.013886642294122065,0.021185515271963384,0.46884916363249685,0.5155118830042176,0.07478352464323915,0.22902856616058542,0.10657128087347056,0.07714349593671252,0.0028559436456264582,0.05671904042207608,0.05068067607548796,0.03235267458755481,0.11890902689350134,0.007885011870475547,0.17358077371138028,0.47757891210938946,0.6702893072681128,0.26049297999309384,0.008388506908930225,0.311019226941144,0.0044200235541785385,0.017885157799038348,0.003030223648869547,0.0008664254770718929,0.7431237793236855,0.015013537981795055
2023-03-01,0.1721566009781046,0.10692431548586066,0.021461655916477876,0.013836499841111738,0.024859212648680323,0.4725126541966339,0.5213070102366204,0.0785685030585793,0.23219296791518593,0.10826936884001459,0.076146895728063,0.0028713636996619053,0.05880970289209682,0.05020181845671871,0.03319628448628885,0.12062055171385185,0.008543724346730461,0.17516045626893584,0.484912418735597,0.6695892680015181,0.2647501618236748,0.008520111614329036,0.3206761421023446,0.0041097444125079395,0.01816873270209084,0.003317153879384309,0.0008244248040890894,0.7544644426588405,0.014681236967611408
2023-04-01,0.16437199425510102,0.10724893378226001,0.02192767788987451,0.013488751930572085,0.029952771930727665,0.47872625227693955,0.5255645180414869,0.08123329591396841,0.23581981368212368,0.1101499960914328,0.07669902826427427,0.002959479882564149,0.06120074341462476,0.04954379456005849,0.03424730696073583,0.12236832799231212,0.009362175654525157,0.1770630338995895,0.4917990599276185,0.6663500182078339,0.26958881711907196,0.008536781322061088,0.33054371905439806,0.0038661189770160913,0.018352167929195612,0.003480376649011364,0.0007792182918556195,0.7661567689341454,0.014200051491076511
2023-05-01,0.16076151311617046,0.10874099491633955,0.022294135432941644,0.012698131999603207,0.03637571507769036,0.4840231727828747,0.529928207767614,0.08321766581954547,0.23994141121724227,0.11222715503392772,0.07764073622173746,0.003116147700015876,0.06401065284298359,0.04868290709776834,0.03531234522637333,0.12420755123219913,0.01021633433823576,0.18025020335468314,0.4978441356640689,0.6629721208185367,0.27456310759867475,0.008523167633773636,0.34053092118390715,0.003701653722285373,0.018455703592635618,0.0035705078680458406,0.0007499778444314889,0.7779700742806008,0.013725440984098718
2023-06-01,0.15767983712702124,0.10993378894593661,0.0224961550014317,0.011722046275248837,0.04418151955843379,0.4865571301367723,0.5344184423890416,0.08529418767041302,0.2445923766005004,0.11451588411167213,0.07839803321253769,0.003334426677184492,0.06738057669445424,0.047593008539351805,0.03625760278176909,0.12644589210364732,0.01104499192152284,0.184093327378631,0.5045266301875658,0.6614330421627339,0.2790139424045473,0.008585139727186143,0.35069272492660847,0.0036137839549410314,0.018617470839316332,0.003721481915452688,0.0007029257742866566,0.7907150800278132,0.013366759510793108
2023-07-01,0.15691367669684853,0.10904665929929364,0.022463524110548812,0.01118219592645417,0.05375932665761128,0.48650271296634995,0.5366594231253756,0.08762942172005439,0.24980979492616504,0.11703234790545768,0.07958731414216677,0.003604926807538701,0.07146349476182497,0.04624526348211847,0.036911522620023195,0.12956027268762255,0.011898117938263536,0.18651870659477432,0.5117401679006324,0.6618022598240106,0.28134251978183084,0.008785636261442475,0.359809840738439,0.0036048767809366555,0.01880690931975858,0.004033636448875411,0.0006344475150976111,0.8040111757716912,0.013142450330109558
2023-08-01,0.15985290859595344,0.10542309823198759,0.02243793781961314,0.011666906129064153,0.0658083008552197,0.4847840447774856,0.5382628077671281,0.09028979169636275,0.2556333925216666,0.11979392322537472,0.0822456893541205,0.003916248728885523,0.07641329838902157,0.04460788843806485,0.0374147981569298,0.1336477072927757,0.01288757937219176,0.18840279304985275,0.5196858859448571,0.6628421397136732,0.28192855011094614,0.008774603438235912,0.36718496724087135,0.0036662878446589615,0.01894390526662339,0.004488070983765308,0.0005954274787390466,0.8168958538210505,0.012991061252909442
2023-09-01,0.16351312292179332,0.10015869129055402,0.022463121706188322,0.013383123487229004,0.0812516794022155,0.4834465736171353,0.5405537218757628,0.09301297697948002,0.26210572149380995,0.12281929165606292,0.08498633436426056,0.00425549774611352,0.08237538333987855,0.04264586690526043,0.03798201127215138,0.1384290614737306,0.01408631254076792,0.19088022364081147,0.5268110768965308,0.6636422926861314,0.28280824934516363,0.008449725597420748,0.3741621844047353,0.0037590948322232774,0.019053640028847033,0.00496712569943468,0.0005819252047701744,0.8298201474510906,0.012824311150142598
2023-10-01,0.16399337299198274,0.09520947236523027,0.022421383652290527,0.01615162595378336,0.10112971757746991,0.4827383421156195,0.5433521372312664,0.09517770330304129,0.26927235745865685,0.12612853904741705,0.08504903452876907,0.004608849137496073,0.08948010588658506,0.04032063739115509,0.038568017135057364,0.14385977341207523,0.015460256258468343,0.19309204464836832,0.5335131390029147,0.6642154138605454,0.2844692097151554,0.008143997340020078,0.38095441439613636,0.003816219928931098,0.019099736340404926,0.005358101453509907,0.0006303380031967972,0.8442503181968998,0.01258658022156503
