,Skill cat: Information Technology,"Skill cat: Maintenance, Repair, and Facility Services",Skill cat: Architecture and Construction,Skill cat: Design,Skill cat: Engineering,Skill cat: Media and Communications,Skill cat: Business,Skill cat: Health Care,Skill cat: Finance,Skill cat: Manufacturing and Production,Skill cat: Marketing and Public Relations,Skill cat: Energy and Utilities,Skill cat: Customer and Client Support,Skill cat: Education and Training,Skill cat: Public Safety and National Security,Skill cat: Science and Research,Skill cat: Analysis,Skill cat: Environment,"Skill cat: Transportation, Supply Chain, and Logistics","Skill cat: Law, Regulation, and Compliance",Skill cat: Physical and Inherent Abilities,Skill cat: Administration,Skill cat: Social and Human Services,Skill cat: Sales,"Skill cat: Performing Arts, Sports, and Recreation","Skill cat: Economics, Policy, and Social Studies",Skill cat: Personal Care and Services,Skill cat: Hospitality and Food Services,Skill cat: Property and Real Estate
2023-01-01,0.46781293234395277,0.5880675789513305,0.2146457251525715,0.04842853770708414,0.5864630775223427,0.404204781077725,0.5153312634112244,0.11332795011534369,0.08014774491229763,0.5946663433108185,0.03534877565654611,0.1221908404992012,0.1866720109195737,0.06011938486240109,0.051104108633739764,0.15318792257339403,0.14477971212828505,0.03337408297675096,0.3479292168178248,0.4506195200808756,0.7469211956794314,0.24209960521984586,0.007008057206931756,0.05859441461990211,0.0022256250796564825,0.016286165672285552,0.0021775973121280143,0.05175835834059153,0.0029511946742172453
2023-02-01,0.47441630377547456,0.5873885587009421,0.21380675378171016,0.04963977412488336,0.5886542453573419,0.40916651269392434,0.5181521327727351,0.11587150788259125,0.08193335874246155,0.593503057835757,0.03684954013806206,0.12192739367614466,0.19169261224149597,0.060330634537004865,0.052024109328923,0.15489129978329302,0.14269898749336757,0.03296363864136144,0.3494261975666668,0.4496037691251253,0.7520154660858772,0.2406993015003841,0.0077677501720041005,0.05973277917062989,0.0021442841872991334,0.018178762050009838,0.0021691415785176464,0.05233209788615734,0.002896439355879284
2023-03-01,0.4806492402822754,0.5893746041733069,0.2127065938500093,0.05127119550493051,0.5905457232214435,0.4150389401608964,0.5228951460401222,0.11769253566839927,0.08356925094593473,0.5914889944219478,0.03816786734299821,0.12164602994648382,0.19679440629388423,0.06152369705798423,0.05243330070058228,0.15581699118224102,0.14165296774478656,0.03275528587473754,0.3517121017632904,0.44718575861481824,0.7581953676993427,0.23926476913305977,0.008588982011729092,0.061470144934827775,0.0020815049451417557,0.019723861117306493,0.002128424907461273,0.05353835912519852,0.0028260762894314773
2023-04-01,0.48648321490543095,0.5917813636137395,0.2116621712691879,0.05217714070727162,0.5932131285636743,0.4212591433038299,0.5293893935076903,0.11791889215576143,0.08471398769097573,0.5915914077228193,0.03930564787269327,0.12175080755683025,0.19905709065174082,0.06397337484276898,0.05253810196634731,0.15769218949991173,0.14220523709611244,0.03301549209745082,0.35058784164102913,0.44680650995663124,0.7654704044602657,0.23991568216982717,0.008984942309619683,0.0637257249150757,0.001987154204369089,0.02056302975778499,0.002091015772968772,0.05490054546814952,0.002591792348944134
2023-05-01,0.49237627954274504,0.5940944425721177,0.21009720572585786,0.05316885586312037,0.5964964613934819,0.4272331106076058,0.5350912288930879,0.11653633309854008,0.08558303806443746,0.5946977085119679,0.039608164110363185,0.12229933357825756,0.19784925411167775,0.06723249397961899,0.05267340342762837,0.16022738837859302,0.1443614689366615,0.03348169247105079,0.34802202239838154,0.4486917515346883,0.7733089924414527,0.2412429646849526,0.008974203288715524,0.06611303625842085,0.0018589363597888576,0.021111948134693165,0.0020722916044911693,0.05579987658490687,0.0022628372419680725
2023-06-01,0.49792421199358866,0.5981216236235456,0.2085123648551322,0.0546707244881354,0.6001964471586283,0.43352927978961675,0.5392468819993801,0.11507868771943973,0.08658301947830789,0.5968401577348708,0.0389439351069632,0.12382567169962407,0.1953929013881366,0.06997818731411881,0.05263937812882019,0.16291255359904028,0.14733060284624444,0.033759941302875164,0.3467942640887519,0.4494837619794179,0.782438793372439,0.24216555817187546,0.009083104714468666,0.06858467448877656,0.0016946513988241557,0.02149663892208902,0.0020621384716702374,0.05658117251048545,0.0019511179723000274
2023-07-01,0.5020549617008481,0.6028573087688402,0.20721110882730304,0.055443371573002755,0.6033031115907352,0.44088734670527446,0.5420614119010346,0.11410910137337196,0.0866687897468626,0.5970214037693823,0.0381600059750318,0.12658063376082346,0.19263580191613733,0.0713203645234654,0.05313611923918287,0.16490353234501365,0.1498515141880215,0.03377170118953367,0.34339459563011526,0.450255875518155,0.7926302974298223,0.24294975095328702,0.009311542341124983,0.0719277617801596,0.0015081760696502317,0.021530258514662014,0.001984304053981447,0.05618164984502478,0.0015974692317361943
2023-08-01,0.5055209335999672,0.6068963369097958,0.2053635714359789,0.05518560424547481,0.6062627505677097,0.45014551892845234,0.5440100116709026,0.11374707827339602,0.08534696585123228,0.5980918201480695,0.037720208979701284,0.12934833902537965,0.18815774453183443,0.07150391361673081,0.054343164716996975,0.16632291188092319,0.15094871542267885,0.03355362508668963,0.33743892255986135,0.45033189348319846,0.8036274485525845,0.24354337152693833,0.009179731482148668,0.07590748750743728,0.001294290842927316,0.021458922143562188,0.001899893131764415,0.054762590332604506,0.0011198536570769047
2023-09-01,0.5077892047679377,0.6121917889945556,0.2030380558247213,0.05469583612330337,0.6090483456249995,0.4597678891709054,0.5466682415929012,0.11308458038305624,0.08353501239208846,0.6018870079124741,0.037609616356669075,0.1311339498808884,0.18279809471137387,0.07073590296646601,0.0552524444042765,0.16692231402426796,0.1502008489648715,0.03344795259499641,0.3333352510856253,0.4497960772000489,0.8150760252938928,0.24308106135380786,0.008858814378783431,0.07941060889617339,0.0010958424037420856,0.021491417688004777,0.001844339211684528,0.054094015377948244,0.0005021661757325224
2023-10-01,0.5070315709450534,0.6187521742262608,0.20112486164785454,0.05449545035298963,0.6096009928124629,0.4670719862799429,0.548821208883397,0.11124761119133494,0.08190853136078499,0.6051676981172599,0.037485173558304774,0.1329710623419746,0.17801654472956374,0.06960982612704177,0.055517573666591366,0.1656751785160165,0.14820574085530314,0.03348594724250854,0.3315936351757481,0.44902157204502946,0.8242770328266977,0.23982871312186843,0.008862674028652859,0.08250893952449108,0.0009659923204303008,0.021659219478481588,0.0017600558278755146,0.053473334549390905,-0.00015338355760705687
2023-11-01,0.5043838804417539,0.6263926497250996,0.19948185400358248,0.05445862735275172,0.6090223594077425,0.47156964234436294,0.5508041019489672,0.10847815991344709,0.08010818963865238,0.6090570043230541,0.03775285775548887,0.13519146134779728,0.17224960011757157,0.06903989930232136,0.05508279958530891,0.16522013184399825,0.14609017076451195,0.03346748804894266,0.33133068503672886,0.4474309405510047,0.831852392006541,0.23582846975991964,0.009052082672488514,0.08623227501260161,0.0008588378060408704,0.02165645903788988,0.0016998056747102273,0.052919357606496305,-0.0008663879789309837
2023-12-01,0.5006477045379021,0.6359861595543153,0.1981618149952616,0.054735401317311354,0.6101127011899318,0.47403331627179335,0.5536527620642208,0.1053132916611715,0.07829416769558381,0.6172775080560143,0.03818010683958385,0.1364728150318252,0.1662752314897471,0.06926339484544085,0.053832223013698915,0.1659619017314306,0.14410437652052574,0.03343948256317944,0.3339434377366049,0.44651600411285874,0.8402717617477529,0.23302435125081558,0.008955043886844856,0.08996744119727634,0.0007323218368185513,0.021105754847596372,0.0016271658481347706,0.05288159088924097,-0.0017862806995543072
2024-01-01,0.49459983502825594,0.6474868910326117,0.1980360901612392,0.05559185329324826,0.610786110694431,0.4744488613896796,0.5565771849882035,0.10313032704899416,0.0767022586486029,0.624603767251584,0.037161931965997236,0.13698907061008533,0.1615410497603305,0.07008053615254965,0.051602787009415146,0.1644792785019688,0.14313680107891558,0.033925707432000414,0.33907184148783226,0.44741288125980894,0.8484238140006691,0.2306774564671471,0.008431461618361634,0.09273546361272862,0.0006169051194484017,0.02012438595448303,0.0015386673012425175,0.052692592142287345,-0.0027234005400038524
2024-02-01,0.4863177819273055,0.6602099147971543,0.1994278736229279,0.056022576423641286,0.6092559256455798,0.4740007254935892,0.5585315517053703,0.10265551587420804,0.07522864220799307,0.6305010810750966,0.034817834865199716,0.13882247923814106,0.15710973881237822,0.07033926014511718,0.0488202754979011,0.16225727099489823,0.14379157644817891,0.035113252445455295,0.34163811480261463,0.4490532221796538,0.8563216511998955,0.22806625628916122,0.007799754698725904,0.09516621435473464,0.00047565281799743814,0.018973521921856463,0.0015730153663275903,0.052990228938393,-0.0035770221105169645
2024-03-01,0.477070220187249,0.6707351873628249,0.20075083756098644,0.05581999048662349,0.6082782355227945,0.47369691895563537,0.5586637589933662,0.10316619743878205,0.07353119187083931,0.6375818856479807,0.03247127767791903,0.14216501885534602,0.15177744747328828,0.06904269546353266,0.046841398307179226,0.16170363001887741,0.14372189902665022,0.03645764899328241,0.3396775255417063,0.45016558359559367,0.8660191164001722,0.2258964127201161,0.007240635509838297,0.09831148214977964,0.00029415205322810037,0.017828575656227925,0.0017009881909807005,0.053347362573683305,-0.004420277457504809
2024-04-01,0.4677255532623236,0.6807349309977352,0.20041544239385028,0.055763571085069644,0.6084961944718108,0.47380919562273827,0.5568747373330366,0.1043686332246019,0.07147813862215295,0.642731356892192,0.030236017703316936,0.1449916040463965,0.14527148146283722,0.0665890992009768,0.045613476367362876,0.16113954345917464,0.14261109604733282,0.03750991068274563,0.33829866626548777,0.45078951968250774,0.8770386725303507,0.22385860275076364,0.006510642317908357,0.10167655720229939,0.00015041441672475103,0.016701047968908846,0.0017742585444761733,0.05307369910881088,-0.005143955118715994
2024-05-01,0.4584100438824209,0.6920688021023664,0.20008838055796507,0.05438941029223508,0.6084132358632922,0.472704399292336,0.5549001801549793,0.1059789691012229,0.06976538786976547,0.6462529985116414,0.027781486917096372,0.14666542010762829,0.13832072099245324,0.06347480145771055,0.04426144684502911,0.15950524788227857,0.14053054320002478,0.03832670659483053,0.33685254990002267,0.4487344019020443,0.8859507959536167,0.22217037120402733,0.005582850380166137,0.10420734043468716,0.00011104202742248171,0.015525473087634632,0.001812136836045742,0.05331076933503985,-0.0057801873642667045
2024-06-01,0.4483949296221224,0.7016972974684793,0.2004809520597477,0.051998985598259356,0.607940413966769,0.46861673536661624,0.5529004229514731,0.10744885418971213,0.06848316159038483,0.6506542065409365,0.025795703509672654,0.14723519213105024,0.13081162449954153,0.06046696833204003,0.04362556266039031,0.15812385565377052,0.13762720536288614,0.03910784081029442,0.3332607385322416,0.4474184596637901,0.8911659301879742,0.22160676238809165,0.004730518098994644,0.10595864307653821,0.00018453936827408153,0.014674482219645806,0.0018023790457475652,0.05318800364660167,-0.006394563516112935
2024-07-01,0.43874980562215216,0.7105645310778006,0.20121314025214976,0.05108736789632354,0.608086557401295,0.4628253265654248,0.5512363858520387,0.10858759812065527,0.06771063142328886,0.6569742470775016,0.025039389697358097,0.14641552364368407,0.1237417410100877,0.05840056413836854,0.043307018503849874,0.15871124168482267,0.13609584036160288,0.039792700683373414,0.3343106086806191,0.44844517600617617,0.8954088825228207,0.2216044665912695,0.004261687167535002,0.10687685642479158,0.0003282091007863378,0.014414281365337851,0.001817877143427283,0.05303294605945442,-0.006815279336226937
