,Skill: PTC Windchill,Skill: Valves (Piping),Skill: Blogs,Skill: Risk Awareness,Skill: Orthopedics,Skill: Hydraulics,Skill: Financial Sales,Skill: Raiser's Edge NXT,Skill: Medical Ventilators,Skill: Algorithm Design,Skill: Team Foundation Server,Skill: Medical Records Filing,Skill: Brand Loyalty,Skill: Safety Culture,Skill: Equipment Calibration,Skill: Furniture Assembly,Skill: First Article Inspections,Skill: Logo Design,Skill: Landscape Architecture,Skill: Strategic Sourcing,Skill: Account Management,Skill: Team Effectiveness,Skill: Risk Mitigation,Skill: Articulate Storyline,Skill: Organizational Architecture,Skill: Security Testing,Skill: Daily Production Reports,Skill: Technical Sales,Skill: Instructional Strategies
2023-01-01,0.0008433024671963406,0.001028238447756967,0.002908508593918297,0.000706772847425369,3.934599734840892e-05,0.003091345751504786,9.488797135305451e-06,0.00028791290204278804,0.00017430933640970718,0.0006626358979475609,0.007428246543793583,2.2689289248186057e-05,0.0003379279481935853,0.0003124954629911812,4.3177057426191044e-05,0.00013269720071249386,6.169236284698934e-05,0.00019525619094234412,0.00013889272553177585,0.0013512957868437305,0.015663913914112218,0.00193209961219606,0.017623218826095022,0.0002100867877965255,0.0028187748609900245,0.004831983747870161,6.776263578034403e-21,0.00399857049606544,0.00019741134232582316
2023-02-01,0.0008175421427411733,0.0010453899507212332,0.002817418541564075,0.0006112223972315615,2.56089863263267e-05,0.0031138127377645245,-7.448383376204034e-06,0.00026522536275342263,0.0001680634382120796,0.00071299554395182,0.007451657849550109,2.5521644382970135e-05,0.0003336919369882942,0.0003242516715463064,4.963100383459858e-05,0.00014749416097756116,7.234079152986666e-05,0.0002468504709945154,0.00014054432426132308,0.001470206358503348,0.015677649060527595,0.002100646487002139,0.017750490045573112,0.0001925677159986749,0.0027564104324896673,0.00449964264305385,1.2276398903688488e-19,0.003937832045846788,0.00023634282702565419
2023-03-01,0.0007991041408849048,0.0010629544425197848,0.002757153783856795,0.0005392488551589623,2.7540857436460968e-05,0.0031413851203363026,-2.8322955914209446e-05,0.00019721783792379536,0.00014689262868203905,0.0007636735991913876,0.00747350454692487,2.553319768016846e-05,0.0003368503697367511,0.0003379280153094447,5.8474303269242045e-05,0.0001539335847498343,8.770712432232535e-05,0.00027171975282806493,0.00014963332635821507,0.0015878929277573601,0.015778435270038492,0.0023194174180944695,0.017874373915501295,0.0001808571608187473,0.0027600417103164233,0.004192627878708494,3.310892506980788e-08,0.003887756484128193,0.0002663013444045158
2023-04-01,0.0009258173752217593,0.0010809277062853006,0.0026586313601675766,0.0005288824817973674,4.013803552325491e-05,0.002964665262324923,-4.428998387344021e-05,0.00012660099717170294,0.00011275813668442896,0.0008297158331844598,0.007494220501308054,1.8555125128421175e-05,0.000338337085707396,0.00035517267038135645,7.07727762319897e-05,0.0001603404508674415,0.00011542654549193078,0.0002453945908606489,0.0001707037221134314,0.0016823008548354553,0.015948917770408442,0.0025434537403250775,0.01799528127483608,0.0001722497722657355,0.002800557559187719,0.004009699676046908,1.2461159309900236e-07,0.003848433011809007,0.000283186985845863
2023-05-01,0.0011320631901231334,0.0010993070452245228,0.0025360337769298955,0.0005729651021391916,5.155057405938871e-05,0.0024951488463863082,-4.966483039894286e-05,8.390909869720678e-05,7.737706122396008e-05,0.0008907292129167528,0.007514095073171232,8.240812752488672e-06,0.0003320172881805982,0.0003738410732497967,8.376276963166667e-05,0.0001676649193399874,0.00016103310680447693,0.00019493495505324728,0.0001837363654976818,0.001712712403146219,0.01613998881814268,0.0027358663173882455,0.018113809363461936,0.00018440880929968673,0.0028593153699002947,0.003924450410827873,2.6760744152549536e-07,0.0038198225585640935,0.0002885604320432371
2023-06-01,0.001271730021613443,0.001118091097962496,0.002458228981106512,0.0006247662284335547,5.645913577923846e-05,0.0018281759517439038,-4.520042122757493e-05,6.669271482606128e-05,5.500199922106914e-05,0.0009019812614171198,0.007533315390262712,1.7520527054055437e-06,0.00031674936895466837,0.00038851452439743196,9.77147308796809e-05,0.00017865688233199636,0.00022539632175995364,0.0001755521733224433,0.00017986139225172567,0.0016749436149765522,0.01622713883774661,0.0028807452841244025,0.018230680721326022,0.00022484179769309266,0.0029202521013548567,0.0038493632408651886,4.182258771941191e-07,0.003801764118254489,0.00028809702086202095
2023-07-01,0.0012589991072700893,0.0011372796788495165,0.00241683731048917,0.0006386867387690373,5.9579299196069646e-05,0.0011774845814690447,-3.682031253384824e-05,7.216125475126899e-05,5.4654551886096985e-05,0.000864619399715978,0.007551996849263926,-7.672189137791004e-07,0.00030323041002176885,0.0004026799577458066,0.00011381227021260706,0.00019328810866580073,0.0003041555081263435,0.0002174627971202056,0.00016925350779281503,0.0016169549602285298,0.016427449340228252,0.002978514362307106,0.018346685599370773,0.00026796776953984545,0.0029548865742130195,0.003740665836555813,5.456179944587405e-07,0.003793982201990022,0.00028950232693732885
2023-08-01,0.00114218961967269,0.0011568736399085251,0.002403221545705856,0.0006167437632506673,6.663696855794898e-05,0.0005974201652681498,-3.1429471291588194e-05,0.00011072476791316554,7.515599379519962e-05,0.0008041590060377693,0.007570205092163078,-2.5806130040128585e-06,0.00028418913559006556,0.0004306977017190782,0.00013117578445025267,0.000211317478829459,0.00038943327432824915,0.0002954438677126578,0.00017160594339890405,0.001594638322446218,0.0167373236999032,0.0030316450492692834,0.018462630352596623,0.0002900537835774534,0.002938609954036178,0.003634865531072883,6.519853771882133e-07,0.0037960952714961305,0.0002993113602229293
2023-09-01,0.0010036082258784726,0.0011768747515438225,0.0024026390523182463,0.0005848349167050206,7.596626928151414e-05,-7.378842412125762e-05,-3.2698729364783445e-05,0.00017232598237897269,0.00010571198262158802,0.0007259494937970215,0.0075879718081789125,-2.8910621764354242e-06,0.00026764439606421,0.0004669806732564237,0.00014738934023432785,0.00022700895831337788,0.00047288005371987443,0.00035652365821029684,0.00019573816702618806,0.0016212756604180212,0.017005708430859384,0.003032187416640435,0.018579293558941647,0.00029650279705289886,0.0028764753237225903,0.0035940529642874697,7.431527337398686e-07,0.003807625010415818,0.0003188095351968472
2023-10-01,0.0008559974189328277,0.0011972855995160078,0.0023879993437705234,0.0005582250919606556,8.124201993289646e-05,-0.0008343152480565128,-3.909991097148809e-05,0.00021401285316215862,0.00013196424276868413,0.0006033901420334832,0.007605306064284073,9.438490297995034e-07,0.0002659661690163351,0.0004884178397732072,0.00015856661251285731,0.00022947681997156948,0.0005485564595515448,0.00037737575966790416,0.0002313939592542409,0.0016596493394728244,0.017302644149354833,0.0029588843266873015,0.018697390909083622,0.00029622504594186956,0.002797830528556744,0.0036357644565886433,8.260661487015076e-07,0.0038280062880309894,0.0003416759004056032
