,Skill cat: Information Technology,"Skill cat: Maintenance, Repair, and Facility Services",Skill cat: Architecture and Construction,Skill cat: Design,Skill cat: Engineering,Skill cat: Media and Communications,Skill cat: Business,Skill cat: Health Care,Skill cat: Finance,Skill cat: Human Resources,Skill cat: Manufacturing and Production,Skill cat: Marketing and Public Relations,Skill cat: Energy and Utilities,Skill cat: Customer and Client Support,Skill cat: Education and Training,Skill cat: Public Safety and National Security,Skill cat: Science and Research,Skill cat: Analysis,Skill cat: Environment,"Skill cat: Transportation, Supply Chain, and Logistics","Skill cat: Law, Regulation, and Compliance",Skill cat: Physical and Inherent Abilities,Skill cat: Administration,Skill cat: Sales,"Skill cat: Performing Arts, Sports, and Recreation","Skill cat: Economics, Policy, and Social Studies","Skill cat: Agriculture, Horticulture, and Landscaping",Skill cat: Personal Care and Services,Skill cat: Hospitality and Food Services,Skill cat: Property and Real Estate
2023-01-01,0.36315805426060294,0.05954219397163315,0.03247763368307707,0.038257808341253884,0.03829337019860879,0.7098239276604981,0.6933448246673598,0.11431117623116491,0.4669660102906673,0.10691204699647039,0.07644499671283095,0.29436275887246827,0.00813920460572985,0.517941539643613,0.07715715238442912,0.021068430804021772,0.14724431236128188,0.1990152861073738,0.008863650386069427,0.19298186275133394,0.31695197372132233,0.7827678998390281,0.46590964524015016,0.5415748592684937,0.003873405527651074,0.05692492433860474,0.00535826011905514,0.0024337002055941836,0.0588758228442622,0.02709241031414558
2023-02-01,0.3639484480639188,0.05975461400287115,0.030675236344436148,0.038398340419740176,0.03860224218316399,0.7082204902464074,0.6926277765013968,0.1154366046195786,0.4684135750730896,0.10865377085511244,0.07676249094749714,0.2948906120824405,0.00816260403633168,0.5171753841621914,0.07816394855934859,0.02127669408722284,0.14716924293111602,0.19915699355291197,0.009090704782868221,0.1936953953994216,0.31661800460890405,0.7808008524533672,0.4661296294227921,0.5401508292933156,0.0038920145903303827,0.055513416692857004,0.005648903961123355,0.0025497427243758196,0.05908947382720089,0.027091232430083646
2023-03-01,0.3653293281171021,0.060140615498367196,0.02904911144830941,0.03850407828760751,0.038912394314141015,0.7069729567304931,0.6913368259027405,0.11658006681372093,0.46900410431917794,0.11040899421201683,0.07721463836911327,0.296507354490887,0.008145260842303052,0.518006422027503,0.07962347149430575,0.021132716647238627,0.14695497049156583,0.19807400681355333,0.009254391554523546,0.19434174724166917,0.316062369583055,0.7792698151614756,0.46604727679942287,0.5394589687878472,0.003928129478035718,0.05309640161612518,0.005926025450669064,0.002646866853204789,0.05925518427819725,0.02703229061380611
2023-04-01,0.36626113700299484,0.06059092695472257,0.02780462245642103,0.03862497827370262,0.03910099818387942,0.7061064736520707,0.6893939115621449,0.11751686236702186,0.4688888965501912,0.1120861593562883,0.07778012540355074,0.29566393834842103,0.008108153574906931,0.5194537107228125,0.08108749635153306,0.0208044324601224,0.14655284574932875,0.19530191939951674,0.009373579245782864,0.19504020447001993,0.3155122936134617,0.7785210789074523,0.4654039855777315,0.5388809693152932,0.0038897885731026044,0.05002576772540712,0.00606029649328052,0.002740525053553253,0.05939025705740908,0.026992630562622237
2023-05-01,0.36603615610550866,0.06094767423523833,0.026941740442476613,0.03873033472961721,0.03920983318274705,0.7054734657730941,0.686949077963699,0.11824055661297658,0.46844388966033057,0.11350568690103793,0.07802205793739282,0.28999807433211505,0.00809187751612037,0.5212177122349755,0.08243348806226354,0.020895620725965416,0.146265437431269,0.1910596075162107,0.009476956087180279,0.19567981934429918,0.31556913253957497,0.7778776001640844,0.4647746994682121,0.5374648803371564,0.0037943890409039443,0.04643234704699194,0.00622179010266743,0.002828044687043087,0.05958168933213377,0.02702554967006111
2023-06-01,0.36612222324596067,0.06127669840787167,0.026393619925175613,0.038816559860182495,0.03942434243028312,0.7056369802149474,0.6850990978193874,0.1189851098088113,0.46828700156736036,0.11483667235215836,0.07820795194022163,0.28462595859392453,0.008090453819764538,0.5235434001837579,0.0846525189829836,0.021616831086619784,0.14629954291348835,0.18772750011835093,0.009607244797399092,0.19620578655946813,0.3162584194770002,0.777161026750572,0.4644241266271465,0.5353649298291916,0.003811859475283963,0.043864633276398446,0.006483168376221605,0.0028811777450887706,0.059727087040587955,0.027090703137669245
2023-07-01,0.36676482951330935,0.06160665258253409,0.02614090372190279,0.03889601141995721,0.03968470843311866,0.7070821934141789,0.684116313063736,0.1198107216153754,0.4679047364119924,0.11629678092950194,0.07869470005460376,0.28377811442360173,0.008099968984034579,0.5251108103660787,0.08770265488953254,0.02253160983657536,0.14672711112392112,0.18619940231664014,0.009789274676547314,0.19676336109039466,0.3170595191927336,0.776809943665356,0.4639111582906403,0.5335090054331959,0.00395192968282478,0.04304510125446835,0.006636044613948322,0.0029139014589515525,0.05973521083176683,0.02707810059810931
2023-08-01,0.36721335757266194,0.06205003354619418,0.02610170298601475,0.039020809703683004,0.0399350529154324,0.7097701237533494,0.6837380833586718,0.12068637263620043,0.46748363447509833,0.11797675002634861,0.07949967063160421,0.2845951132151867,0.008107664105877202,0.5232696856608245,0.09039991044833857,0.02364224521628953,0.14739576328585857,0.18552341335248196,0.009990875532861914,0.19762706848017558,0.3173951737228415,0.7773981440451582,0.4632849518714814,0.5325444809978184,0.004034702575439507,0.04383247801864836,0.006427015529337459,0.0029609631301713035,0.05967385526579312,0.026919861171273388
2023-09-01,0.36729328344811185,0.06254376344895361,0.025837327570547814,0.03928623988143495,0.040173193128433655,0.71271768765448,0.6837521118582913,0.12150178372227638,0.4670152172496216,0.11969840074910786,0.0805309974715637,0.28492856083349805,0.008060915370261358,0.5178484026648171,0.09268543800538379,0.025402603407370362,0.1480860846353181,0.18618218508101528,0.010197099176834116,0.1986333339129397,0.3166186750361313,0.7783547663951771,0.4626432400397494,0.5323513359287192,0.0039974577146581645,0.04570081629428967,0.006122091152285963,0.003024170862674378,0.05950616692896469,0.026718264611194913
2023-10-01,0.3680377521983524,0.06302108796801818,0.025152694857251117,0.039624881658850516,0.04039604800188046,0.7146202290576296,0.6834624246583102,0.12202156460154635,0.466310718174375,0.1213780476685849,0.08135215582472355,0.2907357323034035,0.007966711058795215,0.5131300835674575,0.09584723152982631,0.027458882311933958,0.14869105676929972,0.18990090447986213,0.010412030648510266,0.19934710106208403,0.3155721890516813,0.7782706847211719,0.4620798072868189,0.5321140074927985,0.00408001663116905,0.048787005014131954,0.006079731383689351,0.003083865954932933,0.05931570429017164,0.026563151247168473
