,Skill: PTC Windchill,Skill: Strong Academic Record,Skill: Valves (Piping),Skill: Solid-State Drives,Skill: Blogs,Skill: Ecology,Skill: Risk Awareness,Skill: Orthopedics,Skill: Hydraulics,Skill: Financial Sales,Skill: Raiser's Edge NXT,Skill: Medical Ventilators,Skill: Information Systems,Skill: Team Foundation Server,Skill: Equipment Calibration,Skill: Human Capital,Skill: Logo Design,Skill: Strategic Sourcing,Skill: Account Management,Skill: Team Effectiveness,Skill: Risk Mitigation,Skill: Articulate Storyline,Skill: Technology Strategies,Skill: Organizational Architecture,Skill: Security Testing,Skill: Technical Sales,Skill: Relational Databases,Skill: Instructional Strategies
2023-01-01,2.7777808958509475e-05,0.00012647574801546285,2.2279492292708742e-05,0.0004415892438557582,0.0014860019211111436,7.617618994133139e-05,-1.3552527156068805e-20,0.0036725963186208565,8.134167362903887e-05,0.0001927361997719602,7.94576622695402e-05,1.0818710881720747e-06,0.002539864625372174,2.517131294586507e-08,1.9222081458936005e-06,0.0005433718662390384,3.173888794491709e-05,8.723256373829793e-05,0.0005660440651778701,0.0004929439724438852,0.00012318324316906208,0.007538744860477869,0.00017862168834845295,0.00029358038100082523,8.134167362903887e-05,5.8261248656740696e-05,0.0003883600015437452,0.012105530743407512
2023-02-01,1.807333191927481e-05,0.00012570141078774554,2.5118572931635937e-05,0.0004987519392760803,0.001798784545335944,4.08207854931448e-05,-3.562351674403465e-20,0.004055258120449881,3.1826728314904645e-05,0.00022972240034228834,4.2131239412296025e-05,1.5200715825806577e-06,0.002494873029846217,3.095761693914925e-07,1.0415684569154484e-05,0.0005939509895488292,2.06825477711648e-05,9.119792900055803e-05,0.0005585253461790202,0.0003925281908178144,0.00014858745999137446,0.007465443030582712,0.0001914785278959824,0.00023301397061287706,3.1826728314904645e-05,1.8697719362118986e-05,0.00038804273015593865,0.012344848518105283
2023-03-01,1.9186904145734182e-05,0.00012120217708567788,2.322107686146813e-05,0.0005634607644680275,0.002443732034558507,2.0645541596038026e-05,-6.801468552865454e-20,0.004230797347817682,-0.0002594802637430249,0.00019562975274690442,7.397154444998198e-06,1.1630203529601778e-06,0.0023883167873856707,-6.184692862204385e-07,2.290109596483916e-05,0.000639569683612034,6.361961847759637e-06,0.00010019380093848147,0.0005327502697798495,0.00030823650848465535,0.00016676620153784647,0.007320678120838268,0.0002029233967207894,0.00018472455699819994,-0.0002594802637430249,-2.2492723200565325e-05,0.00039768902527808573,0.012569032847262735
2023-04-01,1.6627101299080508e-05,0.0001145222906604379,2.0869879453398716e-05,0.0006368391417915593,0.0037708797049937834,1.136236595464564e-05,-6.821482581077223e-20,0.004282781124257602,-0.0009722712434740884,-8.773586138794268e-05,-7.894192062674242e-06,1.4500078677609578e-06,0.0022812529105889537,-1.1081249393628668e-06,3.0085185451332128e-05,0.0006636747583711868,2.8821541500423216e-06,0.00010737356311765536,0.0005042435975693002,0.00026201128891908195,0.0001804239033910109,0.0071999929852822175,0.00021901774537360903,0.0002006325228890522,-0.0009722712434740884,-6.193532398498475e-05,0.00040961684894321777,0.012836654254823296
2023-05-01,4.53576954276802e-06,0.00010702221341282191,1.8672748771004415e-05,0.0007201621208865887,0.005782553323281689,-6.023553830866618e-06,-6.824836031801496e-20,0.00432345441205314,-0.0022615707584372753,-0.0008039285098066534,-5.764998216871386e-06,1.9476661013065283e-06,0.002249625187215889,-2.4357439642703247e-06,3.191398716509308e-05,0.0006885154049784752,1.5532127062942633e-05,0.00010646878380194121,0.000462159912698395,0.00029628585844360036,0.0001833631541887106,0.0072031577240261446,0.0002476662423464437,0.00027767017940152623,-0.0022615707584372753,-8.997538946019123e-05,0.0003748913058715505,0.013155476787218985
2023-06-01,-1.2255681360658389e-05,9.97864256956743e-05,2.0058698216568408e-05,0.0008148499311999943,0.00817935768534506,-3.719003036773174e-05,-6.793111709081363e-20,0.004521605218590052,-0.004320062707484556,-0.002099648846675775,9.270784955948166e-07,-7.406657663759336e-07,0.002317809430209554,-5.266758984903568e-06,2.7734311845422602e-05,0.0007255931460129115,3.193023937954526e-05,0.00010351043420950917,0.000419354652711626,0.0004069770356169407,0.0001817732239823751,0.007383406872702636,0.00028831435703815367,0.00036104614282515596,-0.004320062707484556,-0.00010692371513755001,0.00030034822257411873,0.013413099928916667
2023-07-01,-2.7403998025271904e-05,9.358403996974398e-05,2.54855929867691e-05,0.0009225081012611219,0.011065806760783909,-5.756577822091761e-05,-6.792743395151367e-20,0.0050644064764924284,-0.006829349484739081,-0.00411623119332267,6.437924734884905e-06,3.0536921260829268e-06,0.002440176307474699,-8.34045687215839e-06,1.4593201381282649e-05,0.0007584290102445161,3.65301013089782e-05,9.367443512321732e-05,0.0003676325001769818,0.0005389340993004646,0.00017702337830735157,0.007577132410152773,0.0003200062288514399,0.00041611062134448045,-0.006829349484739081,-0.00011396502784898494,0.00025318306390773645,0.013518579510364415
2023-08-01,-3.990319407112828e-05,8.887239229074295e-05,3.2903557678683296e-05,0.0010449894642008911,0.015537655737815955,-6.175891045363997e-05,-6.835268572489388e-20,0.005883150040098896,-0.00732023135020109,-0.007011247794386936,1.1823054618765765e-05,1.310962326879984e-05,0.002558968032877807,-9.073390540571812e-06,3.2400338573837235e-06,0.0007662715711219256,2.678779205921202e-05,6.919922392154129e-05,0.0003098624033797096,0.0006641742397064364,0.00016505852972307074,0.00744221909527726,0.00033169297574070944,0.00046355977043393914,-0.00732023135020109,-0.00011447335028161922,0.0002677307455363107,0.013563405468915955
2023-09-01,-5.253397573602376e-05,8.583192249896052e-05,4.144142008520861e-05,0.0011844576578209694,0.023310966636233006,-6.504870576325101e-05,-6.838880949079706e-20,0.0068090760916001474,0.0006376379079963292,-0.01096472217317197,2.0690201010372505e-05,2.0362116574272675e-05,0.0026650748606165974,-8.284569103800458e-06,3.597721147123367e-07,0.0007427918048838503,1.117244396419857e-05,3.603447540325013e-05,0.00025696622255123,0.0007815780770725961,0.00015150379594612578,0.0069029282100887355,0.00032982461609512543,0.0004977508567761846,0.0006376379079963292,-0.00011926225874172065,0.00033245137372622905,0.013605527238537918
2023-10-01,-6.751181704639386e-05,8.442049710750992e-05,5.004728915332011e-05,0.0013434428143577267,0.035780560374025744,-7.562314620755169e-05,-6.877522615094169e-20,0.007554802024551057,0.02882542222584689,-0.015848138731103464,2.8963815781271393e-05,2.2797957984561984e-05,0.0027752258067927403,-9.173758046294662e-06,7.638566389267976e-06,0.0006846159748777529,-1.6549760094118178e-06,1.3664384579691918e-05,0.00023192039048398276,0.0009074341754320847,0.00012139432383814733,0.00617742736663811,0.0003262572605642181,0.0005082523035407149,0.02882542222584689,-0.00012818637168091526,0.0003815686579815848,0.013484593450543066
2023-11-01,-8.556793743171034e-05,8.443643814214782e-05,5.5868382936040395e-05,0.00152489023563315,0.05383225463301379,-9.076811210345835e-05,-6.876418582016238e-20,0.007958745720230415,0.09622018312615542,-0.020326154610409326,3.739453799611606e-05,2.208511015937886e-05,0.002884169770141955,-1.0717153987986719e-05,1.7874207400985206e-05,0.0006054853539900671,-1.1608441975019303e-05,1.0778073277257632e-05,0.00027061289947750527,0.0010229469991814171,7.98655814336796e-05,0.005554604762992311,0.00033854552176150243,0.00048813141280055274,0.09622018312615542,-0.0001388442195795861,0.00041086581758039277,0.013097989220232139
2023-12-01,-0.00010758935867682785,8.558144845801852e-05,5.623479317163897e-05,0.0017322082809906657,0.0792111217401632,-8.955871426521575e-05,-6.883084691380187e-20,0.008160653710723094,0.22725718721131055,-0.020906717917922653,4.7891718902889895e-05,2.3746681523944883e-05,0.0029486300721192514,-1.2644887979021019e-05,2.1423318422766956e-05,0.0005101988160071853,-1.5388474085337305e-05,7.136255331417736e-06,0.00034441061251796513,0.0011456967524022357,4.878454723421465e-05,0.005193778112778688,0.0003709426352651037,0.00046607976909935516,0.22725718721131055,-0.0001454917025837334,0.0004424157328273606,0.012533664217035119
