,Skill cat: Information Technology,Skill cat: Architecture and Construction,Skill cat: Design,Skill cat: Engineering,Skill cat: Business,Skill cat: Manufacturing and Production,Skill cat: Energy and Utilities,Skill cat: Customer and Client Support,Skill cat: Education and Training,Skill cat: Public Safety and National Security,Skill cat: Science and Research,Skill cat: Analysis,Skill cat: Environment,"Skill cat: Transportation, Supply Chain, and Logistics","Skill cat: Law, Regulation, and Compliance",Skill cat: Physical and Inherent Abilities,Skill cat: Administration,Skill cat: Social and Human Services,Skill cat: Sales,"Skill cat: Performing Arts, Sports, and Recreation","Skill cat: Economics, Policy, and Social Studies","Skill cat: Agriculture, Horticulture, and Landscaping",Skill cat: Personal Care and Services,Skill cat: Hospitality and Food Services,Skill cat: Property and Real Estate
2023-01-01,0.17379448261215708,0.020971892408916233,0.013692942709570062,0.01794358167659742,0.5033320029476487,0.08157317022354346,0.002183654414031675,0.4539320409845083,0.05445359849661413,0.05321034085487506,0.031785414766060824,0.11515670720498135,0.0072487665703717535,0.17103837078514297,0.46526555168523914,0.6636224791431313,0.2576733338746614,0.006466763069014395,0.3002630160408695,0.004596392165431185,0.016231405796240696,0.0022446356652578124,0.0007706702459396365,0.719257014225695,0.014311080616592173
2023-02-01,0.16494169019109747,0.021907550777370388,0.013998445926044326,0.018901870937280418,0.5169335119871509,0.07934898363289943,0.00154636089918975,0.45807356627249074,0.05641110305178809,0.05466150442958219,0.03284166040636849,0.11642366678778854,0.007379641145320505,0.17266212091417055,0.47176616684563766,0.6621967724847511,0.26733668590640497,0.0067826108114978885,0.30885010875369967,0.004481487301793394,0.016608070501319204,0.002479499645566135,0.0006396295943505031,0.7279266195274174,0.014136036329901168
2023-03-01,0.15192644549362375,0.022970756706861738,0.014360878403444945,0.020172515170375303,0.5330158186714372,0.07983946045121633,0.0009169088712346195,0.46220562514531177,0.0579186644277563,0.05591410481625281,0.03409767735338961,0.11824225673403238,0.007499817422187641,0.17498365015231893,0.478246331546771,0.6609181714760972,0.2798715626374442,0.007135596649202807,0.3174410081934397,0.004420737223029494,0.017167162224536278,0.002591425387509747,0.0005143074891329173,0.735888305369001,0.013943898870820443
2023-04-01,0.13813678694129777,0.023836938663386598,0.014881439097174636,0.021299193843681535,0.5511663907540981,0.08215818085013922,0.00030696679531767705,0.4658381086450933,0.058828739192826246,0.05675751412399522,0.03534166305114346,0.11998667874658192,0.007612133279446395,0.17737422015679283,0.48316761338893144,0.6597575677181605,0.2944588265187857,0.007334915877917592,0.3262156187958629,0.004361644264461647,0.017634397720655413,0.0026638409373240203,0.00036685092901540725,0.74089699074435,0.013745179246619174
2023-05-01,0.12824264024903578,0.024660320033888315,0.01522439027071193,0.02192037156249991,0.5726137646372141,0.08527033712106875,-0.0002713866846723904,0.4698181545771686,0.05903985387120989,0.05721812896491876,0.0363311910268002,0.12114294412887662,0.007718815748577907,0.1810545297848715,0.48841057385485537,0.6586915568548489,0.31041559514709005,0.007392391067710958,0.3347666164598506,0.004200101226862497,0.01785854488679863,0.0027471894945373344,0.00022094856920443082,0.7422711118022766,0.013550121613711571
2023-06-01,0.12382782609047642,0.025323565652643758,0.015197938589146639,0.022208141146896065,0.5992765780233279,0.08899368871765932,-0.0008059637862848283,0.4728404514731177,0.05849807710658088,0.05736468650198551,0.03710598583278029,0.12202523478837389,0.007821611930905041,0.18565946847227072,0.4958989362326511,0.6577013271556907,0.3272924660945888,0.00753069552470841,0.34293882177872775,0.0039156993521710926,0.018042909853529673,0.0028019560791192662,0.00010552677694380453,0.740508001726303,0.013368088866271353
2023-07-01,0.12159125187916985,0.025611705967814268,0.014806494467235674,0.02250343497847098,0.6313965240445164,0.09343861820998269,-0.001284777737851901,0.47385309443048207,0.05719776570905033,0.05720321762075529,0.03731874136014719,0.12331486403653108,0.007921891859094997,0.18866452786258878,0.5023267029469723,0.6567717639273676,0.34512002112913126,0.007800968899609493,0.34975967787464735,0.003571992694162561,0.018342502532609543,0.0028509429193414922,-3.0501312046024272e-05,0.7364964694651354,0.013207081829376677
2023-08-01,0.1163627532406014,0.0256900758302834,0.014294814638992383,0.022800953350493106,0.6676923813363923,0.09847970114961686,-0.0016963568629532009,0.4764928536627213,0.05518210916745249,0.056733950681801926,0.03691898439601293,0.12538961813889746,0.008020729315543079,0.19087547283402745,0.5069608201213117,0.6558907279257902,0.36428188226891606,0.008024893420628103,0.35521898871343055,0.0032338532121621013,0.018653589035288166,0.0029079304385521533,-0.00014898788892810458,0.7310191160189231,0.013073402031218165
2023-09-01,0.10584085722969118,0.02569831990607215,0.013958316377725839,0.022709245308407656,0.7070949702032246,0.10328148948412733,-0.002030056832554196,0.4828883193243995,0.05254291195173436,0.05605108592836622,0.0362256837603824,0.12829814502986403,0.008118965331442633,0.1933072323378191,0.5110740555577815,0.6550484740371394,0.38508344551246604,0.008249152739844442,0.3603433896564699,0.0029008913966705975,0.018803429661770857,0.0029083485150075633,-0.00021205695598455092,0.7251145526869758,0.0129714569417001
2023-10-01,0.0921518233517853,0.025860744306412938,0.013864850349122444,0.021891825529668063,0.7496316326335156,0.10684216252223941,-0.0022763648711488556,0.4908192311099525,0.0494183849047501,0.05533392919663931,0.03566710291948007,0.1320989342529661,0.008217258078042319,0.19515103074839307,0.5147441796197911,0.6542371830268643,0.4075777321107364,0.008567943051949724,0.36501829762340465,0.002534515694880205,0.018752035035278967,0.002845317679079651,-0.0002127934102705929,0.7200197267013431,0.012903697545633626
