,"Skill cat: Maintenance, Repair, and Facility Services",Skill cat: Architecture and Construction,Skill cat: Design,Skill cat: Engineering,Skill cat: Media and Communications,Skill cat: Health Care,Skill cat: Finance,Skill cat: Human Resources,Skill cat: Manufacturing and Production,Skill cat: Energy and Utilities,Skill cat: Customer and Client Support,Skill cat: Education and Training,Skill cat: Public Safety and National Security,Skill cat: Science and Research,Skill cat: Analysis,Skill cat: Environment,"Skill cat: Transportation, Supply Chain, and Logistics","Skill cat: Law, Regulation, and Compliance",Skill cat: Physical and Inherent Abilities,Skill cat: Administration,Skill cat: Social and Human Services,Skill cat: Sales,"Skill cat: Performing Arts, Sports, and Recreation","Skill cat: Economics, Policy, and Social Studies","Skill cat: Agriculture, Horticulture, and Landscaping",Skill cat: Personal Care and Services,Skill cat: Hospitality and Food Services,Skill cat: Property and Real Estate
2023-01-01,0.5987081188822938,0.2187422191530262,0.04773903243405497,0.5922956116750905,0.44793621358030844,0.10308688758322847,0.07716579221910305,0.052970197995980114,0.5970379793330965,0.12151780403430859,0.14539151735269334,0.05648695771073123,0.04922881188337903,0.1504538842334456,0.1427001243646086,0.03407093350884402,0.34533825091184106,0.43461598627271514,0.7425621789356014,0.24336868038624054,0.004765530704074878,0.06018074405786565,0.0022579952531345342,0.011999086596309542,0.010477030580746732,0.002012520682333317,0.05904677775718075,0.002439138087561391
2023-02-01,0.6016021111904604,0.2199909094127069,0.04948107813873227,0.5987763883048858,0.4475071069941427,0.10295459068674408,0.07552324697745279,0.05408940854041669,0.5949835305222397,0.12163000902971502,0.14828034428556824,0.0586310705741194,0.049064701464151095,0.1460872505278332,0.13987919744425273,0.03499248517503277,0.345045734910573,0.43097103906514755,0.7489792642734502,0.23978460107939778,0.004920184105786598,0.061452241632844046,0.002302230190284296,0.013592616983343249,0.010746337891851752,0.0021890929406979624,0.062187023814788564,0.002501158183907377
2023-03-01,0.603186534826559,0.22172663021138825,0.0517540701773608,0.606100282271729,0.45057179105977385,0.10261763676348584,0.07420134818251942,0.054733819358925156,0.5929123198179574,0.12068298110348621,0.15130735305576887,0.061356580415809346,0.04895381423929398,0.14389331723243912,0.136262147651677,0.03587915121091434,0.3449582699253583,0.43207550999348626,0.7581658436736427,0.23476011337480043,0.004997654985527058,0.06286632090603175,0.0024897819665408356,0.01603135128656282,0.011295304427223441,0.0022696308157274647,0.06562853927124578,0.0026131842911395683
2023-04-01,0.6034133908185481,0.22372414389799916,0.05433493746267553,0.6133255220898214,0.4573646003797118,0.1021275120400037,0.07582101261945345,0.054679305234537845,0.5921176573554168,0.11858674574395307,0.15417234651653192,0.06370892899266781,0.04888406116322092,0.14497738961592674,0.13247881347700202,0.036093248801689036,0.3416348919557564,0.4391502558452294,0.7700265873516703,0.22901434699695306,0.004932752963920078,0.06354388655543747,0.002801813347506728,0.01926310889439515,0.012096879939349959,0.002259037695718778,0.06928319756415535,0.002752199887564713
2023-05-01,0.6031265711954656,0.2256660653780099,0.05695610567104415,0.6195741354200118,0.46687041604074353,0.10154035332861176,0.0807649540762854,0.053844777002510974,0.5929630156163361,0.11638542663821375,0.15634565122471306,0.06491114300219024,0.04884529236983527,0.14718606002022122,0.12902118649734404,0.03529424617613593,0.3365853103801917,0.4492762449516186,0.7846050951216256,0.22328777992000198,0.004749325288223218,0.06286869180577198,0.003193717847651673,0.02309070051569334,0.013098800468562866,0.0021707836824258774,0.07304557741804389,0.0028093838207584737
2023-06-01,0.6033493845758093,0.22719654886506022,0.059367477167105366,0.6242225410699138,0.4770418356427005,0.10091329063391509,0.08663740923102554,0.05232985037368877,0.594209489851524,0.11519406610802266,0.15750803266998958,0.06495222516063137,0.048829015788431976,0.14676554696392627,0.1262835626058091,0.03384439128059498,0.33272622958971987,0.45918396987281557,0.8021880285842444,0.21813670473803648,0.004524468620457828,0.06115873122498536,0.0036393777274082192,0.027467544426970414,0.014227166826627023,0.0020227736304269986,0.07679971438488245,0.0026697297896239106
2023-07-01,0.6045862364160585,0.22797650400933453,0.06138584552849201,0.6270174924924066,0.48539256280566795,0.10030127665676025,0.08979159037796856,0.05041921112205028,0.5942380284624182,0.11513751133663888,0.15771268465289556,0.06451670120491294,0.04882816395185067,0.14180090652106184,0.12462746593354099,0.03267454003877598,0.32783609576127437,0.46884904287602763,0.8229280047463161,0.21385129659107016,0.004324900619811296,0.05958199057624148,0.004175447076400578,0.03260949593264941,0.015392203269449456,0.0018335051636818385,0.08042349064242157,0.002303895645806426
2023-08-01,0.6064991166407749,0.22773366710505594,0.06292849529863306,0.6280981209686952,0.48954904749986444,0.09975448469994036,0.08810396971005865,0.04851453385989497,0.5928127861509048,0.11538430452209203,0.1572923990867025,0.06430647717967998,0.048836900311180695,0.13421476388180412,0.1243935010940685,0.03261451493494538,0.3215111617291966,0.48098856245443644,0.8466010780584383,0.21049207378648177,0.004182468790005753,0.0593099460967395,0.004918920951253073,0.03894141254826299,0.01649578154288068,0.0016191957802103372,0.08379206685844223,0.0018212519089211027
2023-09-01,0.6081058118676523,0.2263022540977264,0.06402010297109233,0.6279288411939087,0.48741631430735266,0.09931631455078609,0.08301524598930887,0.04703002571078807,0.5914841124128638,0.11510500785424864,0.15660485390933598,0.06440903668378001,0.04885045781792232,0.1281450187892144,0.12582611390558807,0.033672779106808375,0.31639658644124496,0.4974343503002042,0.8727333365155794,0.20799546139581043,0.0040962834496271715,0.06058546384225539,0.0060332758556099955,0.04701841111531361,0.017440112554896137,0.0013922297230940157,0.08678061516615347,0.0014213919291211404
2023-10-01,0.6083276435583961,0.2236484600683262,0.06476287370606434,0.6271678866836026,0.47687299339039413,0.09902200912105884,0.07907567635810565,0.04630168134345242,0.5922452423986366,0.1142803641588204,0.1558143320304804,0.06431751152624268,0.04886500374665701,0.1259797110331559,0.1289376732387441,0.03488161968971998,0.3125926631975078,0.5164043734708496,0.9007977003457119,0.20628518640973648,0.004031076965437949,0.06254700316837669,0.007665905306116952,0.05746741951698907,0.018136869791283913,0.0011609406878202856,0.0892665399198863,0.0012644933378802119
