,"Skill cat: Maintenance, Repair, and Facility Services",Skill cat: Architecture and Construction,Skill cat: Design,Skill cat: Media and Communications,Skill cat: Business,Skill cat: Health Care,Skill cat: Finance,Skill cat: Human Resources,Skill cat: Manufacturing and Production,Skill cat: Marketing and Public Relations,Skill cat: Energy and Utilities,Skill cat: Customer and Client Support,Skill cat: Education and Training,Skill cat: Public Safety and National Security,Skill cat: Science and Research,Skill cat: Analysis,Skill cat: Environment,"Skill cat: Transportation, Supply Chain, and Logistics","Skill cat: Law, Regulation, and Compliance",Skill cat: Physical and Inherent Abilities,Skill cat: Administration,Skill cat: Social and Human Services,Skill cat: Sales,"Skill cat: Performing Arts, Sports, and Recreation","Skill cat: Economics, Policy, and Social Studies","Skill cat: Agriculture, Horticulture, and Landscaping",Skill cat: Personal Care and Services,Skill cat: Hospitality and Food Services,Skill cat: Property and Real Estate
2023-01-01,0.4714806347480451,0.1832365575436497,0.03177314206960738,0.48897642122168583,0.5867014658191346,0.09004552218029906,0.13965974657440608,0.11377664199695832,0.6306238371569415,0.044216015880647774,0.05936934882204203,0.16850658017562994,0.07183756618793939,0.032841081439904746,0.12665927920269393,0.1750515134399396,0.04709777838901813,0.37642203290447446,0.4913519932660002,0.7117091584286432,0.28215193017374435,0.007701881221531047,0.10426790630050622,0.0034495387273139697,0.013824722379497341,0.017593068406090914,0.0006197332420957624,0.08157755388459838,0.004037879681936293
2023-02-01,0.4739868481904017,0.18077808805694495,0.032408610389701054,0.4867072106960568,0.58876216322384,0.09070961102355257,0.13687635912956886,0.1145572819950236,0.630011805305209,0.0447342441307605,0.058884671268702185,0.1688334814345362,0.0719876741965147,0.033337453975275315,0.12660913384169475,0.17506318751616134,0.04995947984534237,0.3774999318102041,0.49320562086344766,0.7097599446844757,0.28180236535340086,0.007823236942194892,0.10714146716414272,0.003447210250882538,0.014072770156658271,0.01818463234947828,0.0006059476724986272,0.08153424392509825,0.004158164145870667
2023-03-01,0.4757177003779523,0.17773304123828323,0.032962060863166255,0.48327119065231644,0.5905419278699429,0.09135695750997476,0.13269908618832288,0.11474677726553287,0.629809346822864,0.04516078027049318,0.0570496227405965,0.16959987326825846,0.07189173934873333,0.03372563704968568,0.12640017811023596,0.17523490863911095,0.05320885116398131,0.3778748574130535,0.49584362153360223,0.7046398279096171,0.28139829773892266,0.0079135541141434,0.11163003512111987,0.0034944907608526997,0.014553766945666215,0.018581135964586378,0.0005888969658531802,0.08156740590424398,0.004193738027414276
2023-04-01,0.47770640287853733,0.17469514252309187,0.033767488730003806,0.4790314461015993,0.5918659052450557,0.09198792692056831,0.1272712697208759,0.11457401622557825,0.6292913581385771,0.04566922055396255,0.05350853815414628,0.17022645835098235,0.07102294030620193,0.03422433953361797,0.12584030564086388,0.17575665547357538,0.056733805121551344,0.37687761950295967,0.4984435955204311,0.6956726886945817,0.28163612143414357,0.007926836879189967,0.1171789069369734,0.0036065261377688177,0.015161592427808762,0.018746878352124477,0.0006518582494726148,0.08168060036320678,0.004177542377802926
2023-05-01,0.4808233919592514,0.17216528299536538,0.034985536820215886,0.4738549294458433,0.59262925138298,0.0926028766103459,0.12077937001355096,0.11453440546763627,0.6283136397166459,0.046006079870265726,0.0482402893915202,0.16990507226982957,0.06946129691547914,0.03475746303377292,0.1247805901982467,0.1766387571554617,0.060436861474004636,0.3740412901975945,0.5003983629525486,0.6832109625028657,0.28297221390219507,0.00783008581937635,0.1225686100967846,0.0036605974269558333,0.015803911695834193,0.018870328596003433,0.0007258632164719805,0.08187665197337686,0.004293690160205791
2023-06-01,0.4852904399483855,0.1702630777435418,0.036431738568720874,0.467171868921337,0.592942798997794,0.09320215618027226,0.11330893747420148,0.11510975725225428,0.6268104455367659,0.0461179466638564,0.04125505594430854,0.16822503794562843,0.06769622413993144,0.03507404196414276,0.12326267865555049,0.17773159219646883,0.06433228335297239,0.36913614320503463,0.5018978963641025,0.6685983651520341,0.285323258251843,0.007749533060213085,0.1274923809681012,0.003647539913524697,0.01652282764351186,0.01920493632852293,0.0007097844739401668,0.08215765856266867,0.004367328402097752
2023-07-01,0.4909003404224345,0.16870496434632692,0.03780008440737458,0.45826866862259774,0.5932180517189349,0.09378610764547636,0.10483750797838795,0.11646502868532328,0.6243616307392612,0.04620529793066766,0.032270012794630154,0.16530644757600327,0.06595555428057925,0.03559929824796022,0.12152806817920024,0.17867192017846284,0.06857757963863845,0.36199318170205375,0.5038059636887187,0.6529675056482933,0.2881118897724043,0.007721784323301181,0.13336921671795698,0.0036905140856849147,0.017443269661475677,0.019889347772792672,0.0006377880713779188,0.08252500386622627,0.0043064018723475254
2023-08-01,0.4971476147911104,0.16704092325478978,0.03902437589000203,0.44653568888603445,0.5941290728727102,0.09435506559981435,0.09534247859465074,0.11835589275411593,0.6205303200343651,0.04598785782003255,0.020523150676617453,0.16154948542600142,0.06404118571327286,0.036396761412702754,0.11989376400831277,0.17906760614872066,0.07339459206787276,0.3523004689184565,0.5069788582247067,0.6359933364737631,0.2906577042276226,0.007632692952751709,0.14228972260641162,0.0038214150189423476,0.0186477673916119,0.02087739102121114,0.0006162727562513848,0.08297937399618016,0.004349992924779824
2023-09-01,0.5033629234286753,0.1649811347853034,0.04036431758732032,0.43149701718727024,0.5963142853833452,0.09490935737686271,0.08492241640991852,0.12032547440092475,0.615472597758338,0.04525536462835648,0.004757934840283098,0.15729448741127744,0.06174541597097545,0.036655293365985796,0.11860392723828281,0.1788803903092687,0.07889359658467553,0.3394849532962889,0.5116121215084758,0.61593720705021,0.29266330330703727,0.0075408284584740845,0.1549605971317597,0.003984726835664433,0.020137361168516187,0.021978861246223377,0.0006035896686266656,0.08352077757477003,0.004465773012771355
2023-10-01,0.5091472656337998,0.16260303694931524,0.042123142472059685,0.4126538053427586,0.5999894708323095,0.09544930320741889,0.0738357278724247,0.12205532596757239,0.6098585547847843,0.04405368668547133,-0.016612417505970534,0.15262172463859042,0.059112610323855064,0.036461289606685134,0.117751852887966,0.1785464998548838,0.08492756779566765,0.32263469546632395,0.5171444080470893,0.5909829664280375,0.29444823688588606,0.007489665120154138,0.1698048633953908,0.004078372397801476,0.02187610621668266,0.02296403319769855,0.0005180813142988848,0.08414856942936427,0.0045318224219809316
