,Skill cat: Information Technology,"Skill cat: Maintenance, Repair, and Facility Services",Skill cat: Architecture and Construction,Skill cat: Design,Skill cat: Engineering,Skill cat: Media and Communications,Skill cat: Business,Skill cat: Health Care,Skill cat: Finance,Skill cat: Human Resources,Skill cat: Manufacturing and Production,Skill cat: Marketing and Public Relations,Skill cat: Energy and Utilities,Skill cat: Customer and Client Support,Skill cat: Education and Training,Skill cat: Science and Research,Skill cat: Analysis,Skill cat: Environment,"Skill cat: Transportation, Supply Chain, and Logistics","Skill cat: Law, Regulation, and Compliance",Skill cat: Physical and Inherent Abilities,Skill cat: Administration,Skill cat: Sales,"Skill cat: Performing Arts, Sports, and Recreation","Skill cat: Economics, Policy, and Social Studies","Skill cat: Agriculture, Horticulture, and Landscaping",Skill cat: Personal Care and Services,Skill cat: Hospitality and Food Services,Skill cat: Property and Real Estate
2023-01-01,0.13152124497800666,0.0452211671900384,0.0044828622093890155,0.028661854342106465,0.010458435323662436,0.4769291336206055,0.20189293297267832,0.26498587358571085,0.03930473970023515,0.04280523058316879,0.010198362797636838,0.0746421833701015,0.0010122353641235536,0.083774205789133,0.6819302052986761,0.0719454144409823,0.04266435754695264,0.003036010019857505,0.03399333709186103,0.1463476604357038,0.5032890657627552,0.13938413651516968,0.026106037379816018,0.01685343400077335,0.051277432276884874,0.0010943821708122503,0.025830421200525082,0.045435305439869185,0.0010296765047753645
2023-02-01,0.1297759860312926,0.043196173854771695,0.004684290517885071,0.028078710741852045,0.010308728865940735,0.4744830869257284,0.20822732658207396,0.26578685883676884,0.04084311604259515,0.042127427650346286,0.009496680160747211,0.07874180180382535,0.001004823099051491,0.08240495699619979,0.6844162044748803,0.07184483005080998,0.04315437110892373,0.003080110872614208,0.033594560021975,0.14438022920273663,0.5021357976631249,0.13410501045290207,0.026117023373211867,0.016147704248964993,0.05440078865405651,0.001088781875664913,0.025634600048236478,0.04333979439646291,0.0010918667204230564
2023-03-01,0.12846014937950134,0.03975789575637878,0.005006924371193957,0.027093241131187065,0.01012815850833453,0.47021280697473034,0.21533258639344235,0.2680645923654347,0.042432917649897074,0.04085214960623117,0.008803207496447446,0.08285925301650068,0.000996736892753686,0.08224135710551586,0.6867760421820193,0.07074307208676026,0.0433504514617008,0.0030478908747270934,0.03322363493639546,0.14399317803494044,0.5001290208719152,0.12714053309365692,0.02607055447121024,0.01561593649076352,0.05625205295222602,0.0011079945740663675,0.025443407979738243,0.03947164612351763,0.0011582160965424488
2023-04-01,0.12768935012708132,0.03545932539443448,0.00541950108530616,0.02605464047408015,0.00996791818369773,0.4652003524029289,0.22347059325501695,0.2720728691801887,0.0440788320965953,0.03983826562476851,0.008135235179294206,0.08756303783311928,0.0009881921541032813,0.081819102319523,0.689018269350287,0.06927206397040808,0.04327819088618559,0.0029321183248803024,0.032630730251721335,0.14621245359925092,0.49830724663678516,0.12035778795299011,0.026029238756516707,0.015340195875363494,0.0565849212668795,0.0011306956903556404,0.025265873462587234,0.0357600848571848,0.001228991488963912
2023-05-01,0.12703579211152904,0.03157005358513452,0.005923185628449661,0.02525494488955734,0.009834658128137741,0.460954695007214,0.23252647774974322,0.27698047151260957,0.04578568213417714,0.03949566428450524,0.007509214718848285,0.09333081914471787,0.0009793737981183483,0.08025100738677607,0.6911507672714613,0.06770123836555268,0.04306398825713187,0.002725536376030459,0.03192820880544853,0.1502316765282098,0.4973624747845784,0.11557667004439341,0.025810722563916606,0.01530507630259766,0.05570609903583429,0.0011501734526441396,0.02511079178970347,0.03424232902364351,0.0013044772605074802
2023-06-01,0.12625768678653979,0.029238157385720446,0.006557849855435451,0.024607262839441403,0.009684812713035328,0.45831402714899305,0.2419523352789099,0.281809468874552,0.047558440130648555,0.03926142986392356,0.006940326743347405,0.10033284919742466,0.0009704390501755219,0.07815422960181986,0.6931808028672625,0.06607604440057883,0.04315987847842861,0.0024759779914229757,0.03137554460198866,0.15381858229614376,0.4982343319220325,0.11341501798726163,0.025264806683117973,0.015528849253943489,0.05420600710649141,0.001119133467062338,0.024986580822124384,0.03452630515408344,0.001384976415833075
2023-07-01,0.125562583132002,0.0287021132225032,0.007374848312401341,0.023880891453325375,0.009499826067917872,0.4577803164786136,0.2509921944594957,0.2863109726932958,0.04940224284999541,0.03837885800758073,0.0064420885572326345,0.10865270004763203,0.0009615201270245699,0.07618518194943133,0.6951150793193253,0.06457239610350357,0.04386381553415538,0.0022268401111534067,0.03119793509191293,0.15476772971902586,0.5013915438644101,0.11369612474457856,0.02424318366186177,0.016026270927001825,0.05265035838151763,0.0010463575075060506,0.024901127872883427,0.03398193322204684,0.0014708118103305488
2023-08-01,0.1251136355598535,0.029184774667913516,0.008412493508879768,0.02293771750463226,0.009294331534904887,0.4583599775889406,0.2592406690223159,0.2908137154127941,0.0513224066166535,0.03662615962709126,0.0060260114210321436,0.11846734736940073,0.0009527267815572002,0.07394638819783231,0.6969597824520423,0.062930352573922,0.04496552666831832,0.002013148914788288,0.031626823037950474,0.15237640046516687,0.5049396750952904,0.11621637693684679,0.023013410274353677,0.016571453277510546,0.0514164349821956,0.0009702274500056427,0.02486163137004429,0.030593592089548143,0.0015623274378633164
2023-09-01,0.12453192761658073,0.02958982388260376,0.009687271143637037,0.02183550543762251,0.00905995746366273,0.46085720869320973,0.2670091952133878,0.2956023107057723,0.05332444291081206,0.03419575688733181,0.005701316194849198,0.12996873112498655,0.0009441487021976721,0.07078019061460131,0.6987206232264795,0.06099731332217176,0.046173404275516056,0.0018384433953437616,0.03280236511826115,0.14799214273294714,0.5090574291857448,0.1206908675618852,0.02200765005821265,0.017034178815987205,0.05067207303660419,0.000878306444146841,0.024874441189015772,0.025252473854746015,0.0016598898024929008
2023-10-01,0.12314051176109947,0.029398406373884887,0.011199746505390941,0.020696524440565658,0.008844007456081718,0.46291302901516285,0.27506401019906795,0.3007455033891774,0.05541407444131005,0.031342994894465445,0.005474714271894726,0.14318785051614386,0.0009358577611530259,0.06684477851501036,0.7004028766733099,0.0586105884745216,0.04691924769006593,0.0016550585959168047,0.03456044952192322,0.1441927100493204,0.5117882130719931,0.12644172689296673,0.021398428744839205,0.017128599044807593,0.0503645170675741,0.0008076357887926797,0.024944901740539586,0.02097971667507486,0.001763889379645671
2023-11-01,0.12075369958568784,0.029046367557413067,0.012949818182775512,0.01975661783757765,0.008620700409149723,0.46310282207869935,0.2839970091861418,0.30632029884273854,0.05759725174396254,0.02843101093889701,0.005350258855005882,0.1579303309220806,0.0009279101086360927,0.06289725824103448,0.7020114175650035,0.05564022030785747,0.04682820016141289,0.0014431046969385734,0.03646340718618901,0.14302253657793526,0.5120048958532776,0.13267918506301063,0.021020511421660493,0.0167716212724222,0.05017347802553067,0.0007578571013127132,0.025077202031718274,0.019999230526127183,0.001874742172538754
