,Skill cat: Information Technology,"Skill cat: Maintenance, Repair, and Facility Services",Skill cat: Engineering,Skill cat: Media and Communications,Skill cat: Business,Skill cat: Health Care,Skill cat: Finance,Skill cat: Human Resources,Skill cat: Manufacturing and Production,Skill cat: Marketing and Public Relations,Skill cat: Energy and Utilities,Skill cat: Customer and Client Support,Skill cat: Education and Training,Skill cat: Public Safety and National Security,Skill cat: Science and Research,Skill cat: Analysis,Skill cat: Environment,"Skill cat: Transportation, Supply Chain, and Logistics","Skill cat: Law, Regulation, and Compliance",Skill cat: Physical and Inherent Abilities,Skill cat: Administration,Skill cat: Social and Human Services,Skill cat: Sales,"Skill cat: Performing Arts, Sports, and Recreation","Skill cat: Agriculture, Horticulture, and Landscaping",Skill cat: Personal Care and Services,Skill cat: Hospitality and Food Services
2023-01-01,0.1423654865190387,0.217537511058376,0.07994988732368478,0.290096979681542,0.23699817203746062,0.032434634969992396,0.07452617305360648,0.020386409277736318,0.15042600659235125,0.020958404799050603,0.023238591213343533,0.1726017111023262,0.021313070644912946,0.015094447996731417,0.023289668865007936,0.08161477082545567,0.025550735029994113,0.6085929178621314,0.331263440100002,0.4244326284415526,0.12120178825351631,0.0028751398047712536,0.11470328948684137,0.00061502994261901,0.005811686534898604,0.00046829169072853315,0.038980994291901
2023-02-01,0.144811731754601,0.22115504841805958,0.0817116304039855,0.29386175393368225,0.24130942932028956,0.03504567444450244,0.07589984958449657,0.021556802473460066,0.1570474101072966,0.021258249080639776,0.02249848793808649,0.17159031960807813,0.02224676828226582,0.01559397481578548,0.0242103494949005,0.08313186699679642,0.025637177667588308,0.6012348398146202,0.3333049285546067,0.44601522805165117,0.1251278946744246,0.003086930822118932,0.10996961538195635,0.0006258155638161815,0.005673388738665484,0.0004870879271487256,0.03870424254293391
2023-03-01,0.14564366980963517,0.22165227604319723,0.08330289273461108,0.3013212359879036,0.24911132221129173,0.03827445634674828,0.07758518129239993,0.022819354135005417,0.16505648534147283,0.021672205869690486,0.021153285744794616,0.1696467406761063,0.02274990819491721,0.016059564236665328,0.025219142131537923,0.08652808341122889,0.025711718206673208,0.5919562956225115,0.33906430930727005,0.4755736488433032,0.13201244164466297,0.003224165504783231,0.10544312336221941,0.000643135834722448,0.0052392073119505835,0.0005458454464674199,0.03795230872154299
2023-04-01,0.14524701329149825,0.2202075986281884,0.08474635813025792,0.3131883004208209,0.260449442505541,0.041919696821037584,0.07965914914887043,0.024128149832209487,0.1746393750618955,0.02222977921564376,0.01923802854691725,0.16887873343428678,0.022919065149929203,0.016495495349151058,0.02637288593549097,0.09111480277852135,0.025775484222401026,0.5803205474214645,0.3486924092668078,0.5077035333599813,0.13894371795357377,0.003288407297378557,0.1025131317650951,0.000659852528762876,0.004548057568268305,0.0006307323293442822,0.036834392688889384
2023-05-01,0.14440338949240947,0.2163482608653936,0.08621277985998166,0.33000431377671835,0.2724576606030456,0.0454959980798855,0.0816868817979099,0.02541773995977234,0.18598792114131985,0.023005868149868287,0.01690368572116567,0.1704465586716605,0.022969478578236748,0.016905545289318768,0.027706916342875455,0.09540399938362143,0.025829493154037608,0.5671036658585573,0.36215597787563836,0.5432745291089272,0.1420058353209377,0.0033016636710048587,0.10101523608191591,0.000674183409185227,0.0037628610639850136,0.0007122653747470712,0.03578219342993265
2023-06-01,0.14452664218041722,0.20998661236324803,0.08810298780227574,0.35208163556106453,0.2846267341254556,0.04876958226446178,0.08336867756573295,0.02660524434095348,0.1993021439143966,0.024082852321877263,0.014373660867475073,0.17307023627298695,0.023121084194635506,0.017293048506391667,0.029135205308521227,0.100203431482931,0.02587458800966464,0.5542899072551036,0.37919805232966053,0.5868750528762476,0.14361257563847027,0.00329854447030389,0.09998980613797236,0.0007007895361089919,0.003016566938151735,0.0007757473089259734,0.03549000142080387
2023-07-01,0.14512683337354618,0.20079177696028588,0.09109132602396808,0.3794541011524175,0.2969565081435264,0.05178068758559341,0.0847332874204563,0.027594705499652344,0.2147928212498472,0.025352798185748034,0.011897637646401395,0.17390488058928547,0.023268507273737672,0.01766094903607041,0.030561440048373533,0.10578402572582676,0.025911372101500213,0.5439296786310955,0.399099837121095,0.6383800470142259,0.14414374621810658,0.00329420549778568,0.09754472083627021,0.000750791357920148,0.0022768532871546344,0.0008265853924274802,0.03658043322890523
2023-08-01,0.1438359134129485,0.18739339453309467,0.0960369068791982,0.41183887088204696,0.3092408405248835,0.05462895659398694,0.08563817461737382,0.028283690754525696,0.23268416359695215,0.026464723245505316,0.00970230344872998,0.17003422809833374,0.022919472682125915,0.01801184660562854,0.031964293367933314,0.11119975908249441,0.025940143209824754,0.5367086584523497,0.4209895354387396,0.6911112536352829,0.1430757980237448,0.0032309755143408872,0.09145129207939472,0.0008152653820394058,0.0013486927535944228,0.0008805706454285644,0.03923345378024031
2023-09-01,0.13992983770684841,0.16977909593646842,0.10380447423479001,0.4486125326807159,0.3245589961579803,0.05743879932646156,0.08558477063968226,0.028571927092677155,0.2532165861529936,0.02700799679035131,0.007948643556725506,0.159895843416716,0.021903927064049207,0.018348037298669774,0.03337500574631923,0.11763701583306763,0.02596082743046732,0.5314487929936716,0.44409354513225197,0.739449339901539,0.14478170969979384,0.003074509989565631,0.08102819994370285,0.0008713338446904882,1.9132751765397826e-05,0.0009522852259447142,0.04305046211564282
2023-10-01,0.13401311885949807,0.14829206302690906,0.11512173405153028,0.4888036590907021,0.3444633886100132,0.06035002406713528,0.08422289129648772,0.028371516369502265,0.27664958377695203,0.026743847930243186,0.006710177698762435,0.14420705997077451,0.020439333034605163,0.018671549421547272,0.03481914032463507,0.12602044969274298,0.02597291279733628,0.5260508521332097,0.4674528578669718,0.7844335527260524,0.14995131557521943,0.00284633609107957,0.0680356844941923,0.0008983579302397885,-0.0017665037488046862,0.0010434735861435016,0.04725663833864638
