,tot,counts,mean
Supervision,1001773220.0,16189.0,61879.870282290445
Community Design,500881.0,8.0,62610.125
Wound Care,137274855.5,1519.0,90371.86010533245
Workers' Compensation,69564107.5,1032.0,67407.08091085272
Seasoning,12000750.5,358.0,33521.649441340785
Network Appliances,4733241.0,48.0,98609.1875
Protocol Stack,3275600.0,32.0,102362.5
Architectural Drawing,82414505.0,1162.0,70924.70309810671
High-Performance Liquid Chromatography,67490201.0,1163.0,58031.12725709372
SAP CRM,10890175.0,158.0,68925.15822784811
Web Services,515157422.0,4466.0,115350.96775638155
HP Loadrunner,17116629.0,155.0,110429.86451612903
Focus Group,44071050.0,589.0,74823.51443123938
Okta,31433406.0,265.0,118616.62641509435
Apache Accumulo,3472964.0,25.0,138918.56
Online Store,7384346.0,148.0,49894.22972972973
Business Modeling,8364407.5,87.0,96142.61494252873
Internal Communications,151251313.0,2156.0,70153.67022263451
Written Composition,49276687.0,965.0,51063.9243523316
Basic Cardiac Life Support,77989173.0,718.0,108620.01810584958
Energy Production,1208287.5,13.0,92945.19230769231
OpenStack,16146375.0,146.0,110591.6095890411
Oracle Manufacturing,584005.0,10.0,58400.5
Front End (Software Engineering),598991061.0,5236.0,114398.59835752482
Component Design,15691180.5,137.0,114534.16423357664
Operating Cost,38000358.0,495.0,76768.4
Accountability,1524703877.0,23367.0,65250.3050027817
Complementary Metal Oxide Semiconductor (CMOS),1071260.0,13.0,82404.61538461539
Data-Flow Analysis,8415986.0,73.0,115287.47945205479
Server Configuration,13511219.5,146.0,92542.5993150685
Six Sigma Methodology,217183971.0,2348.0,92497.43228279387
Service Level Objectives,22755120.5,323.0,70449.28947368421
Primary Care,327198271.5,3806.0,85969.0676563321
Data Processing,190000084.5,2570.0,73929.9939688716
Computer Network Defense,749684.5,9.0,83298.27777777778
Environmental Laws,51433420.0,675.0,76197.65925925926
Certified Cardiographic Technician,2287201.0,43.0,53190.72093023256
Oracle WebLogic Server,48678882.5,443.0,109884.6106094808
Registered Investment Advisor,2034731.0,22.0,92487.77272727272
Trimming,22997853.0,581.0,39583.22375215146
Business Coaching,15219199.5,129.0,117978.29069767441
Holistic Health,24350538.0,272.0,89524.03676470589
Algorithms,255002755.0,2260.0,112833.07743362832
Operational Reporting,23783816.0,290.0,82013.15862068966
Clerical Works,1345209781.5,31971.0,42075.93698977198
VPN Tunnels,4390325.5,45.0,97562.78888888888
IBM Business Process Manager (BPM),2644058.5,20.0,132202.925
Inventory Control Systems,183362063.5,3322.0,55196.28642384106
Human Rights Issues,3412140.0,62.0,55034.51612903226
Value Added Selling (Selling Techniques),13536763.0,110.0,123061.48181818181
Critical Design Review (CDR),3660564.5,40.0,91514.1125
Social Change,6319201.5,107.0,59057.957943925234
Blazor,4830025.0,42.0,115000.59523809524
Softball,7992721.5,187.0,42741.826203208555
Dysrhythmia,2750041.0,25.0,110001.64
CA-7,0.0,0.0,
Upselling,280212630.0,5907.0,47437.3844591163
IBM Rational ClearCase,12741526.0,115.0,110795.87826086956
Network Engineering,154459572.0,1428.0,108164.96638655462
Motor Controllers,36363670.0,592.0,61425.11824324324
Creating Shareholder Value,3709469.5,33.0,112408.16666666667
Credit Management,20461754.0,303.0,67530.54125412542
Diabetes Management,5155814.0,48.0,107412.79166666667
Building Crates And Skids,10984331.5,332.0,33085.3358433735
Health Policies,23860652.0,285.0,83721.58596491229
Medical Ultrasonography,192481143.0,2000.0,96240.5715
Regulatory Documents,58510832.5,709.0,82525.85684062059
Crystallography,1073575.0,18.0,59643.055555555555
Substance Dependence,15947662.0,256.0,62295.5546875
Water Heaters,39288479.5,687.0,57188.470887918484
Digital Imaging,13655725.5,243.0,56196.4012345679
Clinical Rounds,8256333.0,78.0,105850.42307692308
Dermatopathology,3743270.0,13.0,287943.8461538461
Business Acumen,559869735.5,6552.0,85450.20383089133
ASP.NET Core,14602052.5,122.0,119688.95491803279
CompTIA A+,34176477.0,732.0,46689.17622950819
C++ Server Pages,3361938.5,31.0,108449.62903225806
Real Estate Salesperson License,175585316.0,2195.0,79993.31025056947
Netezza,7702362.0,64.0,120349.40625
Weight Management,40346599.5,721.0,55959.222607489595
Loan Closing,60603744.0,804.0,75377.79104477612
Politeness,16031000.5,256.0,62621.095703125
Child Development,228820907.0,6124.0,37364.61577400392
Blogs,93771217.0,1390.0,67461.30719424461
Aftermarket Modifications,2035640.0,42.0,48467.619047619046
Web Trends,2039060.0,24.0,84960.83333333333
Apple Pages,782989.0,18.0,43499.38888888889
Academic Affairs,24904640.0,441.0,56473.10657596372
Patient Registration,57289351.5,1315.0,43566.046768060834
Process Manufacturing,19019769.0,274.0,69415.21532846715
Office Of Foreign Assets Controls,11502840.5,160.0,71892.753125
Commercial Loan Documentation,2812124.0,50.0,56242.48
Lease Contracts,27218577.5,524.0,51943.850190839694
Customer Analysis,4790790.5,48.0,99808.13541666667
Business Proposals,31361462.5,337.0,93060.71958456973
Interest Rate Swap,2524829.0,22.0,114764.95454545454
Sexual Harassment Awareness,13415438.5,219.0,61257.7100456621
Ordinary Least Squares (Regression Analysis),4583866.5,56.0,81854.75892857143
Visual Marketing,1631150.0,31.0,52617.74193548387
Community Mental Health,16602836.5,214.0,77583.34813084113
Jamf,12325167.5,172.0,71657.95058139534
Cloud Database,7987301.0,68.0,117460.30882352941
Oral Cancer Screening,9566650.5,105.0,91110.95714285714
Spanish Language,1616665266.0,36838.0,43885.804495358054
Virtual Local Area Network (VLAN),50664450.0,562.0,90150.26690391458
Small Business Loans,3338360.0,45.0,74185.77777777778
Current Procedural Terminology (CPT),17575929.5,290.0,60606.653448275865
Positron Emission Tomography,7463877.5,72.0,103664.96527777778
Google Kubernetes Engine (GKE),9121200.0,56.0,162878.57142857142
Telephone Numbering Plans,293400.0,3.0,97800.0
Computer Science,2504667544.5,23050.0,108662.36635574837
Indirect Costs,10084872.0,110.0,91680.65454545454
Certified Nurse Practitioner,46347450.5,441.0,105096.25963718821
Expense Forecasting,2716632.5,35.0,77618.07142857143
Adobe Photoshop,281278653.5,5134.0,54787.427639267626
Forensic Engineering,1301052.0,13.0,100080.92307692308
Oncology Nursing,10139803.5,122.0,83113.14344262295
Trenching,36400701.5,663.0,54903.01885369532
Market Size,7262007.0,74.0,98135.22972972973
SAP Functional,20992505.5,162.0,129583.36728395062
Gene Expression,1889142.0,23.0,82136.60869565218
Apache Ant,44258797.0,375.0,118023.45866666667
Commercial Transaction,928660.0,11.0,84423.63636363637
Prosci ADKAR Model,2218614.5,22.0,100846.11363636363
Test Management,25959346.5,243.0,106828.58641975309
Cardioplegia,0.0,0.0,
Reinforced Concrete,1605080.0,21.0,76432.38095238095
Masonry,72388400.0,1313.0,55132.063975628334
Engineering Support,54945601.0,562.0,97767.97330960854
Fraud Prevention And Detection,27068626.0,315.0,85932.14603174603
Development Testing,175686055.0,1582.0,111053.13211125159
Joint Value,1904000.0,18.0,105777.77777777778
Consulting,1358526458.5,14204.0,95643.93540551957
Source Code Control Systems,18107515.0,154.0,117581.26623376623
Front End Alignment,705124.5,14.0,50366.03571428572
Content Analysis,17739090.0,173.0,102538.09248554913
Generally Accepted Auditing Standards,19266932.0,200.0,96334.66
Intraoral Cameras,5991217.0,100.0,59912.17
Mortgage-Backed Securities,7397872.0,77.0,96076.25974025975
Database Search Engine,823247.0,18.0,45735.944444444445
Office Management,556031818.0,12428.0,44740.24927582878
Requirements Management,107859407.5,1449.0,74437.1342305038
Product Design,230828630.5,2232.0,103417.84520609319
Collections,978919755.0,18860.0,51904.546924708375
Firewall,397615178.0,3945.0,100789.65221799747
Cloud Financial Management (FinOps),6468324.0,47.0,137623.914893617
Canvassing,68048040.0,1148.0,59275.29616724739
Human Relations Movement,71751693.0,1480.0,48480.873648648645
System Requirements,64987137.5,574.0,113218.00958188153
Credit Risk,57785895.5,593.0,97446.70404721754
Machine Assembly,12539084.0,265.0,47317.298113207544
PLS-CADD (Design Software),4371864.0,23.0,190081.04347826086
Childbirth,10539967.0,145.0,72689.42758620689
Deep Diving,650940.0,13.0,50072.307692307695
Professional in Human Resources,78396479.5,1054.0,74379.96157495255
Windows PowerShell,274172902.0,2435.0,112596.67433264886
Project Proposals,49765854.5,560.0,88867.59732142858
Ambulances,20171766.0,486.0,41505.69135802469
Computer System Validation,7988849.5,86.0,92893.5988372093
Additive Manufacturing (3D Printing),24251200.5,393.0,61707.8893129771
EEO Reporting,1447824.5,22.0,65810.20454545454
Orthopedics,135453804.5,1697.0,79819.56658809664
Threat Management,12599959.0,104.0,121153.45192307692
Credit Products,9390840.5,94.0,99902.5585106383
Technical Services,109917753.5,1670.0,65819.01407185629
Three-Phase,84891470.0,1413.0,60078.88888888889
Tealium,4634455.5,38.0,121959.3552631579
Embryonic Development,38480.0,1.0,38480.0
Environment Health And Safety,220282439.5,3194.0,68967.57654978085
Early Head Start (Education Program),24914354.0,586.0,42515.96245733788
Network Operating System (NOS),13320205.5,147.0,90613.64285714286
Continuous Training,0.0,0.0,
Epigenetics,4913240.5,27.0,181971.87037037036
Medigap,13748084.0,163.0,84344.0736196319
Software Development Life Cycle,465788500.0,3999.0,116476.24406101526
Test Automation,374674890.5,3312.0,113126.47660024154
Novell Groupwise,691591.0,10.0,69159.1
ECMAScript (C Programming Language Family),10768805.0,92.0,117052.22826086957
Hammer Drills,9213860.0,215.0,42855.16279069767
ANSYS Meshing,6160937.0,58.0,106223.05172413793
Content Migration,3155175.5,33.0,95611.37878787878
Cardiogenic Shock,390000.0,2.0,195000.0
Strategic Positioning,9662225.5,93.0,103894.89784946236
Rectifier,6490991.0,111.0,58477.3963963964
Laser Surgery,2817322.0,36.0,78258.94444444444
Ambulatory Care,67891352.0,772.0,87942.16580310882
Data Loss Prevention,35114558.0,301.0,116659.6611295681
Physical Fitness,54785224.5,1154.0,47474.198006932405
RNA Extraction,1191718.0,23.0,51813.82608695652
Contraband Detection And Control,12695895.0,209.0,60745.90909090909
Open Mindset,66052722.0,1094.0,60377.259597806216
Vaccines,14079072.0,220.0,63995.781818181815
Sorting,1463817055.5,43266.0,33832.96481070587
IPv6,11665147.0,102.0,114364.1862745098
Turnkey (Business),1335518.0,23.0,58066.0
Apache Ambari,2689320.0,25.0,107572.8
IT Service Management,201630540.5,2130.0,94662.22558685446
Operability,17152771.5,197.0,87069.90609137056
Design Portfolio,6200265.0,83.0,74701.98795180723
Immunology,33165672.5,389.0,85258.79820051414
Security Analysis,19329312.0,160.0,120808.2
Health Sciences,49804465.5,761.0,65446.078186596584
Color Matching,13856235.5,311.0,44553.81189710611
Intellectual Capital,11925527.0,90.0,132505.85555555555
Help Files,534800.0,9.0,59422.22222222222
Natural Language Processing,57722390.0,457.0,126307.19912472648
Registered Sleep Technologist,343440.0,6.0,57240.0
Detection Theory,7193406.0,58.0,124024.24137931035
Assigning Employees,7435974.5,137.0,54277.186131386865
Universal Mobile Telecommunications Systems,3977001.0,49.0,81163.28571428571
Adaptive Learning,5137671.0,60.0,85627.85
Reservations,239610496.5,6855.0,34954.12056892779
Digital Content Delivery,1577730.0,26.0,60681.92307692308
Admixtures,12183347.0,195.0,62478.70256410256
Urban Community,1110248.0,23.0,48271.65217391304
Investor Relations,37859377.5,479.0,79038.36638830898
Skid Steer Loaders,12643213.0,247.0,51187.0971659919
CDL Class B License,142490526.5,2948.0,48334.64263907734
Needle Localization,532012.0,4.0,133003.0
Interviewing Skills,17061807.0,306.0,55757.53921568627
Fleet Maintenance,35324878.5,624.0,56610.38221153846
Drupal,51663389.5,557.0,92752.9434470377
Community Marketing,15512293.0,301.0,51535.857142857145
Motion Arguments,2808711.5,29.0,96852.12068965517
Microsoft Exchange Servers,29987213.5,395.0,75916.99620253165
Multivariate Testing,7785666.5,84.0,92686.50595238095
Diesel Engines,156482863.0,2825.0,55392.16389380531
Lacquer,13428044.5,315.0,42628.712698412695
Powder Coating,9629649.0,238.0,40460.71008403361
Stateful Firewall,2040600.0,16.0,127537.5
Research Papers,3498548.5,42.0,83298.77380952382
Economic Growth,12969650.5,156.0,83138.78525641025
Message Passing Interface,1472997.5,14.0,105214.10714285714
Adobe Experience Manager,69311123.0,623.0,111253.80898876404
Environmental Science,40904726.5,703.0,58185.95519203414
Thought Leadership,395569332.0,3333.0,118682.66786678668
Statistical Inference,36647812.0,284.0,129041.59154929577
Privacy Law,1290710.5,11.0,117337.31818181818
.NET Development,3906595.0,34.0,114899.85294117648
Family Support,66267913.5,1064.0,62281.873590225565
Domain Controllers,13747418.0,161.0,85387.6894409938
Supplementary Security Income (SSI),2989034.0,60.0,49817.23333333333
Footwear Industry,155000.0,2.0,77500.0
Microscopy,32810272.0,767.0,42777.40808344198
Plotters,9045626.0,168.0,53843.01190476191
Engagement Skills,8105054.5,99.0,81869.23737373737
Performance Modeling,5714636.0,57.0,100256.77192982456
Performance Measurement,57411364.0,591.0,97142.74788494078
Ad Serving,10947863.0,111.0,98629.39639639639
Product Requirements,171179800.0,1953.0,87649.66717869944
Mopping,577198377.5,19163.0,30120.46013150342
Financial Management,366337163.5,4493.0,81535.09091920765
Assortment Planning,1476966.0,26.0,56806.38461538462
Wetland Delineation,825848.5,14.0,58989.17857142857
Materials Testing,7038162.5,123.0,57220.833333333336
z/OS,12873563.5,104.0,123784.26442307692
TCP/IP,201011512.5,2179.0,92249.4320789353
Task Planning,7980102.5,74.0,107839.22297297297
Package Management Systems,8421448.5,81.0,103968.5
Squeegee,19250092.5,606.0,31765.829207920793
Soft Matter,0.0,0.0,
Task Analysis,35635679.5,691.0,51571.17149059334
Group Fitness Instructor Certification,21149737.5,337.0,62758.86498516321
Remote Desktop Protocol (RDP),10152902.0,145.0,70020.01379310346
Device Setup,6728625.0,160.0,42053.90625
SAP NetWeaver,4272340.5,38.0,112430.01315789473
Dell PowerEdge,287577.5,5.0,57515.5
Pruning,41895975.5,1131.0,37043.30282935455
Wax,33285908.5,927.0,35907.12891046386
Mac OS X,26361045.5,416.0,63367.89783653846
Outcome And Assessment Information Set (OASIS),56416073.0,684.0,82479.63888888889
Emergency Preparedness,39239554.5,691.0,56786.62011577424
Microsoft Intune (Mobile Device Management Software),26003632.0,294.0,88447.72789115646
Graphics Software,1734002.0,26.0,66692.38461538461
Concept Of Operations,4234764.0,34.0,124551.88235294117
Program Management,754141888.5,8752.0,86167.94886882998
Rapid Prototyping,31021386.0,314.0,98794.22292993631
Aviation,49917327.0,698.0,71514.79512893983
Visual Workplaces,4998931.0,53.0,94319.45283018867
Surgical Assist,9030583.5,148.0,61017.45608108108
Taking Meeting Minutes,131316426.5,1872.0,70147.66372863248
Long-Term Care,243468549.0,3630.0,67071.22561983472
Non-Profit Organization,47384946.5,716.0,66180.09287709497
Human Nutrition,5910936.5,167.0,35394.82934131737
Financial Systems,148427353.0,1689.0,87878.83540556542
Individual Tax Returns,16134428.5,238.0,67791.71638655462
Clinical Study Design,26480445.0,278.0,95253.39928057554
Content Delivery Networks,17178263.5,118.0,145578.50423728814
Care Planning,48382720.5,689.0,70221.65529753266
Virtual Teams,155504536.0,1380.0,112684.4463768116
Rendering,26515829.0,365.0,72646.10684931507
Digital Storytelling,1446508.5,25.0,57860.34
Digestive System,3963226.0,69.0,57438.057971014496
Bandsaws,35787137.0,866.0,41324.63856812933
Robotics,65551646.0,864.0,75869.96064814815
Language Integrated Query,27293426.0,233.0,117139.16738197424
Predictive Modeling,83846437.0,671.0,124957.43219076005
Environmental Auditing,2099452.5,28.0,74980.44642857143
Dermabrasion,2242700.0,39.0,57505.1282051282
Isilon (Network-Attached Storage System),3115660.0,29.0,107436.55172413793
Anthropology,29918529.0,477.0,62722.28301886792
Guarding,18558831.0,439.0,42275.24145785877
Fortran (Programming Language),1831963.5,20.0,91598.175
Data Layers,8352779.0,83.0,100635.89156626505
Dressing Changes,52150139.0,624.0,83573.9407051282
Google Cloud Platform (GCP),123947114.5,909.0,136355.46149614963
Technology Sales,48825040.5,474.0,103006.41455696203
Collateral Management,8302873.0,102.0,81400.7156862745
Hotel Operations,19380543.0,469.0,41323.119402985074
Bulk Material Handling,11526911.5,228.0,50556.629385964916
Customer Relationship Management,2339070250.5,34758.0,67295.88153806319
Desktop Publishing,10183236.5,207.0,49194.37922705314
Cisco Certified Security Professional,24325238.0,185.0,131487.77297297298
Customer Insights,53830470.0,636.0,84639.10377358491
Construction Management,462162680.0,5285.0,87448.0
Oracle Identity Manager,6152134.0,46.0,133742.04347826086
Series 7 General Securities Representative License (Stockbroker),88237430.0,859.0,102721.1059371362
Strategic Analysis,14272168.5,148.0,96433.57094594595
Network Infrastructure,123638906.5,1283.0,96367.03546375682
Full-Cycle Recruitment,130046445.0,1909.0,68122.81037192247
Magnetic Resonance Imaging,70297232.0,856.0,82122.93457943926
Econometrics,19077492.5,180.0,105986.06944444444
SAP Material Management,15590681.5,130.0,119928.31923076924
Nginx,31714320.0,258.0,122923.72093023256
Indicators (Measuring Device),11585948.5,236.0,49093.002118644064
Image Stitching,3026904.0,77.0,39310.44155844156
Enterprise Planning Systems,9781922.0,99.0,98807.29292929293
Integral Calculus,39595209.0,430.0,92081.88139534884
Data ONTAP (Server Appliance),1023428.5,9.0,113714.27777777778
Inventory Distribution,2773262.5,56.0,49522.544642857145
Modified Diets,5798542.5,104.0,55755.216346153844
DevOps,862360382.5,6874.0,125452.48508874018
SQL Server Agent,265000.0,4.0,66250.0
Benzene,0.0,0.0,
Qualitative Analysis,26046637.5,301.0,86533.67940199336
Plastic Pipework,525449.0,15.0,35029.933333333334
Mental Diseases,102168096.5,1788.0,57140.99356823266
Solidity (Programming Language),3806925.0,28.0,135961.60714285713
Facebook Ads,22754794.5,404.0,56323.748762376235
Joomla (Content Management System),5243171.0,75.0,69908.94666666667
Talk Radio,4129942.0,18.0,229441.22222222222
Digital Sales,18871131.0,271.0,69635.16974169742
Meal Planning And Preparation,343357864.0,10911.0,31468.963798002016
Psychology,668563739.5,10240.0,65289.42768554688
Circleci,17612135.0,126.0,139778.8492063492
Scientific Writing,7676860.5,74.0,103741.3581081081
AC/DC Power,2813660.0,34.0,82754.70588235294
DC Motors,33043359.5,547.0,60408.33546617916
Batch Files,5827865.5,73.0,79833.77397260274
Pharmaceuticals,759043263.5,9779.0,77619.72221086001
Project Management Software,223849789.5,3110.0,71977.42427652734
Non-Functional Testing,6495416.5,58.0,111989.93965517242
Key Management,25527769.0,254.0,100503.02755905512
Video Ads,1329481.5,28.0,47481.482142857145
LAMP (Software Bundle),25055143.5,286.0,87605.39685314686
JQuery UI,3847799.0,34.0,113170.55882352941
Continuous Auditing,3039880.0,45.0,67552.88888888889
Informed Consent,42484104.5,463.0,91758.32505399568
Mechanical Drawings,50866806.0,862.0,59010.21577726218
Testcomplete,1827120.0,19.0,96164.21052631579
Food Handler's Card,148639510.0,4623.0,32152.176076141033
Business Relationship Management,84068346.5,983.0,85522.22431332656
Ansible,259383593.0,1972.0,131533.2621703854
Power Tool Operation,525548575.0,12569.0,41813.07781048612
Bioinformatics,3059479.5,36.0,84985.54166666667
Disease Biology,139963.0,3.0,46654.333333333336
Materials Planning,21813610.0,325.0,67118.8
Hair Care,6970896.0,195.0,35748.18461538461
Data Dictionary,23229173.0,215.0,108042.66511627907
Differential Diagnosis,16134265.0,166.0,97194.36746987952
Form 1099,8503218.0,124.0,68574.33870967742
Memory Management,19938033.0,161.0,123838.71428571429
Construction Monitoring,4129081.5,61.0,67689.8606557377
Investment Sales,5781432.5,36.0,160595.34722222222
WordPress,139321209.5,2339.0,59564.433304831124
Fundraising,331823070.5,5022.0,66073.88898845081
Suitetalk,1812600.0,16.0,113287.5
Inpatient Coding,12955808.0,226.0,57326.58407079646
Database Analysis,16009714.5,162.0,98825.39814814815
OSI Models,17184209.0,190.0,90443.2052631579
Hospitality,42174507.5,1214.0,34740.121499176275
Cancer Registry,1469964.5,19.0,77366.55263157895
Biochemical Assays,36190726.0,616.0,58751.17857142857
Structural Steel,17938729.0,313.0,57312.23322683706
Cabinetry,58369390.5,1251.0,46658.18585131894
Amniocentesis,399568.0,4.0,99892.0
Engagement Economics,9245304.0,51.0,181280.4705882353
Association Management,17245828.5,265.0,65078.59811320755
Analytical Thinking,195296279.5,2464.0,79259.85369318182
Electrical Networks,31240170.0,521.0,59961.93857965451
Chartered Financial Analyst,90053036.0,834.0,107977.26139088729
Handling Instruments,528120.5,13.0,40624.653846153844
Tableau CRM,9106695.5,84.0,108413.04166666667
Design Leadership,9104799.5,73.0,124723.28082191781
Astrophysics,3673566.5,30.0,122452.21666666666
Rehabilitation Counseling,18392073.0,354.0,51955.00847457627
Chiropractics,52312986.0,885.0,59110.7186440678
Crystallization,1206125.0,17.0,70948.5294117647
Certified Safety Professional,23951054.0,297.0,80643.27946127947
Trade Secrets,2422517.0,29.0,83535.06896551725
Construction Engineering,67786722.5,837.0,80987.72102747909
Presentation Design,40004121.0,882.0,45356.1462585034
Chemical Engineering,77033851.0,876.0,87938.18607305936
Dynamo (Design Software),2528150.0,32.0,79004.6875
Acceptance Test-Driven Development,15575262.0,127.0,122639.85826771654
Baton (Law Enforcement),1629894.5,34.0,47938.07352941176
Statistical Software,32058971.5,390.0,82202.49102564102
Object Oriented Programming Language,13258101.5,125.0,106064.812
Synology,912593.0,13.0,70199.46153846153
Software Maintenance,18952002.0,269.0,70453.53903345724
Floral Design,13308123.0,383.0,34747.057441253266
Microbiological Testing,14710165.5,292.0,50377.27910958904
Primavera (Software),34910495.0,379.0,92112.1240105541
Brand Alignment,1876434.5,23.0,81584.10869565218
