date,Skill cat: Information Technology,"Skill cat: Maintenance, Repair, and Facility Services",Skill cat: Architecture and Construction,Skill cat: Design,Skill cat: Engineering,Skill cat: Media and Communications,Skill cat: Business,Skill cat: Health Care,Skill cat: Finance,Skill cat: Human Resources,Skill cat: Manufacturing and Production
2021-08-01,0.33600927889347076,0.11164170876145363,0.06794150546193123,0.042197901755571365,0.08076199516654015,0.4998338967561722,0.510206937789917,0.23486429452896118,0.24520651996135712,0.0722370557487011,0.10894650965929031
2021-09-01,0.33455856144428253,0.11325079575181007,0.06848439201712608,0.04313278943300247,0.07978187873959541,0.49330414831638336,0.5057548582553864,0.23721422255039215,0.24333319813013077,0.07317881286144257,0.10842345654964447
2021-10-01,0.3313973844051361,0.11401358246803284,0.0686604455113411,0.04202330857515335,0.07966893166303635,0.4896036982536316,0.4976629912853241,0.23940130323171616,0.23618663102388382,0.07152079045772552,0.10877750441431999
2021-11-01,0.33896225690841675,0.11283362284302711,0.0686698891222477,0.04333318769931793,0.08134559914469719,0.5037896931171417,0.5151165127754211,0.237512469291687,0.24772220104932785,0.07291983440518379,0.10926346480846405
2021-12-01,0.33930815756320953,0.11525189131498337,0.06977587938308716,0.04468749649822712,0.08086473867297173,0.501733809709549,0.5150116384029388,0.241427980363369,0.2467757761478424,0.07377138361334801,0.10933637246489525
2022-01-01,0.33663731813430786,0.11595995724201202,0.06996090337634087,0.04373423382639885,0.08086108788847923,0.4979739338159561,0.5090375244617462,0.24282295256853104,0.2417057454586029,0.07272213324904442,0.10994040220975876
2022-02-01,0.33949586749076843,0.1130988597869873,0.06881333142518997,0.04358014650642872,0.08144057914614677,0.5045051574707031,0.5160331726074219,0.2380576878786087,0.24810439348220825,0.07302939891815186,0.10933384671807289
2022-03-01,0.33353450894355774,0.11296501383185387,0.06825953349471092,0.04285172373056412,0.07956886664032936,0.4919002801179886,0.50414177775383,0.23645666986703873,0.24242103844881058,0.07294901087880135,0.10833266004920006
2022-04-01,0.3284592926502228,0.11335159838199615,0.06803669780492783,0.04141717217862606,0.07910465076565742,0.4867326319217682,0.4943895637989044,0.23699463158845901,0.2336815893650055,0.070720374584198,0.10861502960324287
2022-05-01,0.33668753504753113,0.1118047907948494,0.06808255612850189,0.04236583225429058,0.0809193067252636,0.5007411241531372,0.5112691223621368,0.23532450199127197,0.24594511091709137,0.07242454588413239,0.10899020731449127
2022-06-01,0.3351515382528305,0.11350063607096672,0.06864563748240471,0.04332689382135868,0.0799170732498169,0.49435658752918243,0.5069105327129364,0.23774030059576035,0.2437630072236061,0.07325280085206032,0.10853743553161621
2022-07-01,0.32523301243782043,0.11262467876076698,0.06735176593065262,0.04075157083570957,0.07848501205444336,0.48357991874217987,0.49079500138759613,0.23435188829898834,0.23093080520629883,0.06984144076704979,0.10843662172555923
2022-08-01,0.3388410955667496,0.11277339607477188,0.06863732263445854,0.043277109041810036,0.0813240259885788,0.5036272406578064,0.5149083435535431,0.23738867044448853,0.24763541668653488,0.07289495319128036,0.10924748331308365
2022-09-01,0.3342510163784027,0.11312375590205193,0.06840170174837112,0.04303305968642235,0.07971211522817612,0.49276551604270935,0.5051620900630951,0.23694399744272232,0.24310734868049622,0.07313867658376694,0.10836618766188622
2022-10-01,0.3282119929790497,0.11329587548971176,0.0679841935634613,0.04136614874005318,0.07905714586377144,0.4864909499883652,0.4941140115261078,0.23679205775260925,0.23347072303295135,0.07065300643444061,0.10860135406255722
