,0,1,2,3,4
Account Management,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Insurance Carriers and Related Activities,Publishing Industries (except Internet)
Accounting and Finance Software,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Real Estate,Ambulatory Health Care Services
Accounts Payable and Receivable,Administrative and Support Services,Unclassified Industry,"Professional, Scientific, and Technical Services",Real Estate,Ambulatory Health Care Services
Administrative Support and Clerical Tasks,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Ambulatory Health Care Services,Educational Services
Advertising,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Insurance Carriers and Related Activities
Aerospace Engineering,Computer and Electronic Product Manufacturing,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Machinery Manufacturing
Agile Software Development,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities
Agricultural Management and Operations,Unclassified Industry,Administrative and Support Services,"Merchant Wholesalers, Durable Goods",Chemical Manufacturing,Machinery Manufacturing
Agricultural Research and Agronomy,Chemical Manufacturing,Unclassified Industry,Administrative and Support Services,"Merchant Wholesalers, Durable Goods","Professional, Scientific, and Technical Services"
Agriculture and Crop Farming,Unclassified Industry,Administrative and Support Services,Chemical Manufacturing,"Professional, Scientific, and Technical Services","Merchant Wholesalers, Nondurable Goods"
Air Quality and Emissions,"Professional, Scientific, and Technical Services",Unclassified Industry,Machinery Manufacturing,Utilities,Chemical Manufacturing
Air Transportation,Air Transportation,Support Activities for Transportation,"Professional, Scientific, and Technical Services",Unclassified Industry,Administration of Economic Programs
Alternative Therapy,Unclassified Industry,Ambulatory Health Care Services,Hospitals,Personal and Laundry Services,Nursing and Residential Care Facilities
Anesthesiology,Administrative and Support Services,Unclassified Industry,Hospitals,Ambulatory Health Care Services,"Professional, Scientific, and Technical Services"
Animal Care,Miscellaneous Store Retailers,Unclassified Industry,"Professional, Scientific, and Technical Services",Educational Services,Personal and Laundry Services
Animal Health and Veterinary Medicine,"Professional, Scientific, and Technical Services",Unclassified Industry,Miscellaneous Store Retailers,Administrative and Support Services,Educational Services
Animation and Game Design,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Publishing Industries (except Internet)
Appliance Repair and Maintenance,Unclassified Industry,General Merchandise Stores,Administrative and Support Services,Real Estate,Accommodation
Application Programming Interface (API),"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities
Aquaculture,Unclassified Industry,Educational Services,"Museums, Historical Sites, and Similar Institutions","Executive, Legislative, and Other General Government Support",Administration of Environmental Quality Programs
Architectural Design,"Professional, Scientific, and Technical Services",Administrative and Support Services,Unclassified Industry,Credit Intermediation and Related Activities,Real Estate
Art and Illustration,Unclassified Industry,"Professional, Scientific, and Technical Services",Educational Services,Administrative and Support Services,Food and Beverage Stores
Artificial Intelligence and Machine Learning (AI/ML),Administrative and Support Services,"Professional, Scientific, and Technical Services",Unclassified Industry,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities
Audio Production and Technology,Unclassified Industry,Educational Services,"Professional, Scientific, and Technical Services",Broadcasting (except Internet),Administrative and Support Services
Auditing,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Credit Intermediation and Related Activities,Insurance Carriers and Related Activities
Augmented and Virtual Reality (AR/VR),"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Educational Services,Computer and Electronic Product Manufacturing
Automation Engineering,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Machinery Manufacturing,Real Estate
Automotive Technologies,Unclassified Industry,Truck Transportation,Transportation Equipment Manufacturing,Administrative and Support Services,Motor Vehicle and Parts Dealers
Backup Software,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,General Merchandise Stores,Educational Services
Banking Services,Credit Intermediation and Related Activities,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",General Merchandise Stores
Basic Electrical Systems,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services","Merchant Wholesalers, Nondurable Goods",Utilities
Basic Technical Knowledge,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Hospitals,Ambulatory Health Care Services
Beauty and Body Treatments and Alterations,Unclassified Industry,Personal and Laundry Services,Health and Personal Care Stores,Clothing and Clothing Accessories Stores,General Merchandise Stores
Billing and Invoicing,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Ambulatory Health Care Services,Hospitals
Bioinformatics,Educational Services,"Professional, Scientific, and Technical Services",Nursing and Residential Care Facilities,Chemical Manufacturing,Ambulatory Health Care Services
Biology,Educational Services,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Ambulatory Health Care Services
Biotechnology,Chemical Manufacturing,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Ambulatory Health Care Services
Blockchain,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Publishing Industries (except Internet),Computer and Electronic Product Manufacturing
Blood Collection,Ambulatory Health Care Services,Hospitals,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services"
Brand Management,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,"Merchant Wholesalers, Nondurable Goods",Chemical Manufacturing
Budget Management,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Real Estate
Business Analysis,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Insurance Carriers and Related Activities,Credit Intermediation and Related Activities
Business Communications,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Insurance Carriers and Related Activities,Educational Services
Business Consulting,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Insurance Carriers and Related Activities,Credit Intermediation and Related Activities
Business Continuity,"Professional, Scientific, and Technical Services",Administrative and Support Services,Unclassified Industry,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities
Business Intelligence,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Insurance Carriers and Related Activities,Credit Intermediation and Related Activities
Business Intelligence Software,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Insurance Carriers and Related Activities,Credit Intermediation and Related Activities
Business Leadership,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities
Business Management,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities
Business Operations,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Credit Intermediation and Related Activities,Food Services and Drinking Places
Business Solutions,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Insurance Carriers and Related Activities,Credit Intermediation and Related Activities
Business Strategy,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Insurance Carriers and Related Activities,Credit Intermediation and Related Activities
Business-to-Business (B2B) Sales,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Credit Intermediation and Related Activities,"Merchant Wholesalers, Durable Goods"
C and C++,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Computer and Electronic Product Manufacturing,Insurance Carriers and Related Activities
Cannabis,Unclassified Industry,Ambulatory Health Care Services,"Executive, Legislative, and Other General Government Support",Administrative and Support Services,"Professional, Scientific, and Technical Services"
Cardiology,Administrative and Support Services,Unclassified Industry,Hospitals,Ambulatory Health Care Services,Educational Services
Carpentry,Unclassified Industry,Building Material and Garden Equipment and Supplies Dealers,Administrative and Support Services,Real Estate,Construction of Buildings
Cash Management,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Credit Intermediation and Related Activities,Food Services and Drinking Places
Cash Register Operation,Unclassified Industry,General Merchandise Stores,Food Services and Drinking Places,Food and Beverage Stores,Administrative and Support Services
Chemical and Biomedical Engineering,Chemical Manufacturing,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Computer and Electronic Product Manufacturing
Chemistry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Chemical Manufacturing,Unclassified Industry,Educational Services
Child Care,Unclassified Industry,Social Assistance,Ambulatory Health Care Services,Educational Services,"Professional, Scientific, and Technical Services"
Childhood Education and Development,Unclassified Industry,Social Assistance,Educational Services,Administrative and Support Services,Ambulatory Health Care Services
Circuitry,Administrative and Support Services,Computer and Electronic Product Manufacturing,Unclassified Industry,"Professional, Scientific, and Technical Services","Electrical Equipment, Appliance, and Component Manufacturing"
