,Skill cat: Information Technology,"Skill cat: Maintenance, Repair, and Facility Services",Skill cat: Architecture and Construction,Skill cat: Design,Skill cat: Engineering,Skill cat: Media and Communications,Skill cat: Business,Skill cat: Health Care,Skill cat: Finance,Skill cat: Manufacturing and Production,Skill cat: Energy and Utilities,Skill cat: Customer and Client Support,Skill cat: Education and Training,Skill cat: Public Safety and National Security,Skill cat: Science and Research,"Skill cat: Transportation, Supply Chain, and Logistics","Skill cat: Law, Regulation, and Compliance",Skill cat: Physical and Inherent Abilities,Skill cat: Administration,Skill cat: Social and Human Services,Skill cat: Sales,"Skill cat: Performing Arts, Sports, and Recreation","Skill cat: Economics, Policy, and Social Studies","Skill cat: Agriculture, Horticulture, and Landscaping",Skill cat: Personal Care and Services,Skill cat: Hospitality and Food Services,Skill cat: Property and Real Estate
2023-01-01,0.36124933191823455,0.13156774317286687,0.0742325614952529,0.04750465348044267,0.09045365366510653,0.5124997281337081,0.5186767427379927,0.24625925660747805,0.25143039998389,0.1313749083102877,0.015481527570122522,0.4233157797911316,0.11323244955653732,0.03809556306739978,0.12762679554026768,0.22998350138163515,0.3243825099527937,0.6735700969135363,0.29435052338616474,0.0300961105764865,0.28168556453507065,0.00792445503225925,0.05638904545334233,0.008995054647973663,0.0084937826188478,0.10695394114198112,0.01563248528237563
2023-02-01,0.3699904323448231,0.13360977957355757,0.07537995537059802,0.04875741119852715,0.08955352597336698,0.5109080296240839,0.517286118923177,0.24953692635670402,0.25487119822643267,0.13619039056733712,0.01406947439428174,0.43111419577038157,0.11194675112832642,0.0372639798646766,0.12485837355312089,0.23231142405647887,0.3208788146426166,0.6891468153624115,0.2983142011451927,0.03097436730467279,0.28626921418592,0.007818341162798914,0.05927289960592539,0.008893331432877623,0.009348072790487513,0.10870131652880136,0.015747660135099695
2023-03-01,0.3786130850428104,0.13924956975389927,0.07556502834313042,0.05083778367841513,0.08851018079232971,0.513295716823879,0.5198403109438702,0.24681935931610882,0.2580191886245967,0.14021851301174426,0.013768060960301419,0.43839138664203997,0.11276725827706442,0.03708746877659167,0.12292594654003258,0.2338810065731302,0.3167752073380301,0.7044164509465948,0.300767397570037,0.03153510927282938,0.28839583386076545,0.007732608223984095,0.06279876919630398,0.008698522327412812,0.01020806041418173,0.11017355064565013,0.015667321294703135
2023-04-01,0.3870237706421963,0.14774394477649164,0.07444862981857886,0.053018504019634906,0.08756127924936453,0.5125146366913724,0.5214251208897959,0.2392496375811097,0.25726197588451005,0.1425446361986947,0.014436543751769858,0.44645735147987176,0.11350965833254766,0.03734462539269537,0.12104825934753252,0.23487321270029232,0.312346160195526,0.7182224376658775,0.3034662353326378,0.031826521991638504,0.28676152747496414,0.007663507521882959,0.06712795084322223,0.008486179072249554,0.01106102627570735,0.11079720116418568,0.015539747131399766
2023-05-01,0.39514269373740635,0.15449831410965326,0.07209033429698561,0.05544317782759019,0.08709648055526702,0.5105711393052375,0.5180020479917963,0.22912421586668008,0.2544472470427098,0.14294848246038458,0.016144050886807065,0.45593311280092674,0.1131049125932558,0.03776490759018183,0.11855169752759687,0.2354359356749774,0.3080493909345821,0.730631127141885,0.30420901393443023,0.031924319643155834,0.31508437930357963,0.007607967085541968,0.07263082907002158,0.008291522748315794,0.011880529326239548,0.1102285310077348,0.0153544836352477
2023-06-01,0.4029035621375018,0.15762030890034354,0.06884145775618278,0.05873769194381144,0.08742860720629049,0.506154375180479,0.509064919883879,0.2222082657044434,0.2514097702174835,0.14216831537690228,0.016471412185627254,0.4671226984111584,0.1119264243840593,0.038167986921052915,0.11524501148710926,0.23568669626025357,0.30435629738808145,0.7422202828845944,0.3035123060771758,0.03191348643712406,0.3495305901125655,0.007563470531974545,0.07968134131735921,0.00812811498242226,0.012599129592843367,0.10830408675876377,0.015164523614999982
2023-07-01,0.4102528193523382,0.15732296159755216,0.06515747886227109,0.06303673102065153,0.08865978553572153,0.5028662204676803,0.49645039919975587,0.2210789882009424,0.249949048611833,0.14117962410884644,0.016641931365248386,0.4801391658708548,0.11061948073249825,0.03849161670707875,0.11154821498577776,0.2357169075419842,0.30163317646963994,0.7531026774218424,0.30172419913158915,0.03187207617936152,0.3671176599982854,0.007527957530250403,0.0886124507834011,0.007998392615489396,0.013129500550369873,0.10501252695757737,0.0149900602970837
2023-08-01,0.41714857638201264,0.1558213903201538,0.06146372530351417,0.06768223568934029,0.0906341375272461,0.5013978996320182,0.4817137545331117,0.22536929007115564,0.25004476956434946,0.14051062844640416,0.016983490753557283,0.49492953907452425,0.10938832583930608,0.03875080068631839,0.1078012266278744,0.2355964186252295,0.300080812034563,0.7630065234638866,0.2994238077571116,0.03185999241613147,0.3655572850611883,0.007499742020412285,0.09977932689004453,0.007899537348948408,0.013408645284943605,0.10047357143824678,0.014850057732436604
2023-09-01,0.4235594098891756,0.15518738690563896,0.058091094669165635,0.07160315772305595,0.09299232343998269,0.5013217683950745,0.4648595190354484,0.23246013600158633,0.2508344484141284,0.14020795792176122,0.01722130534250881,0.5113185339594722,0.10814781046660636,0.038983413137284345,0.1040489597778243,0.2353777367185414,0.29972674128543675,0.7717313186005947,0.2969336932117904,0.03191388373993278,0.4001892471928563,0.007477445026583039,0.1136456932024795,0.007826670294804649,0.013428814149206797,0.09491655805992974,0.01474587169978122
2023-10-01,0.42946313617663934,0.15582680216975464,0.055248305592324354,0.07402815454246948,0.09529592152432602,0.5007997202791127,0.4450320952139405,0.2394453209441026,0.25079374878116045,0.14019123551108975,0.01472513985012432,0.5291017167634312,0.10688817997459767,0.0392152885111527,0.10017130052162872,0.23509969073085019,0.3004553444067632,0.7792400284341866,0.29441192059186694,0.032047720464692696,0.4373126319157358,0.007459939465737649,0.13084426217768358,0.007774518846990397,0.013237479970853708,0.0886555175531776,0.01467019383956004
