,Skill: (American Society For Quality) ASQ Certified,Skill: .NET Assemblies,Skill: .NET Development,Skill: .NET Framework,Skill: .NET Framework 1,Skill: .NET Framework 3,Skill: .NET Framework 4,Skill: 12 Volt Electricity,Skill: 1Password,Skill: 2020 Design Software,Skill: 2D Computer Graphics,Skill: 2D Computer-Aided Drafting And Design,Skill: 35 Mm Films,Skill: 389 Directory Server (Fedora Project),Skill: 3CX Phone Systems,Skill: 3D Animation,Skill: 3D Art,Skill: 3D Computer Graphics,Skill: 3D Graphic Design,Skill: 3D Modeling Software,Skill: 3D Reconstruction,Skill: 3D Rendering,Skill: 3D Scanning
2022-03-01,0.0003606335361138291,1.2141075240449748e-05,1.3233184037143217e-05,0.0034348588046041947,1.725432963689149e-08,6.665962839487927e-06,1.7447791372881337e-05,8.651082689531007e-05,6.2572728964436235e-06,3.700838104690887e-05,1.1976554483850658e-05,4.5706631675297226e-05,4.085950341952978e-06,-3.421460596507702e-09,1.213422566203883e-06,4.201581217225941e-05,3.760882487793596e-05,4.352773602986589e-05,2.346121959089394e-06,0.00014640779534506662,3.6079032733361282e-06,6.725176948793069e-05,3.216393025046797e-05
2022-04-01,0.0003573491459588619,1.216790594793156e-05,1.4044346682379171e-05,0.0035365825023350467,3.8117503017522605e-08,7.418525431807205e-06,1.4642467342459136e-05,8.20630680265055e-05,7.3672582532701635e-06,3.490945024817405e-05,1.2763670738710634e-05,4.4858927527981405e-05,2.8133248742782898e-06,-3.6259456776226445e-09,1.1551464690333346e-06,3.87554133249754e-05,3.724022757698258e-05,4.1877898778261775e-05,3.118954594977515e-06,0.0001512481331235221,3.7840291657973065e-06,6.508746884855153e-05,3.285635869782413e-05
2022-05-01,0.00035348511437178977,1.2181856322835131e-05,1.4800521529949634e-05,0.0036390742674832673,5.8682755057678915e-08,8.23272317344116e-06,1.0551805853407903e-05,7.718082613787927e-05,8.339204176114644e-06,3.260514593382022e-05,1.3912845049834551e-05,4.407587835932296e-05,1.4569555663649227e-06,-2.38796315413072e-09,1.0842340607424642e-06,3.5308574967013014e-05,3.69798694752262e-05,4.014222331455416e-05,3.909920487105537e-06,0.00016230619834164934,3.920604151188808e-06,6.265852826256178e-05,3.353033305256865e-05
2022-06-01,0.0003489649326215283,1.2177648514810946e-05,1.5581940706788886e-05,0.0037420840469523527,7.917675253078162e-08,9.100460909484989e-06,6.572023169335436e-06,7.184980626404905e-05,9.276504512629841e-06,3.045049977444271e-05,1.5070327338114349e-05,4.333770333481404e-05,6.165384906189223e-08,-7.511158395203366e-10,1.000925525136685e-06,3.1669882792021014e-05,3.687505193858393e-05,3.831328613282558e-05,4.720686928964559e-06,0.00017151715673180428,4.015604456622273e-06,6.0437078943422496e-05,3.4178296339516636e-05
2022-07-01,0.0003437959254466597,1.2167981485651062e-05,1.6395505204746508e-05,0.0038456651567403202,9.992641276182461e-08,1.0019539254973673e-05,3.86012172208228e-06,6.63134502682631e-05,1.0282963097487153e-05,2.8394552855391e-05,1.554139906264653e-05,4.2638254898670395e-05,-1.3506387505274436e-06,1.0923737304026664e-09,9.056470167682555e-07,2.78310664236945e-05,3.6870575075714294e-05,3.639240470158515e-05,5.552967505102359e-06,0.0001862770863497921,4.068932194269965e-06,5.872662178827089e-05,3.480024114272854e-05
2022-08-01,0.0003379856415108201,1.2148609270819155e-05,1.7232517151633495e-05,0.0039498598548053255,1.2097900813837264e-07,1.0989577129128692e-05,2.8597508816156957e-06,6.061239170599045e-05,1.136372558783046e-05,2.6330447819340672e-05,1.5841379995164342e-05,4.197552684217905e-05,-2.7856161948115924e-06,3.174880350926886e-09,7.985574593733789e-07,2.378913934486843e-05,3.6940369472569424e-05,3.437989427886913e-05,6.407416350995643e-06,0.00019851410093805962,4.080734572238722e-06,5.675300358143636e-05,3.539648950032942e-05
2022-09-01,0.00033153464563593016,1.211681335466299e-05,1.809045495833747e-05,0.0040546823482984365,1.423200847309903e-07,1.2010533061618985e-05,2.2668238033421608e-06,5.469676645376486e-05,1.2470637616330829e-05,2.423420854851244e-05,1.7257137203553505e-05,4.134882236660596e-05,-4.2510398811923245e-06,5.525050770636083e-09,6.796684868233919e-07,1.954347798692476e-05,3.7087954214128095e-05,3.227575344365146e-05,7.284183207272261e-06,0.00020402138328109204,4.0510467651761405e-06,5.4609949157956914e-05,3.5967151256892383e-05
2022-10-01,0.00032444239355111523,1.207336841093146e-05,1.8969944640672956e-05,0.0041601357240480625,1.6394340563699515e-07,1.3082402581490667e-05,1.1283552908314877e-06,4.854830256322987e-05,1.3575761755200288e-05,2.2125012112172284e-05,1.8796509376711063e-05,4.075789220074976e-05,-5.7476175443512315e-06,8.149498381661445e-09,5.489697033402284e-07,1.5094042890472422e-05,3.731970468537758e-05,3.007997422295881e-05,8.183278106588649e-06,0.00021543805015020607,3.979863840803527e-06,5.2483646929339565e-05,3.6512249249636825e-05
2022-11-01,0.00031670875294502427,1.2018535156627686e-05,1.9871428493852857e-05,0.0042662203472816716,1.8584880216400528e-07,1.4205183783450229e-05,-8.87674788329221e-07,4.217516970644957e-05,1.4687901825763706e-05,2.001584680245205e-05,2.001607827830063e-05,4.020264649796325e-05,-7.273348288108528e-06,1.1047789748443657e-08,4.0645758733097795e-07,1.0440862862027476e-05,3.763674869162587e-05,2.779255586029396e-05,9.104691922058814e-06,0.00022786773887318093,3.867182078931917e-06,5.019617788561201e-05,3.703178616990964e-05
2022-12-01,0.0003083337487586453,1.1951875413650249e-05,2.0794912292828562e-05,0.004372936187622634,2.080366928719266e-07,1.537887584620806e-05,-3.413494904352511e-06,3.558301678027531e-05,1.5825304693818047e-05,1.7906389355586917e-05,2.1074966177239514e-05,3.9683052872870686e-05,-8.827413824816395e-06,1.4219167217681522e-08,2.521322628002329e-07,5.583952504633629e-06,3.803807875283111e-05,2.5413498478598773e-05,1.004841942593717e-05,0.0002415559002083703,3.713001164525358e-06,4.7987903002845824e-05,3.7525761839571935e-05
