,July 2022 actual,July 2024 predicted,Percent change
CFM International CFM56,0.0,4.941036493267128e-22,inf
Solar Simulator,0.0,1.598063005655049e-06,inf
SpriteKit,0.0,1.4177609728402606e-06,inf
Sqlcipher,0.0,4.941036493267128e-22,inf
Icenium (Software Development Platform),0.0,2.5116687879449974e-06,inf
Stage Props,0.0,1.098850359277028e-07,inf
Cold Store,0.0,5.769826018019931e-06,inf
Apple Push Notification Service,0.0,7.228220680634895e-07,inf
Apple ProRes,0.0,1.1261687574393437e-05,inf
ISO/PAS 28000,0.0,4.941036493267128e-22,inf
ISO 9,0.0,6.888646408535305e-07,inf
IRIX,0.0,1.188992753213902e-07,inf
Statements On Auditing Standards,0.0,1.3088979426108169e-06,inf
IGMP Snooping,0.0,1.7079298068343892e-05,inf
IBM Websphere Integration Developer,0.0,1.2664222223454734e-21,inf
SteamVR,0.0,8.273505677773355e-06,inf
IBM UniCA NetInsight,0.0,8.694203614117427e-07,inf
IBM Tivoli Directory Servers,0.0,2.51655978062895e-06,inf
Apigility,0.0,4.941036493267128e-22,inf
Certified Energy Manager In Training,0.0,4.941036493267128e-22,inf
Mobile IP,0.0,1.469461168578274e-06,inf
IAE V2500 Engine,0.0,4.941036493267128e-22,inf
StorageTek Tape Formats,0.0,8.643532835998797e-07,inf
Commcare,0.0,1.188992753213902e-07,inf
Model View Presenter,0.0,4.5534584482835576e-06,inf
Hydrolysis,0.0,1.2474051347474955e-05,inf
Hydrogen Sulfide,0.0,5.588089579651253e-06,inf
Strict Liability,0.0,2.570877599743544e-06,inf
Modern Hebrew,0.0,1.8841237655675847e-06,inf
Biopesticides,0.0,1.5762023607084668e-06,inf
Commercial Plumbing Inspection,0.0,5.737301268079664e-06,inf
Certified Energy Procurement Professional,0.0,5.28406849547517e-10,inf
Ifttt,0.0,2.1115502328438465e-05,inf
In-Plane Switching (IPS),0.0,1.7553437901036103e-06,inf
Spark Testing,0.0,5.019486280883844e-06,inf
