,Skill cat: Information Technology,"Skill cat: Maintenance, Repair, and Facility Services",Skill cat: Architecture and Construction,Skill cat: Design,Skill cat: Engineering,Skill cat: Media and Communications
2023-01-01,0.3508582503984906,0.1279037186461719,0.07086612046187042,0.04795368177912347,0.08900013320005405,0.5097111876302632
2023-02-01,0.3518681392562042,0.12758712133911196,0.07060842960351245,0.048513885865303946,0.09063480087377994,0.512086966656958
2023-03-01,0.35342200491855524,0.12677209956157748,0.07008052579905595,0.049304775300660575,0.09235990819870088,0.515046598094999
2023-04-01,0.35595190210929256,0.12594743802868674,0.06918229096779993,0.05034237096208727,0.09421049792797453,0.5188554741698819
2023-05-01,0.35908952520837273,0.12522954417040089,0.06820952584453273,0.05166065255501551,0.0962663069092941,0.5240004636526479
2023-06-01,0.36176765583560777,0.12431716009358776,0.06739583164622452,0.05313506291717632,0.09834934904539659,0.5310369955674112
2023-07-01,0.36397680890774176,0.12361007027788018,0.06678654848093735,0.05456608753394615,0.10037398002957765,0.5397166958802814
2023-08-01,0.3664734583990331,0.1234528524711977,0.06622913003257377,0.056098005791256456,0.10248687103698624,0.5493921757647021
2023-09-01,0.3695918746457125,0.12366547550153062,0.06532909380198491,0.05795720332229741,0.10454777790557088,0.5596053138590611
2023-10-01,0.3726646328178505,0.12392360710597877,0.06385211735887687,0.060085643834667704,0.10643238728817878,0.5701718656924829
2023-11-01,0.37451679659947457,0.12424047400523741,0.06207330697749774,0.06227578334230949,0.10826187672179688,0.5812632549648018
2023-12-01,0.3750322266614182,0.12462990215656755,0.060392863667046326,0.06438250811723355,0.10996680365161197,0.5933433072775027
2024-01-01,0.37563199643256084,0.12481354790440446,0.05900734690066693,0.06656224362725403,0.11173388104959196,0.6063829636008872
2024-02-01,0.3773382759924688,0.12486793456034517,0.058035884162030184,0.06908632559027753,0.11386043134525592,0.6188905686219719
2024-03-01,0.37969847316484995,0.1250312892291311,0.057323191376001725,0.0720037743158626,0.11608373893210955,0.6300967740641097
2024-04-01,0.3826054976302022,0.12494003350591748,0.056028582333836466,0.07520590101024482,0.11791504482405088,0.6406931102410718
2024-05-01,0.38699911264675996,0.12444095609177608,0.05353914096249701,0.07866620127654278,0.11941315182678461,0.6516895939021137
2024-06-01,0.39358140258997865,0.12397441345595522,0.050356613516087355,0.08256412243573585,0.12113756897713937,0.6646092995576652
2024-07-01,0.40246151399888697,0.1236245231270191,0.04747150667982049,0.08686324682028039,0.12343949459234359,0.6798641106359835
2024-08-01,0.4125146179733277,0.12333665170075397,0.04555253762735195,0.09105581729446438,0.1262902732069897,0.6954096475338598
2024-09-01,0.4220462212293734,0.12311337395294797,0.044543464789645215,0.09480103618223243,0.12936726946074933,0.7084093909396098
2024-10-01,0.43226839046499027,0.12245047928444858,0.04350157871959967,0.0984008156321794,0.13237287941110126,0.7185403840666473
2024-11-01,0.4454414401782299,0.12082156087518847,0.04124197340697247,0.1023690964912162,0.13547613369856004,0.7288558392970222
2024-12-01,0.4598191340438289,0.1185939888319007,0.037619988947551905,0.10673840201658931,0.13884610047673474,0.741686299195814
2025-01-01,0.47248254204782647,0.11668915241326461,0.03361957185737052,0.1111066776380181,0.14237441796731304,0.7577393704236344
2025-02-01,0.4831080945455622,0.11556330287151656,0.030333020722677406,0.11506461047464286,0.14603188079008356,0.7776971410739068
2025-03-01,0.49142009684360055,0.11502893549879617,0.02835893462734519,0.11834731368338922,0.14978189218356402,0.7991863990682635
2025-04-01,0.49734755327003655,0.11463523950847265,0.027383266323923527,0.12115982033846245,0.15359328041893816,0.8184343140092967
2025-05-01,0.5028384937265618,0.1137396734863314,0.025938539461310445,0.12404617292010997,0.15757699764330552,0.834834004366631
2025-06-01,0.5084596697187823,0.11214426750525025,0.0224540712695015,0.12721596289358061,0.16148208254697208,0.8506387389411183
2025-07-01,0.5128616367291488,0.11038635518631429,0.016938162674285877,0.13054010089237555,0.1649421130961271,0.8687671451769663
