,Skill subcat: Microsoft Development Tools,Skill subcat: Software Development,Skill subcat: Application Programming Interface (API),Skill subcat: Basic Electrical Systems,Skill subcat: Identity and Access Management,Skill subcat: Interior Design,Skill subcat: Animation and Game Design,Skill subcat: Digital Design,Skill subcat: Drafting and Engineering Design,Skill subcat: Photo/Video Production and Technology,Skill subcat: People Management,Skill subcat: Art and Illustration,Skill subcat: Graphic and Visual Design Software,Skill subcat: Oncology,Skill subcat: Graphic and Visual Design,Skill subcat: Artificial Intelligence and Machine Learning (AI/ML),Skill subcat: Wireless Technologies,Skill subcat: Health Information Management and Medical Records,Skill subcat: Medical Billing and Coding,Skill subcat: Financial Regulation,Skill subcat: System Design and Implementation,Skill subcat: Compensation and Benefits,Skill subcat: Mental and Behavioral Health Specialties,Skill subcat: Financial Advisement,Skill subcat: Networking Hardware,Skill subcat: Telecommunications,Skill subcat: Lean Manufacturing,Skill subcat: Computer Hardware,Skill subcat: Network Protocols,Skill subcat: Web Analytics and SEO,Skill subcat: Network Security,Skill subcat: Mental Health Therapies,Skill subcat: Machinery,Skill subcat: Electrical Power,Skill subcat: Insurance and Warranty Claims Processing,Skill subcat: Databases,Skill subcat: Instructional and Curriculum Design,Skill subcat: Special Education,Skill subcat: Payroll,Skill subcat: Human Resources Software,Skill subcat: Accounting and Finance Software,Skill subcat: Safety and Surveillance Technology,Skill subcat: Engineering Software,Skill subcat: Networking Software,Skill subcat: Simulation and Simulation Software,Skill subcat: Construction Inspection,Skill subcat: Laboratory Research,Skill subcat: Other Programming Languages
2023-08-01,0.007171343211918304,0.07084303254388723,0.01830932791671137,0.01211605799200497,0.009722896782149076,0.0012599660024541898,0.002886178652969194,0.0031252284852233856,0.0194350723515276,0.006544364654541687,0.07378873965364544,0.0023045408669886943,0.010122500048629428,0.007543257710306905,0.008396254327012633,0.020706175795741917,0.0033295455098135834,0.03779939030774527,0.007238900578903631,0.006213014893467423,0.03542083693418243,0.00807653963567659,0.025328541044915928,0.001524518883375827,0.0052750795876327075,0.015055005979359944,0.011238262689873622,0.006937760260374214,0.009722641694362055,0.009556025926348619,0.010131239328542513,0.010408367217027759,0.04818254475851051,0.003989646891074802,0.0036574234693682343,0.02863779762739749,0.012136813231985046,0.005227839079780678,0.006100479631122049,0.0116318865148722,0.012022971947687278,0.005677525514079524,0.006921521287440415,0.0017271377858637622,0.0017229574198760309,0.005504015960106905,0.01576100851418019,0.0177710686736086
2023-09-01,0.007162036485108185,0.07086350475031221,0.01811582368233443,0.0120872255066907,0.009832373399352112,0.0012947876606657393,0.002867395986317055,0.003111110723799452,0.01941910693252799,0.00667063321646444,0.07314990951857336,0.0022845069244564207,0.010261244190789552,0.007103243767234724,0.008400625719813253,0.020520918540205955,0.0033664255159366464,0.03780977926720455,0.007063098999353753,0.006187715816138606,0.03549090241349252,0.008453550974390042,0.025069887764255068,0.0015543567679205418,0.00530990906259751,0.014591776476784307,0.01120681627659357,0.006951942735217368,0.009763009554000338,0.009540354694435371,0.010188371437971425,0.01032853215349445,0.04844976697434913,0.003979329823333321,0.003687127959633765,0.028820888710566483,0.012258458440331778,0.005132943185829827,0.006227324185814806,0.011915291061422419,0.01208495659207496,0.005746647087796339,0.007035912063361543,0.0018214385251830736,0.0017938623990825363,0.005528368659095329,0.01587526353748038,0.01795726849734208
2023-10-01,0.007199360444744951,0.07124274314904215,0.0179896352725452,0.011992719402705897,0.010089791235955159,0.0013169353030647508,0.002856347460738414,0.0030846171958899345,0.019407401883068418,0.006778353511999948,0.07260963578328065,0.00225324137503969,0.010414345516350518,0.006768797127455163,0.008381014851320125,0.020499598410071814,0.0034045789126854803,0.03783901765170039,0.00693778167464788,0.006239989386258053,0.03588963008079979,0.0087386793274421,0.024666021868217446,0.0015675452030365386,0.005385242099568493,0.014409341997667052,0.01120262632642138,0.006962198235830224,0.009888978890239347,0.009511640717746597,0.010232373041896696,0.010222707768923605,0.0486161240337662,0.003965572533463749,0.0036782544802641906,0.029260373752043226,0.012421141771597394,0.005048433752839676,0.0063618567999194605,0.012213581101041116,0.012102908863639919,0.005844091553407342,0.0071801800846821705,0.0019613314924032442,0.0018343451361523336,0.005556949697607611,0.015989491236246194,0.018427983393754687
2023-11-01,0.007367540890518474,0.07208868294697096,0.0181839487617937,0.011913363654912407,0.010577310136209037,0.0013293017699439699,0.0028571062263590997,0.003062472219533238,0.019492596484925618,0.006849615531275326,0.07207994993042768,0.0022154501444763657,0.01044797088954706,0.0065831944873549,0.008370818526314263,0.020753354980433014,0.0034321383174537065,0.03789463735936283,0.006846313951715822,0.006369554379169638,0.03656165520463097,0.008970548704793357,0.024254189312261597,0.0015871463119503139,0.005502275552829712,0.014583488472469527,0.011194719433130076,0.006991285604925017,0.010077904358951107,0.009481622823118728,0.010319276647443764,0.010090113597939768,0.04882161044961965,0.003978742202166479,0.0036378081224058647,0.029884106392019404,0.012634014161088156,0.004950760395755976,0.006486106246883539,0.012491975452723805,0.012101750342780243,0.005949532883806306,0.007318285928048039,0.0020587337133067527,0.001850535530426239,0.005607486775259905,0.016035536675448176,0.019102471867054785
2023-12-01,0.007612415424676907,0.07264169341428676,0.018467784109158204,0.011873122895024799,0.011049865721641586,0.0013381526054861814,0.002848964986725219,0.003047514919609035,0.019579128550378883,0.006857249033500093,0.07137010894125131,0.002162869907159322,0.01032543999898862,0.00655493379640102,0.008325930487749173,0.020975938099035182,0.0034226686705145,0.037955755833089785,0.006745262233311626,0.0064379193257229315,0.03683513271233439,0.009213257872143521,0.02398893062811041,0.001609535908136229,0.0056096378658334715,0.014908827769509782,0.011124459572041048,0.0070235076235796515,0.01017239970692758,0.009423938113086157,0.01044853107035518,0.00989875721052404,0.049077377648257495,0.004016074319919534,0.0036033937643551012,0.03022817665430446,0.012832011843650647,0.0048290596913842816,0.006552720133489455,0.012650977140808818,0.012090480166962413,0.006030161162079412,0.007342175364737294,0.002066733790722769,0.0018612970404122682,0.005657796851419924,0.016001648296249685,0.019532780087825233
2024-01-01,0.007748156768177165,0.07234899380158645,0.01835324391580951,0.011822458502971213,0.011122770525333267,0.001346513356004808,0.002811159420083316,0.003036916713527826,0.019501690514404216,0.0068131837059967944,0.07044692790376138,0.002092282627772211,0.010176706664743984,0.006592286654324549,0.008240394019771283,0.02092968197306004,0.003381439584676511,0.038073490676594546,0.006638614264644795,0.0063863111735205785,0.03645958524511392,0.009502441719689787,0.023905767364193514,0.0016262864930899094,0.005643676194189576,0.014905238619681148,0.010958190922358705,0.0070001793091253135,0.01011344615445342,0.009338795671939864,0.01056383515179539,0.009650168357606492,0.049206716851831554,0.004072726139359076,0.0035773815815834014,0.030130412514176072,0.01293120141552687,0.0046893130128521105,0.00655721996664322,0.012695721225647234,0.012057654308553073,0.006057777915477408,0.007232083546141101,0.002050228351813948,0.0018818767101499256,0.005676016227806576,0.015972781802310914,0.01957168878538782
2024-02-01,0.0077096442776665546,0.07163468682388321,0.01782743982099703,0.011754596254273789,0.010805512345166676,0.0013581336418115677,0.0027525560098338713,0.0030245461712265892,0.019358114110153802,0.006782378133239194,0.0695746346625353,0.0020145641346362457,0.010128456625428649,0.006484596203175945,0.008170474144030722,0.020735491749786193,0.003354344238032685,0.038301282209868594,0.00651793039068113,0.00628544660918392,0.03598537284885483,0.009845366446454406,0.023847498306008144,0.0016351113911131942,0.0056115102659920705,0.014299455625921297,0.01075432212577099,0.006930728360898664,0.010036394470551022,0.009253857124723576,0.010621902317425137,0.009397180163787811,0.049270214984413,0.004148129586971032,0.0035407316864683905,0.029990572743299387,0.012949985127659729,0.0045320791279068896,0.006565960273188103,0.012750267273284193,0.012020037622389013,0.006043228983047865,0.007110323567275572,0.0021136791318400426,0.0019033541273066404,0.005675347815476871,0.016007968870565853,0.019639266330265415
2024-03-01,0.007673623453148502,0.07151402552441138,0.017482316301750525,0.011686193189974367,0.010609573403081635,0.001372196173174037,0.002706062803151367,0.0030033561340428684,0.01940308727749086,0.006826924891360981,0.06895554708511151,0.0019455539772877512,0.010163819188702194,0.006248196307863262,0.00819451196296257,0.02069796871835341,0.0033680361666188884,0.038676292008011995,0.006383819106979056,0.006223050598808455,0.03607587519336589,0.010256448359944522,0.02371497062215865,0.0016312185560691103,0.005616219961407662,0.013551573896264775,0.010591124513789745,0.0069110884039930084,0.010121266016108962,0.009193300324479096,0.010685481394486622,0.009186117452070987,0.04960807303815423,0.0042024318253874055,0.003490735815542899,0.030237080076489977,0.013043960740107824,0.004381240885317956,0.0066351428386694665,0.012922906025972243,0.011966967092519064,0.006042974006653476,0.00709666014129851,0.002283727673436035,0.0019140394057167655,0.005687556855149692,0.016101899897991434,0.020153534370498327
2024-04-01,0.007713675076549936,0.07185828851119976,0.017615461438610376,0.011630798520037152,0.010853675009163621,0.0013825457998458733,0.002677951988718159,0.002966355112188366,0.01970404613663885,0.006915009386914871,0.06837256916300105,0.0018891891892383844,0.010143921195736665,0.006063563280701744,0.008284917741722218,0.020893165682140245,0.003391435366362037,0.03910959553406035,0.006202679256666369,0.006192226917458285,0.03642957943964579,0.010725665159715791,0.023697474960991612,0.0016359272288721366,0.005716842863492701,0.013262883177048962,0.010470712997892647,0.006970495834128819,0.010297468987370929,0.009138509273740672,0.010789676450286768,0.009041885859417224,0.050570387122498756,0.0042046463522087745,0.0034490971308118014,0.03056222182974397,0.013330957317011536,0.004302205661193562,0.006743732877707031,0.013180694120356003,0.011875308416806268,0.0061039600791279215,0.007136008865591749,0.002447052946706238,0.0019294741251531752,0.005734844486177281,0.016249074439693242,0.02080217828403198
2024-05-01,0.007739617097354448,0.07165949191379709,0.01779417555513648,0.011608593999046405,0.01121784690866618,0.0013844730061247797,0.002639354044720709,0.002913422220919201,0.01998227294957766,0.006947650626248593,0.06750671365901012,0.0018283144752162506,0.009981613931666366,0.006001002016869466,0.008266577805017841,0.021126289728862553,0.003387260101818259,0.03940269828231668,0.005965426735812314,0.006132832180512062,0.0362687625660022,0.011201547485756821,0.023838955429256993,0.0016621835702008898,0.005845400323570119,0.013294489748917455,0.010367790470940837,0.007045713414262914,0.010360615359787587,0.00903609493334534,0.010902203191241007,0.00891958655476433,0.05187180171472671,0.0041633980713370435,0.003430706948985528,0.03039052689060736,0.013662767684723897,0.004266198634614415,0.00683354213214764,0.013395908177431217,0.011746371731689308,0.006185168393271059,0.007069178268921058,0.002500611931801261,0.0019612672996847124,0.0057890890473717175,0.0164356176150712,0.02100555726233709
