,July 2022 actual,July 2024 predicted,Percent change
 Smartphone Operation,0.005374585,0.020070648,273.4362186
 Aesthetics,0.001035971,0.003617521,249.1914618
 Ruby (Programming Language),0.002617189,0.007904219,202.0117382
 Batteries,0.000950289,0.002640072,177.8177596
 Mobile Application Development,0.003808945,0.009568734,151.2174275
 ASP.NET,0.001908367,0.004597056,140.8894727
 Commercial Driver's License (CDL),0.009152373,0.021511096,135.0329764
 Commercial Driving,0.000584194,0.001341147,129.5722485
 Progress Reporting,0.003364958,0.007593335,125.6591549
 Capital Expenditure,0.001573429,0.003550331,125.6428532
 Cosmetology,0.002586032,0.005629933,117.7054383
 Payment Processing,0.001495537,0.003067979,105.1423494
 Diesel Engines,0.001370909,0.002734755,99.48486795
 Metal Inert Gas (MIG) Welding,0.000802293,0.001590463,98.23968065
 IT Security Architecture,0.001004814,0.001955874,94.65040302
 Engineering Drawings,0.000926921,0.001743827,88.13106092
 Sorting,0.00845913,0.015780878,86.55439336
 Physical Security,0.000802293,0.001493396,86.14095225
 HyperText Markup Language (HTML),0.009650886,0.017830557,84.75565724
 Tax Laws,0.000739979,0.001325094,79.07178806
 Web Development,0.003076755,0.005340869,73.58770213
 MySQL,0.003855681,0.006677262,73.17983693
 Warehousing,0.041096104,0.067887537,65.19214933
 Adobe Illustrator,0.003847891,0.006333035,64.58454721
 Medical Management,0.001082706,0.00177685,64.11190829
 Grilling,0.004252933,0.006961675,63.69115687
 Consolidation,0.003053388,0.004959253,62.41807782
 Search Engine Optimization,0.0044944,0.007141663,58.90138794
 Utilization Management,0.001596797,0.002454545,53.71680048
 Welding,0.002095309,0.003196173,52.53944119
 Adobe Photoshop,0.005063015,0.0076333,50.76590532
 Loading And Unloading,0.022713465,0.034019321,49.77601148
 Advanced Life Support,0.00104376,0.001551306,48.62667975
 Market Segmentation,0.000786715,0.001164965,48.07970739
 Fire Safety,0.003411693,0.005008234,46.79615296
 Income Statement,0.001472169,0.002147093,45.84552498
 Tape Measure,0.001869421,0.002707137,44.81152123
 Tax Returns,0.002032995,0.002933208,44.28012507
 Value Engineering,0.000755558,0.001076326,42.45452107
 User Interface,0.005966569,0.008496808,42.4069439
 Reconciliation,0.010188344,0.014501171,42.33099077
 Retail Sales,0.01461264,0.020545877,40.60345031
 CNC Machining,0.000950289,0.00133418,40.39729324
 Defensive Driving,0.000997025,0.001392916,39.7073412
 Apple IOS,0.004759234,0.006598579,38.64791148
 Strategic Thinking,0.007781465,0.010601196,36.23651663
 Relational Database Management Systems,0.001713636,0.002330647,36.00596312
 Wiring Diagram,0.000973657,0.001304607,33.99039929
 Computer Numerical Control (CNC),0.001347541,0.001804385,33.90201928
 Physical Inventory,0.004509978,0.006025411,33.60177538
 Machining,0.003349379,0.004473124,33.55084339
 Medical Science,0.001472169,0.00195858,33.0404002
 Networking Hardware,0.001542272,0.002034617,31.92333356
 Hospital Information Systems,0.00208752,0.002750514,31.75987058
 Data Modeling,0.007267374,0.009569991,31.68431226
 Return On Investment,0.001620165,0.002089658,28.97813705
 Prototyping,0.006044461,0.007774177,28.61655314
 Decision Support Systems,0.001059339,0.001357379,28.1345394
 Financial Forecasting,0.001908367,0.002442286,27.97780453
 Soldering,0.001113863,0.00142259,27.71672115
 Heavy Equipment,0.002593822,0.003296741,27.09976716
 Internet Research,0.001183967,0.001502707,26.92138818
 Rain Gutters,0.000755558,0.000953176,26.15535425
 Practice Management,0.0009425,0.001186442,25.88244366
 Chemical Engineering,0.001409855,0.001774369,25.85469686
 Long Term Acute Care,0.000319359,0.000401517,25.72563055
 Business Continuity,0.001916156,0.002408899,25.7151762
 Information Architecture,0.001176177,0.001470114,24.99086351
 Goal-Oriented,0.004704709,0.005833222,23.98687832
 Software Engineering,0.01900578,0.02335454,22.88125037
 Internal Controls,0.00813977,0.00999909,22.84241302
 Mortgage Loans,0.004104937,0.00503381,22.62820031
 IT Infrastructure,0.002103099,0.002571128,22.25429427
 3D Modeling,0.001433223,0.001744418,21.7129695
 Accounting Software,0.003925784,0.004769372,21.48840339
