,0
Skill subcat: Account Management,2234.2083333333335
Skill subcat: Accounting and Finance Software,1511.8541666666667
Skill subcat: Accounts Payable and Receivable,3137.1041666666665
Skill subcat: Administrative Support and Clerical Tasks,14344.291666666666
Skill subcat: Advertising,794.3958333333334
Skill subcat: Aerospace Engineering,93.14583333333333
Skill subcat: Agile Software Development,7313.354166666667
Skill subcat: Agricultural Management and Operations,20.020833333333332
Skill subcat: Agricultural Research and Agronomy,51.229166666666664
Skill subcat: Agriculture and Crop Farming,255.375
Skill subcat: Air Quality and Emissions,62.604166666666664
Skill subcat: Air Transportation,223.89583333333334
Skill subcat: Alternative Therapy,426.6458333333333
Skill subcat: Anesthesiology,646.1875
Skill subcat: Animal Care,203.47916666666666
Skill subcat: Animal Health and Veterinary Medicine,205.66666666666666
Skill subcat: Animation and Game Design,480.4791666666667
Skill subcat: Appliance Repair and Maintenance,307.4583333333333
Skill subcat: Application Programming Interface (API),2888.2708333333335
Skill subcat: Aquaculture,3.8333333333333335
Skill subcat: Architectural Design,778.0416666666666
Skill subcat: Art and Illustration,317.0833333333333
Skill subcat: Artificial Intelligence and Machine Learning (AI/ML),2268.25
Skill subcat: Audio Production and Technology,196.79166666666666
Skill subcat: Auditing,8103.666666666667
Skill subcat: Augmented and Virtual Reality (AR/VR),94.91666666666667
Skill subcat: Automation Engineering,1304.3541666666667
Skill subcat: Automotive Technologies,418.9375
Skill subcat: Backup Software,275.5208333333333
Skill subcat: Banking Services,2125.8958333333335
Skill subcat: Basic Electrical Systems,1768.8125
Skill subcat: Basic Technical Knowledge,11997.5
Skill subcat: Beauty and Body Treatments and Alterations,444.2291666666667
Skill subcat: Billing and Invoicing,6577.895833333333
Skill subcat: Bioinformatics,37.3125
Skill subcat: Biology,931.4583333333334
Skill subcat: Biotechnology,285.625
Skill subcat: Blockchain,85.79166666666667
Skill subcat: Blood Collection,875.2083333333334
Skill subcat: Brand Management,2182.6458333333335
Skill subcat: Budget Management,3700.4583333333335
Skill subcat: Business Analysis,6517.833333333333
Skill subcat: Business Communications,1918.9166666666667
Skill subcat: Business Consulting,3792.1458333333335
Skill subcat: Business Continuity,1069.8125
Skill subcat: Business Intelligence,3437.6458333333335
Skill subcat: Business Intelligence Software,2780.0625
Skill subcat: Business Leadership,2254.25
Skill subcat: Business Management,30116.645833333332
Skill subcat: Business Operations,29627.6875
Skill subcat: Business Solutions,4887.5625
Skill subcat: Business Strategy,9360.354166666666
Skill subcat: Business-to-Business (B2B) Sales,1852.3541666666667
Skill subcat: C and C++,1135.7291666666667
Skill subcat: Cannabis,99.875
Skill subcat: Cardiology,1070.4375
Skill subcat: Carpentry,1013.9791666666666
Skill subcat: Cash Management,741.6458333333334
Skill subcat: Cash Register Operation,6000.604166666667
Skill subcat: Chemical and Biomedical Engineering,244.4375
Skill subcat: Chemistry,1394.5625
Skill subcat: Child Care,57.8125
Skill subcat: Childhood Education and Development,2302.125
Skill subcat: Circuitry,400.4791666666667
Skill subcat: Civil and Architectural Engineering,978.4375
Skill subcat: Clean Energy,22.041666666666668
Skill subcat: Cleaning and Janitorial Services,5771.666666666667
Skill subcat: Client Support,1707.7916666666667
Skill subcat: Climate Change,7.354166666666667
Skill subcat: Clinical Informatics,420.2083333333333
Skill subcat: Clinical Trials,1330.3958333333333
Skill subcat: Cloud Computing,2573.4166666666665
Skill subcat: Cloud Solutions,5123.6875
Skill subcat: Coaching and Athletic Training,433.0833333333333
Skill subcat: Collaborative Software,1186.4166666666667
Skill subcat: Commercial Lending,194.47916666666666
Skill subcat: Communication,69699.0625
Skill subcat: Community and Social Work,2089.1875
"Skill subcat: Company, Product, and Service Knowledge",3329.8125
Skill subcat: Compensation and Benefits,944.75
Skill subcat: Computer Hardware,948.4583333333334
Skill subcat: Computer Science,15866.5625
Skill subcat: Computer-Aided Manufacturing,515.9375
Skill subcat: Concrete and Masonry,233.70833333333334
Skill subcat: Configuration Management,1210.0625
Skill subcat: Conservation,47.645833333333336
Skill subcat: Construction Estimating,253.47916666666666
Skill subcat: Construction Inspection,646.3958333333334
Skill subcat: Construction Management,1761.75
Skill subcat: Construction Painting,663.0833333333334
Skill subcat: Content Development and Management,1645.2708333333333
Skill subcat: Content Management Systems,770.8333333333334
Skill subcat: Contract Management,3160.7916666666665
Skill subcat: Cost Accounting,1369.6875
Skill subcat: Counseling Services,932.4375
Skill subcat: Creative Design,1528.125
Skill subcat: Criminal Investigation and Forensics,311.125
Skill subcat: Critical Thinking and Problem Solving,44694.791666666664
Skill subcat: Cryptocurrency,31.604166666666668
Skill subcat: Customer Relationship Management (CRM),6879.0
Skill subcat: Customer Service,38114.9375
Skill subcat: Cybersecurity,4717.9375
Skill subcat: Dance,20.729166666666668
Skill subcat: Data Analysis,11002.6875
Skill subcat: Data Collection,1452.7291666666667
Skill subcat: Data Management,4399.541666666667
Skill subcat: Data Science,5485.083333333333
Skill subcat: Data Storage,1007.0833333333334
