,0
Skill subcat: Microsoft Development Tools,2579.8333333333335
Skill subcat: Software Development,24107.125
Skill subcat: Application Programming Interface (API),6129.333333333333
Skill subcat: Basic Electrical Systems,3873.0833333333335
Skill subcat: Identity and Access Management,3420.125
Skill subcat: Interior Design,428.9791666666667
Skill subcat: Animation and Game Design,960.125
Skill subcat: Digital Design,966.3125
Skill subcat: Drafting and Engineering Design,6286.0625
Skill subcat: Photo/Video Production and Technology,2175.8125
Skill subcat: People Management,24228.291666666668
Skill subcat: Art and Illustration,776.5208333333334
Skill subcat: Graphic and Visual Design Software,3439.125
Skill subcat: Oncology,2552.25
Skill subcat: Graphic and Visual Design,3013.7708333333335
Skill subcat: Artificial Intelligence and Machine Learning (AI/ML),4487.9375
Skill subcat: Wireless Technologies,1130.6875
Skill subcat: Health Information Management and Medical Records,11312.958333333334
Skill subcat: Medical Billing and Coding,2621.5416666666665
Skill subcat: Financial Regulation,2146.2708333333335
Skill subcat: System Design and Implementation,12631.125
Skill subcat: Compensation and Benefits,2562.375
Skill subcat: Mental and Behavioral Health Specialties,8086.208333333333
Skill subcat: Financial Advisement,523.4583333333334
Skill subcat: Networking Hardware,1911.875
Skill subcat: Telecommunications,5467.354166666667
Skill subcat: Lean Manufacturing,3550.1875
Skill subcat: Computer Hardware,2391.4583333333335
Skill subcat: Network Protocols,3722.2291666666665
Skill subcat: Web Analytics and SEO,2893.0416666666665
Skill subcat: Network Security,3521.8333333333335
Skill subcat: Mental Health Therapies,3212.2708333333335
Skill subcat: Machinery,14052.270833333334
Skill subcat: Electrical Power,1349.9583333333333
Skill subcat: Insurance and Warranty Claims Processing,1285.2291666666667
Skill subcat: Databases,9957.625
Skill subcat: Instructional and Curriculum Design,4114.9375
Skill subcat: Special Education,1720.125
Skill subcat: Payroll,1923.5208333333333
Skill subcat: Human Resources Software,3556.375
Skill subcat: Accounting and Finance Software,3937.8958333333335
Skill subcat: Safety and Surveillance Technology,1892.5833333333333
Skill subcat: Engineering Software,2435.3958333333335
Skill subcat: Networking Software,667.4791666666666
Skill subcat: Simulation and Simulation Software,575.7083333333334
Skill subcat: Construction Inspection,1857.25
Skill subcat: Laboratory Research,4673.125
Skill subcat: Other Programming Languages,6081.541666666667
Skill subcat: Software Development Tools,7507.375
Skill subcat: Scripting Languages,11833.229166666666
Skill subcat: Nuclear Energy,128.54166666666666
Skill subcat: Telecommunications Equipment and Installation,353.9791666666667
Skill subcat: Natural Language Processing (NLP),405.2291666666667
Skill subcat: Writing and Editing,19145.375
