,covid volatility index,average monthly observations
Skill: Classroom Performance Systems,0.8107623239967585,3.395833333333333
Skill: Diversification (Investing),0.8083045083274797,19.75
Skill: Virtual Learning Environments,0.7735074506683628,18.125
Skill: Contact Tracing,0.7619893819536371,20.75
Skill: Infection,0.7587217199742773,67.60416666666667
Skill: General Security,0.7527712495113494,55.208333333333336
Skill: Retinopathy,0.7508675170162288,8.270833333333334
Skill: Entity Framework (EF) Core,0.749623683720292,5.791666666666667
Skill: CEramic REConstruction (CEREC),0.7360361167838686,4.104166666666667
Skill: Virtual Event,0.7329204193427368,15.1875
Skill: Universal Precautions,0.7172735155741181,21.125
Skill: Pallet Building,0.709092293279817,52.645833333333336
Skill: Oral Hygiene,0.7058687241708909,183.39583333333331
Skill: Mortgage Underwriting,0.7023594893817664,21.39583333333333
Skill: Loan-To-Value Ratios,0.6965687713660376,18.52083333333333
Skill: Medical Assistance,0.6907053734528407,669.4791666666666
Skill: Synapse Citrix,0.6883755977947784,25.916666666666668
Skill: Infection Control,0.6847556518673487,683.2083333333334
Skill: Virtual Sales,0.6783807181991375,12.25
Skill: Home Health Care,0.6758591333142027,1049.0
Skill: Shower And Tub Installation,0.6725617183761851,2.75
Skill: Randomized Clinical Trials,0.6724890930106548,0.4166666666666667
Skill: Forklift Operation,0.6724261342233322,650.875
Skill: Microsoft Mobile Device Management,0.6716232848849908,0.625
Skill: Specimen Labeling,0.6715773594374909,42.47916666666666
Skill: Caregiving,0.6699651915199544,1103.0208333333333
Skill: Loading And Unloading,0.6696620289007937,2579.9791666666665
Skill: Toileting,0.6692054894687012,332.8125
Skill: Pallet Jacks,0.6654804455925307,1046.1666666666667
Skill: Retina,0.6653585014896073,17.9375
Skill: Mortgage Loan Processing,0.6648304555228579,41.60416666666666
Skill: Vaccine Trials,0.6647948477268131,0.9375
Skill: Forklift Truck,0.6636538883816828,1843.3333333333333
Skill: Certified Nursing Assistant,0.6597663641602163,1095.1875
Skill: Plastic Materials,0.6585280879065469,89.79166666666667
Skill: Cyber Threat Hunting,0.6585166838569241,20.20833333333333
Skill: Patient Flow,0.6580974866168006,260.8125
Skill: Companionship,0.6572770309024512,449.625
Skill: Specimen Handling,0.6567792862834398,34.479166666666664
Skill: Return-to-Work Management,0.6563507325366162,6.541666666666667
Skill: Molding (Manufacturing Process),0.6553924364670136,142.33333333333334
Skill: Contact Lenses,0.6511209950509876,40.875
Skill: Analytics,0.6498031386369933,1158.9583333333333
Skill: Encompass (Mortgage Software),0.649326285867005,45.5
Skill: Doubles Endorsement,0.6492916328180477,44.75
Skill: Dental Antibiotic Prophylaxis,0.6476577502550069,10.291666666666666
Skill: Viruses,0.6467096675823157,28.89583333333333
Skill: Direct Endorsement Designation,0.6430925049050656,11.229166666666666
