,July 2023 actual,July 2025 weighted predicted,Percentage Point change,Percentage change,Model Variance,Mean Salary,Most common occ,2nd most common occ,3rd most common occ,4th most common occ,5th most common occ,Most common ind,2nd most common ind,3rd most common ind,4th most common ind,5th most common ind,Monthly average obs,Prediction std dev,Number of Models,Average RMSE
Arithmetic,0.0364392108225081,0.043738194372254124,0.0072989835497460215,20.030575264921815,High,39379.29127814779,53-7000,41-2000,43-4000,51-9000,35-3000,Unclassified Industry,General Merchandise Stores,Food and Beverage Stores,Motor Vehicle and Parts Dealers,Accommodation,236.27777777777777,0.01624258958502454,31.0,0.20583002872781408
Auditing,0.104310919185351,0.10873568633285016,0.004424767147499162,4.241902172903638,Medium,68859.41998154458,13-2000,11-3000,15-1200,11-9000,13-1000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,674.7638888888889,0.018217958432229234,30.0,0.09587591205513867
Automation,0.042223339089279,0.051201899029538395,0.008978559940259395,21.264447895214325,High,97449.89165281013,15-1200,17-2000,13-1000,13-2000,99-9000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,255.98611111111111,0.016864243094295836,32.0,0.12818351762209587
Blueprinting,0.0903671754629583,0.1073957704465085,0.017028594983550194,18.843783593225453,Medium,55873.25793319415,49-9000,17-3000,51-9000,51-4000,51-2000,Administrative and Support Services,Unclassified Industry,"Professional, Scientific, and Technical Services",Fabricated Metal Product Manufacturing,Machinery Manufacturing,479.4166666666667,0.02314955482706811,30.0,0.06120969814762004
CNC Machining,0.0318217206311358,0.027266114716374832,-0.004555605914760969,-14.316026363148824,Medium,52262.6547008547,51-9000,51-4000,17-2000,17-3000,49-9000,Administrative and Support Services,Unclassified Industry,Fabricated Metal Product Manufacturing,Machinery Manufacturing,"Professional, Scientific, and Technical Services",210.80555555555557,0.005091654458155504,18.0,0.11189348643618315
Calipers,0.0762646522193859,0.07369394213999184,-0.0025707100793940646,-3.37077532589942,Low,44051.97138895891,51-9000,51-4000,17-3000,49-9000,51-2000,Administrative and Support Services,Unclassified Industry,Fabricated Metal Product Manufacturing,"Professional, Scientific, and Technical Services",Machinery Manufacturing,474.56944444444446,0.004002323877668385,30.0,0.18971890786105514
Coaching,0.0631415604748378,0.0959968675692693,0.032855307094431505,52.03436032836804,High,70655.96701646132,11-9000,41-1000,11-3000,15-1200,11-2000,Unclassified Industry,"Professional, Scientific, and Technical Services",Credit Intermediation and Related Activities,Administrative and Support Services,Educational Services,366.3888888888889,0.08356763490963422,26.0,0.12838301524521692
Communications,0.3361312438279531,0.3631949650267674,0.027063721198814283,8.051533945671142,High,59723.06652249859,15-1200,11-9000,13-1000,99-9000,41-4000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Ambulatory Health Care Services,2125.1111111111118,0.11051117346625366,27.0,0.13257001487727557
Computer Literacy,0.1059265709205549,0.10056671137001699,-0.0053598595505379015,-5.059976457236405,Low,48057.5076519774,11-9000,43-4000,29-1000,29-2000,99-9000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Hospitals,Ambulatory Health Care Services,756.7083333333334,0.006765884359713294,10.0,0.07717001699896914
Computer Numerical Control (CNC),0.0463657110685973,0.045752815779002774,-0.0006128952895945242,-1.3218718649386305,Medium,52208.461548002975,51-9000,51-4000,17-2000,17-3000,49-9000,Administrative and Support Services,Unclassified Industry,Fabricated Metal Product Manufacturing,Machinery Manufacturing,"Professional, Scientific, and Technical Services",300.34722222222223,0.01061432877058913,32.0,0.10494461037978908
Continuous Improvement Process,0.0636196983299902,0.0634302782307191,-0.00018942009927110093,-0.2977381286666816,Medium,90219.22164607236,11-3000,15-1200,11-9000,17-2000,13-1000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Chemical Manufacturing,Computer and Electronic Product Manufacturing,410.4861111111111,0.01130555163835081,32.0,0.11320410049459789
Coordinating,0.0846914569970415,0.078550516401529,-0.006140940595512498,-7.250956369456506,High,70309.27493652521,11-9000,13-1000,29-1000,15-1200,11-3000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Hospitals,492.1388888888889,0.020581984595488354,30.0,0.17302282150474552
Customer Service,0.1454646939692377,0.14268202637918564,-0.0027826675900520514,-1.9129504996178104,Low,46959.829871999726,43-4000,41-2000,11-9000,41-1000,41-4000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Food Services and Drinking Places,Ambulatory Health Care Services,1001.3333333333334,0.007089041177768356,18.0,0.04523547049399161
Decision Making,0.0499290741512006,0.08172041691246444,0.031791342761263844,63.673006763533955,High,72143.83615499122,11-9000,15-1200,29-1000,13-1000,11-3000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Hospitals,Insurance Carriers and Related Activities,275.0833333333333,0.08798223544385268,22.0,0.1687471798933562
Detail Oriented,0.1185386689016564,0.11211381006639264,-0.0064248588352637664,-5.420053131011655,Medium,50619.4088918623,13-1000,15-1200,99-9000,11-9000,43-4000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Ambulatory Health Care Services,Educational Services,889.6388888888889,0.014975450131166178,30.0,0.03178980301057799
Electrical Wiring,0.0374968515181163,0.03902324476923854,0.001526393251122242,4.070723778994558,Medium,55074.09247211896,49-9000,17-3000,47-2000,17-2000,51-2000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Computer and Electronic Product Manufacturing,Machinery Manufacturing,225.41666666666663,0.00849798226679499,18.0,0.2021495694129814
English Language,0.0859128571843062,0.08344296894473652,-0.002469888239569687,-2.8748761483640473,Medium,44822.64599550315,53-7000,43-4000,99-9000,11-9000,25-2000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Nonstore Retailers,Health and Personal Care Stores,626.9861111111111,0.011950022537368406,33.0,0.07555319317978669
Fabrication,0.0372740160500247,0.07738350701676393,0.04010949096673923,107.6071086971393,High,56120.30049668874,49-9000,17-3000,17-2000,51-4000,51-9000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Fabricated Metal Product Manufacturing,"Merchant Wholesalers, Durable Goods",210.54166666666663,0.09170891261956203,26.0,0.17828183945822537
Food Safety And Sanitation,0.0600951988537641,0.05529871165971133,-0.004796487194052769,-7.981481525212289,Medium,38043.069797231,35-3000,35-2000,11-9000,35-1000,53-7000,Food Services and Drinking Places,Unclassified Industry,Food and Beverage Stores,Administrative and Support Services,Food Manufacturing,394.09722222222223,0.005731192036087269,21.0,0.12665391130895817
