,July 2023 actual,July 2025 weighted predicted,Percentage Point change,Percentage change,Model Variance,Mean Salary,Most common occ,2nd most common occ,3rd most common occ,4th most common occ,5th most common occ,Most common ind,2nd most common ind,3rd most common ind,4th most common ind,5th most common ind,Monthly average obs,Prediction std dev,Number of Models,Average RMSE
Architecture and Construction,0.411560399695614,0.3656266388880007,-0.0459337608076133,-11.160879628260021,Medium,54265.61869496211,53-7000,49-9000,11-9000,47-2000,13-1000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Specialty Trade Contractors,Construction of Buildings,343.125,0.056745282463476106,27.0,0.15090244249552395
Business,0.4011012198261213,0.39958441407900236,-0.0015168057471189322,-0.3781603426128877,High,73672.41533484089,15-1200,13-1000,11-9000,11-2000,11-3000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,365.55555555555554,0.10854661275546665,23.0,0.1696859731080614
Customer and Client Support,0.2189693897177798,0.19159573371798116,-0.02737365599979863,-12.50113362195481,High,45388.9319965193,43-4000,41-2000,41-4000,41-1000,11-9000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Food Services and Drinking Places,General Merchandise Stores,220.08333333333331,0.09376694813946156,25.0,0.0854009924124073
Engineering,0.4161119574795951,0.44636370165904715,0.030251744179452034,7.270097298498203,High,69192.14329997853,17-2000,15-1200,17-3000,49-9000,11-9000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Computer and Electronic Product Manufacturing,Machinery Manufacturing,322.0833333333333,0.1544116728221297,25.0,0.09971072253925653
Information Technology,0.2722966934073724,0.2987014972465043,0.026404803839131907,9.69707105463404,High,96553.37672018258,15-1200,13-1000,99-9000,11-9000,15-2000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,244.91666666666663,0.09789487380751584,24.0,0.060044116860432144
"Law, Regulation, and Compliance",0.5323861343311254,0.5026106996029028,-0.029775434728222527,-5.592826861584502,Medium,55585.60643210358,11-9000,15-1200,13-1000,11-3000,13-2000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Food Services and Drinking Places,Ambulatory Health Care Services,449.1666666666667,0.09267267605807963,20.0,0.11169894544485576
"Maintenance, Repair, and Facility Services",0.6376576056709441,0.6400859400364469,0.0024283343655028267,0.38082104626474744,High,46385.46776038221,49-9000,49-3000,37-2000,17-3000,53-7000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Real Estate,Motor Vehicle and Parts Dealers,559.875,0.2144946497341655,23.0,0.14449161153692888
Manufacturing and Production,0.3690930641326397,0.36988970757663603,0.0007966434439963255,0.2158380965159612,Medium,53296.38250923692,51-9000,15-1200,17-2000,49-9000,51-4000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Computer and Electronic Product Manufacturing,Food Manufacturing,344.3888888888889,0.07899160896850356,26.0,0.13158817362666164
Media and Communications,0.4734100220285132,0.43536231864496583,-0.03804770338354735,-8.036945060967838,Low,56258.748334609874,15-1200,13-1000,11-9000,99-9000,11-2000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Insurance Carriers and Related Activities,377.09722222222223,0.037469032582660634,13.0,0.07127059386301189
Physical and Inherent Abilities,0.6276134014754307,0.5994329203306527,-0.028180481144778002,-4.490101880955643,Low,55895.16663692128,15-1200,11-9000,13-1000,99-9000,11-2000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Insurance Carriers and Related Activities,515.7638888888889,0.012964315374135163,25.0,0.15557281332865147
