,July 2023 actual,July 2025 weighted predicted,Percentage Point change,Percentage change,Model Variance,Mean Salary,Most common occ,2nd most common occ,3rd most common occ,4th most common occ,5th most common occ,Most common ind,2nd most common ind,3rd most common ind,4th most common ind,5th most common ind,Monthly average obs,Prediction std dev,Number of Models,Average RMSE
Administrative Support and Clerical Tasks,0.0653321874970681,0.08390584213244591,0.018573654635377815,28.429561823888633,Medium,44410.32071448647,43-6000,43-4000,43-9000,99-9000,29-2000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Ambulatory Health Care Services,Educational Services,462.875,0.014656289864199807,13.0,0.12051246876019509
Agile Software Development,0.175883329372372,0.17690125281615865,0.0010179234437866502,0.5787492466847441,High,116728.60424053326,15-1200,13-1000,11-2000,11-9000,99-9000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,1639.0277777777778,0.05349770524719105,21.0,0.02032428971948118
Application Programming Interface (API),0.0650274602386055,0.052341288362239384,-0.012686171876366122,-19.508945651293626,High,120281.6822983698,15-1200,13-1000,11-9000,99-9000,11-2000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,628.9305555555555,0.019666092102890484,14.0,0.0858191212137012
Architectural Design,0.0258851125682137,0.025816436637041914,-6.867593117178619e-05,-0.26531053705410035,Medium,85826.12034106892,15-1200,17-2000,17-1000,11-9000,17-3000,"Professional, Scientific, and Technical Services",Administrative and Support Services,Unclassified Industry,Credit Intermediation and Related Activities,Real Estate,217.5,0.003444073868662372,16.0,0.23239972356695404
Artificial Intelligence and Machine Learning (AI/ML),0.028536772058395,0.02595311286416724,-0.0025836591942277574,-9.05378922654881,High,88084.79243249715,15-1200,15-2000,99-9000,13-2000,11-9000,Administrative and Support Services,"Professional, Scientific, and Technical Services",Unclassified Industry,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,237.31944444444449,0.006881518713510824,27.0,0.03779730693808119
Auditing,0.1192202415558506,0.14972178831418353,0.03050154675833293,25.584201441199056,Medium,68294.44356490234,13-2000,11-3000,15-1200,11-9000,13-1000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,882.2777777777778,0.031219323491078265,10.0,0.09208900082285677
Backup Software,0.0310115011534306,0.027249539132255696,-0.0037619620211749027,-12.130860749250578,Low,73061.82249560632,15-1200,41-1000,43-9000,99-9000,11-9000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,General Merchandise Stores,Educational Services,268.0,0.0025237619491974826,24.0,0.2962183733256565
Basic Technical Knowledge,0.0889157907607938,0.0936459377813511,0.004730147020557296,5.319805379994427,Low,45842.807952922056,43-4000,11-9000,99-9000,43-6000,29-2000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Hospitals,Ambulatory Health Care Services,738.2638888888889,0.005973156484957672,17.0,0.07285155539795751
Billing and Invoicing,0.0364173091897922,0.04026087190906261,0.003843562719270409,10.554219421427662,High,50159.78436447887,43-3000,43-4000,11-9000,13-1000,13-2000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Ambulatory Health Care Services,Hospitals,274.375,0.038608695749579154,12.0,0.2807810535861012
Budget Management,0.0439311409784219,0.06873241743398824,0.02480127645556634,56.45488804342285,High,82612.25612415781,11-9000,11-3000,13-2000,13-1000,11-2000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Real Estate,334.6666666666667,0.037749345853877785,13.0,0.0598791965544684
Business Analysis,0.1609802850669172,0.16008604349337008,-0.0008942415735471165,-0.5554975711313924,Low,94109.79303633218,15-1200,13-1000,11-9000,11-3000,11-2000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Insurance Carriers and Related Activities,Credit Intermediation and Related Activities,1376.1805555555557,0.0068416857587278055,16.0,0.05169966464336206
Business Communications,0.0405341542219048,0.0510439385988589,0.010509784376954094,25.928219247941207,High,66729.78085336214,15-1200,13-1000,11-2000,11-9000,99-9000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Insurance Carriers and Related Activities,Educational Services,346.84722222222223,0.014397377461669912,13.0,0.13324322697662103
