,July 2023 actual,July 2025 weighted predicted,Percentage Point change,Percentage change,Model Variance,Mean Salary,Most common occ,2nd most common occ,3rd most common occ,4th most common occ,5th most common occ,Most common ind,2nd most common ind,3rd most common ind,4th most common ind,5th most common ind,Monthly average obs,Prediction std dev,Number of Models,Average RMSE
Accountability,0.0357952900762409,0.038907872886466265,0.0031125828102253617,8.695509391307702,High,72167.4399266149,11-9000,29-1000,15-1200,41-1000,13-1000,Unclassified Industry,"Professional, Scientific, and Technical Services",Hospitals,Administrative and Support Services,General Merchandise Stores,374.44444444444446,0.04421039890601514,28.0,0.08050004586955409
Accounting,0.0559892818852954,0.05695766344015918,0.0009683815548637772,1.7295838100722376,High,69565.45384831692,13-2000,11-3000,43-3000,99-9000,11-9000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Real Estate,Insurance Carriers and Related Activities,403.06944444444446,0.04202109042796503,26.0,0.2185598551218866
Administrative Functions,0.03125964265356,0.04844451872979836,0.017184876076238358,54.974640198842,High,47667.69638245422,43-6000,11-9000,43-4000,99-9000,13-1000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Ambulatory Health Care Services,218.97222222222223,0.01632280536361478,26.0,0.17027365034673597
Arithmetic,0.0383064986029102,0.0328812619190594,-0.005425236683850802,-14.162705759379007,Medium,39379.29127814779,53-7000,41-2000,43-4000,51-9000,35-3000,Unclassified Industry,General Merchandise Stores,Food and Beverage Stores,Motor Vehicle and Parts Dealers,Accommodation,256.80555555555554,0.00626597971998833,20.0,0.07776425081124093
Auditing,0.0636783214868918,0.04921543426700127,-0.01446288721989053,-22.712419049656827,Medium,68859.41998154458,13-2000,11-3000,15-1200,11-9000,13-1000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,487.31944444444446,0.011856257461496869,18.0,0.05869632988582148
Baking,0.0247215738283542,0.023701862763926173,-0.0010197110644280284,-4.124782149826074,High,36198.00694117647,51-3000,35-2000,35-3000,99-9000,35-1000,Unclassified Industry,Food Services and Drinking Places,Food and Beverage Stores,Food Manufacturing,Administrative and Support Services,252.19444444444449,0.009677302349765281,34.0,0.062147051674039895
Balancing (Ledger/Billing),0.0282341674976829,0.030189296281001574,0.0019551287833186742,6.924690743862472,High,53812.09953823954,41-2000,11-9000,15-1200,43-4000,43-3000,Unclassified Industry,Credit Intermediation and Related Activities,"Professional, Scientific, and Technical Services",Food Services and Drinking Places,Administrative and Support Services,209.33333333333331,0.012340118732080482,22.0,0.08069784325301078
Budgeting,0.038669167666831,0.0318350705984567,-0.006834097068374297,-17.673245846034426,High,87317.76058579037,11-9000,13-2000,11-3000,13-1000,11-2000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Real Estate,281.2083333333333,0.012403496036794255,26.0,0.06491826862230748
Cash Handling,0.0882037593943047,0.09351272352255036,0.0053089641282456496,6.018977155511637,High,32846.50824359295,41-2000,35-3000,41-1000,43-4000,35-1000,Food Services and Drinking Places,Unclassified Industry,General Merchandise Stores,Credit Intermediation and Related Activities,Health and Personal Care Stores,705.375,0.026768921455411987,32.0,0.0941893057602787
Cash Register,0.0212787946468491,0.016064084761285322,-0.0052147098855637765,-24.506603743816644,High,31907.128007850835,41-2000,41-1000,43-4000,35-3000,29-2000,General Merchandise Stores,Health and Personal Care Stores,Unclassified Industry,Food Services and Drinking Places,Food and Beverage Stores,255.43055555555557,0.011446844637295152,22.0,0.05068524856406902
