,July 2022 actual,July 2024 predicted,Percent change,Monthly average obs,model,Normalized RMSE
PTC Windchill,0.0002089779047453,0.0001603544194977,-23.26728526963737,50.770833333333336,predicted job posting shares 16_48_14_17_04_2023 ARIMA for presentation lvl skill,0.0997005166688075
Strong Academic Record,0.0004750228165115,0.000466454678775,-1.803731829014689,159.10416666666666,predicted job posting shares 16_43_47_17_04_2023 VAR for presentation lvl skill,0.0191495796614939
Valves (Piping),0.0025253312456745,0.0037366452184887,47.96653804878044,743.125,predicted job posting shares 16_43_47_17_04_2023 VAR for presentation lvl skill,0.0652484654441009
Solid-State Drives,0.0002988123203439,0.0001954392649982,-34.59464296074841,56.395833333333336,predicted job posting shares 16_48_14_17_04_2023 ARIMA for presentation lvl skill,0.1488191283241001
Blogs,0.0018512994421119,0.0016477520570924,-10.99483856524583,549.4791666666666,predicted job posting shares 16_43_47_17_04_2023 VAR for presentation lvl skill,0.0211518535845723
Ecology,0.0004881053583225,0.0002593273242468,-46.87062540389943,96.3125,predicted job posting shares 16_43_47_17_04_2023 VAR for presentation lvl skill,0.0240987876978215
Microsoft Teams,0.0036288943655563,0.0021171798300874,-41.65771673646274,733.1875,predicted job posting shares 16_48_14_17_04_2023 ARIMA for presentation lvl skill,0.0078635369313107
Risk Awareness,0.0002859258627574,0.0006428986087399,124.84800869006428,183.77083333333331,predicted job posting shares 16_48_14_17_04_2023 ARIMA for presentation lvl skill,0.0495286813147012
Orthopedics,0.0025787993941506,0.0027234044432308,5.607456299555634,877.8541666666666,predicted job posting shares 16_48_14_17_04_2023 ARIMA for presentation lvl skill,0.0235132173194719
Hydraulics,0.0040147271284803,0.0035971069842773,-10.402204952870171,1185.625,predicted job posting shares 16_48_14_17_04_2023 ARIMA for presentation lvl skill,0.2033120619110639
Financial Sales,0.0003234687482367,0.0003931472479546,21.541029882402228,118.375,predicted job posting shares 16_48_14_17_04_2023 ARIMA for presentation lvl skill,0.0571154610842636
Raiser's Edge NXT,0.0005960345781143,0.0001064071683026,-82.14748402026525,186.25,predicted job posting shares 16_43_47_17_04_2023 VAR for presentation lvl skill,0.0207928180342265
Inventory Forecasting,0.0002246974386045,0.0002180376038226,-2.963912193775501,63.270833333333336,predicted job posting shares 16_43_47_17_04_2023 VAR for presentation lvl skill,0.1002132962319892
