,July 2023 actual,July 2025 weighted predicted,Percentage Point change,Percentage change,Model Variance,Mean Salary,Most common occ,2nd most common occ,3rd most common occ,4th most common occ,5th most common occ,Most common ind,2nd most common ind,3rd most common ind,4th most common ind,5th most common ind,Monthly average obs,Prediction std dev,Number of Models,Average RMSE
Automation Engineering,0.216823837586485,0.36690963072864,0.15008579314215503,69.22015347241974,High,74134.08860618649,17-2000,15-1200,49-9000,17-3000,11-9000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Machinery Manufacturing,Real Estate,312.25,0.20903515630560848,17.0,0.06339303775119115
Basic Electrical Systems,0.2624053431360292,0.27523258608439777,0.012827242948368567,4.8883314627168275,High,55478.38780120482,49-9000,17-3000,47-2000,17-2000,49-3000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services","Merchant Wholesalers, Nondurable Goods",Utilities,411.7638888888889,0.08798264982258133,22.0,0.08342738196400777
Basic Technical Knowledge,0.1504043366261838,0.1508193880663262,0.00041505144014239437,0.27595709635285764,Low,45842.807952922056,43-4000,11-9000,99-9000,43-6000,29-2000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Hospitals,Ambulatory Health Care Services,263.2083333333333,0.0,5.0,0.04768674614525509
Business Management,0.2180707250084914,0.35077960458504553,0.13270887957655414,60.85588956123599,High,65654.77461368566,15-1200,11-9000,13-1000,11-3000,11-2000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,332.59722222222223,0.09670509034543234,17.0,0.08854340181179941
Business Operations,0.3295449812618833,0.397733147485707,0.06818816622382368,20.691611191504023,High,63133.79024481096,15-1200,11-9000,13-1000,11-3000,99-9000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Credit Intermediation and Related Activities,Food Services and Drinking Places,507.8611111111111,0.11482332807953796,29.0,0.04734257792029662
Communication,0.3958386092319019,0.37331487352018483,-0.022523735711717063,-5.690131075243735,High,57385.66709576459,15-1200,13-1000,11-9000,41-4000,99-9000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Insurance Carriers and Related Activities,660.8055555555555,0.09980101136047086,25.0,0.12518458837007576
Computer Science,0.1586432909445692,0.19073480638307594,0.032091515438506746,20.228725241031274,High,94892.53697004564,15-1200,13-1000,99-9000,15-2000,11-9000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,278.4166666666667,0.07632013006269438,26.0,0.1392586112536289
Critical Thinking and Problem Solving,0.6108076643719849,0.587876906888003,-0.02293075748398188,-3.754169900202322,Medium,63615.96770882311,15-1200,13-1000,11-9000,99-9000,11-2000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Insurance Carriers and Related Activities,Credit Intermediation and Related Activities,996.8472222222222,0.07599766064681363,13.0,0.11209424354686526
Customer Service,0.1361128472052749,0.13834437296257285,0.0022315257572979585,1.6394674001143652,Low,45914.83154164073,43-4000,41-2000,41-4000,11-9000,15-1200,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Food Services and Drinking Places,Credit Intermediation and Related Activities,250.33333333333331,0.010285455680922928,13.0,0.08554913779684453
Drafting and Engineering Design,0.277404427982779,0.4383157343212375,0.16091130633845852,58.00603382886439,High,61736.34766950509,17-2000,17-3000,15-1200,49-9000,27-1000,"Professional, Scientific, and Technical Services",Administrative and Support Services,Unclassified Industry,Computer and Electronic Product Manufacturing,Machinery Manufacturing,397.69444444444446,0.18162485320547775,22.0,0.050511308876415494
Electrical and Computer Engineering,0.1740501184346755,0.21783250715415903,0.043782388719483534,25.15504678378943,High,82960.92803733064,15-1200,17-2000,17-3000,49-9000,99-9000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Computer and Electronic Product Manufacturing,Machinery Manufacturing,262.40277777777777,0.13182421058113283,24.0,0.08257282247251015
"Engineering, Scientific, and Technical Instruments",0.151714671596131,0.1452806014567787,-0.006434070139352294,-4.240901734592935,Medium,48597.18252487562,51-9000,17-3000,51-4000,49-9000,17-2000,Administrative and Support Services,Unclassified Industry,"Professional, Scientific, and Technical Services",Fabricated Metal Product Manufacturing,Computer and Electronic Product Manufacturing,252.70833333333331,0.02089599609419578,23.0,0.12593726003384553
Equipment Repair and Maintenance,0.3078522019483446,0.34371792982505944,0.035865727876714826,11.650307403918728,High,53515.576590890574,49-9000,17-3000,49-3000,49-1000,11-9000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Real Estate,"Merchant Wholesalers, Nondurable Goods",502.05555555555554,0.09887640019948324,13.0,0.11662496521674741
General Repairs and Maintenance,0.160672711884166,0.15593727312267666,-0.0047354387614893245,-2.9472576307190557,Medium,58067.14327757125,49-9000,49-3000,17-3000,15-1200,49-1000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Machinery Manufacturing,"Merchant Wholesalers, Nondurable Goods",279.4583333333333,0.016512969640434073,27.0,0.1854725429912913
General Shipping and Receiving,0.1488399349031559,0.16288315034127773,0.014043215438121842,9.435112590756772,High,39588.28751661334,53-7000,43-5000,51-9000,99-9000,43-4000,Unclassified Industry,Administrative and Support Services,Nonstore Retailers,"Professional, Scientific, and Technical Services","Merchant Wholesalers, Nondurable Goods",234.13888888888889,0.07758354320810042,24.0,0.08406992138233223
Hand Tools,0.1247079119263575,0.1279935468508411,0.0032856349244836103,2.634664371915587,Medium,41149.78760490639,49-9000,51-2000,53-7000,51-9000,47-2000,Administrative and Support Services,Unclassified Industry,"Professional, Scientific, and Technical Services",Repair and Maintenance,"Merchant Wholesalers, Durable Goods",206.94444444444449,0.025373064536250642,27.0,0.09695463010144416
Initiative and Leadership,0.3554380854986971,0.3397738988015291,-0.015664186697168014,-4.407008516037439,Medium,63962.55268980127,11-9000,15-1200,13-1000,11-2000,11-3000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Insurance Carriers and Related Activities,591.8055555555555,0.05201009797364723,22.0,0.2102821514853705
