,July 2023 actual,July 2025 weighted predicted,Percentage Point change,Percentage change,Model Variance,Mean Salary,Most common occ,2nd most common occ,3rd most common occ,4th most common occ,5th most common occ,Most common ind,2nd most common ind,3rd most common ind,4th most common ind,5th most common ind,Monthly average obs,Prediction std dev,Number of Models,Average RMSE
Administrative Support and Clerical Tasks,0.0694924484129946,0.2771050045296549,0.20761255611666032,298.7555638892099,High,44410.32071448647,43-6000,43-4000,43-9000,99-9000,29-2000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Ambulatory Health Care Services,Educational Services,529.5694444444445,0.28382521489931656,26.0,0.13634033443585733
Auditing,0.0653973572247224,0.07728417476024188,0.011886817535519484,18.176296474295246,High,68294.44356490234,13-2000,11-3000,15-1200,11-9000,13-1000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,500.1666666666667,0.0746036167206784,15.0,0.1049663956262331
Basic Technical Knowledge,0.0856103985749224,0.08933902934360854,0.003728630768686139,4.355347984302407,Medium,45842.807952922056,43-4000,11-9000,99-9000,43-6000,29-2000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Hospitals,Ambulatory Health Care Services,835.4027777777778,0.010427305900367804,15.0,0.07027632915270264
Billing and Invoicing,0.0382602345460514,0.030686428886548413,-0.00757380565950299,-19.79550243056373,High,50159.78436447887,43-3000,43-4000,11-9000,13-1000,13-2000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Ambulatory Health Care Services,Hospitals,309.80555555555554,0.013095244268774625,29.0,0.05443291438076054
Budget Management,0.0475938180246751,0.03590448295857303,-0.01168933506610207,-24.560616380979802,Medium,82612.25612415781,11-9000,11-3000,13-2000,13-1000,11-2000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Real Estate,347.69444444444446,0.008848300056603326,26.0,0.11067623492689471
Business Management,0.3771920399288631,0.3605464084381232,-0.016645631490739887,-4.413038910863333,Medium,65654.77461368566,15-1200,11-9000,13-1000,11-3000,11-2000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,2933.3611111111118,0.06784267507233536,23.0,0.0554502721550338
Business Operations,0.3544725872857365,0.32397313188360427,-0.030499455402132225,-8.604178855034267,High,63133.79024481096,15-1200,11-9000,13-1000,11-3000,99-9000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Credit Intermediation and Related Activities,Food Services and Drinking Places,2603.972222222222,0.10547010448695505,22.0,0.07277103413829378
Business Strategy,0.0353588737797524,0.03232044565168085,-0.003038428128071549,-8.593113420403816,High,87755.66668718959,11-2000,13-1000,15-1200,11-9000,41-4000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Insurance Carriers and Related Activities,Credit Intermediation and Related Activities,251.47222222222223,0.010437059254176706,27.0,0.08077382479787311
Cash Management,0.0339727953770139,0.028285591811823645,-0.005687203565190254,-16.74046395675239,High,58138.74484779732,13-2000,11-3000,41-1000,11-9000,41-2000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Credit Intermediation and Related Activities,Food Services and Drinking Places,201.02777777777777,0.022624595778071636,29.0,0.14874837496146753
Cash Register Operation,0.1267073812141523,0.12736749530657646,0.0006601140924241689,0.5209752471393031,Medium,32217.63996099712,41-2000,43-4000,35-3000,41-1000,99-9000,Unclassified Industry,General Merchandise Stores,Food Services and Drinking Places,Food and Beverage Stores,Administrative and Support Services,1071.375,0.018791083255400503,28.0,0.19934528713824998
