,July 2023 actual,July 2025 weighted predicted,Percentage Point change,Percentage change,Model Variance,Mean Salary,Most common occ,2nd most common occ,3rd most common occ,4th most common occ,5th most common occ,Most common ind,2nd most common ind,3rd most common ind,4th most common ind,5th most common ind,Monthly average obs,Prediction std dev,Number of Models,Average RMSE
Ability To Meet Deadlines,0.0476214920073223,0.048286055244432774,0.000664563237110477,1.3955111633383799,Low,62681.91914375716,13-1000,15-1200,11-9000,99-9000,13-2000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Insurance Carriers and Related Activities,1485.013888888889,0.0043347604586610475,26.0,0.05987554954165275
Account Management,0.0511028060312994,0.04307455915280586,-0.008028246878493545,-15.70999227239383,High,77266.3046538025,41-4000,11-2000,13-1000,15-1200,11-9000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Insurance Carriers and Related Activities,Publishing Industries (except Internet),1742.388888888889,0.0116811167986848,30.0,0.15237701535461945
Account Planning,0.0069827634035982,0.006613867747455913,-0.00036889565614228736,-5.282946518740652,High,144178.77668539327,41-4000,11-2000,15-1200,11-9000,13-1000,"Professional, Scientific, and Technical Services",Unclassified Industry,Publishing Industries (except Internet),Computer and Electronic Product Manufacturing,Administrative and Support Services,225.68055555555557,0.0020313518055103735,21.0,0.14997952082921553
Account Reconciliation,0.0228967767776224,0.02093766261820139,-0.0019591141594210125,-8.556287980829268,Medium,65948.37451608597,13-2000,11-3000,43-3000,99-9000,11-9000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Insurance Carriers and Related Activities,Real Estate,768.3333333333334,0.0047344451333672325,30.0,0.09847101326587222
Account Strategy,0.0074435760060939,0.00777033177127072,0.0003267557651768201,4.389768639553247,Medium,115860.37269129288,41-4000,11-2000,15-1200,11-9000,13-1000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Publishing Industries (except Internet),Computer and Electronic Product Manufacturing,237.11111111111111,0.0013670304777662712,18.0,0.191207658928292
Accountability,0.0432710541143079,0.042338678428207356,-0.0009323756861005436,-2.154733008439114,Medium,72167.4399266149,11-9000,29-1000,15-1200,41-1000,13-1000,Unclassified Industry,"Professional, Scientific, and Technical Services",Hospitals,Administrative and Support Services,General Merchandise Stores,1250.375,0.0058950783178557745,23.0,0.06866319429228639
Accounting,0.1853227319253122,0.19372224094130233,0.008399509015990125,4.532368441112368,Medium,69565.45384831692,13-2000,11-3000,43-3000,99-9000,11-9000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Real Estate,Insurance Carriers and Related Activities,5499.208333333333,0.03464549988881724,32.0,0.13088300618299575
Accounting Software,0.0185806191197775,0.018256677322190995,-0.000323941797586505,-1.7434392013433841,Medium,54754.96263938384,43-3000,13-2000,11-3000,99-9000,11-9000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Real Estate,Hospitals,563.4861111111111,0.0025483474675989316,30.0,0.11600952477351607
Accounts Payable,0.051874530211058,0.049070923036590657,-0.002803607174467343,-5.4045928957053055,Medium,54550.10028997807,43-3000,13-2000,11-3000,11-9000,43-6000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Real Estate,Educational Services,1809.6527777777776,0.009510294205140556,26.0,0.04933377218768474
Accounts Receivable,0.0586523689551083,0.062477113480508766,0.003824744525400464,6.521040144734597,High,54314.97124394184,43-3000,13-2000,11-3000,11-9000,99-9000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Ambulatory Health Care Services,Real Estate,1948.625,0.020985762228879677,30.0,0.08422902208394095
Accruals,0.0113820063592461,0.010868909227398334,-0.0005130971318477659,-4.507967362282791,Medium,72768.83736596095,13-2000,11-3000,43-3000,13-1000,99-9000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Real Estate,Chemical Manufacturing,358.2916666666667,0.0012628013097482488,32.0,0.11190039581853198
Active Listening,0.0111364220794837,0.012329259694797269,0.0011928376153135679,10.711138701460472,Medium,52989.00444049734,43-4000,15-1200,41-4000,13-1000,11-9000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Ambulatory Health Care Services,Credit Intermediation and Related Activities,302.375,0.0030215775724944847,22.0,0.04313592807214018
Ad Hoc Reporting,0.0075493400884796,0.006867307464756099,-0.0006820326237235016,-9.034334335583756,High,73588.10225846925,13-2000,13-1000,15-1200,15-2000,11-3000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Insurance Carriers and Related Activities,Credit Intermediation and Related Activities,262.02777777777777,0.0017537451126333075,30.0,0.11259372741635808
Adaptability,0.0137559907971252,0.014098617024604168,0.00034262622747896834,2.490741906795781,High,53372.21697330719,29-1000,15-1200,11-9000,13-1000,99-9000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Social Assistance,Accommodation,428.5833333333333,0.0066031473345648135,29.0,0.10838202377969412
Administrative Functions,0.0399216250539456,0.038073909004137096,-0.0018477160498085038,-4.628358808820302,Medium,47667.69638245422,43-6000,11-9000,43-4000,99-9000,13-1000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Ambulatory Health Care Services,1385.986111111111,0.006260308470299025,22.0,0.18027699178795917
Administrative Support,0.0236790154470263,0.02280420793810672,-0.0008748075089195784,-3.694442072039106,High,48464.2681690993,43-6000,13-1000,43-4000,99-9000,11-9000,Unclassified Industry,Educational Services,"Professional, Scientific, and Technical Services",Administrative and Support Services,Ambulatory Health Care Services,683.8055555555555,0.007201396481901054,26.0,0.06727641272527025
Advertisement,0.0052489154398559,0.004732328137853097,-0.0005165873020028027,-9.841791279018675,High,55849.51799485861,13-1000,11-2000,27-1000,41-4000,41-2000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Food and Beverage Stores,Miscellaneous Store Retailers,201.77777777777777,0.002363480026194014,19.0,0.1588200036011119
Advising,0.0083963601222727,0.007449660276251284,-0.0009466998460214149,-11.275121984229106,Medium,79521.09487119163,11-9000,15-1200,13-1000,11-3000,13-2000,Educational Services,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Credit Intermediation and Related Activities,263.52777777777777,0.0008897271051645275,18.0,0.3440635580123944
Advocacy,0.0195928723196775,0.016158523509679824,-0.003434348809997677,-17.5285621932446,High,70398.31017335037,29-1000,15-1200,11-9000,21-1000,11-2000,Unclassified Industry,Hospitals,"Professional, Scientific, and Technical Services",Educational Services,Administrative and Support Services,604.5,0.0049721249638134965,22.0,0.045406500733551486
