,July 2023 actual,July 2025 weighted predicted,Percentage Point change,Percentage change,Model Variance,Mean Salary,Most common occ,2nd most common occ,3rd most common occ,4th most common occ,5th most common occ,Most common ind,2nd most common ind,3rd most common ind,4th most common ind,5th most common ind,Monthly average obs,Prediction std dev,Number of Models,Average RMSE
Administration,0.2963040795560432,0.2887642510608887,-0.007539828495154499,-2.544625273621455,Low,50842.25868832071,13-1000,43-6000,11-9000,99-9000,43-4000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Ambulatory Health Care Services,Educational Services,1924.861111111111,0.0162117151669072,24.0,0.08108775728168759
Analysis,0.1726183936242949,0.18006353975648837,0.007445146132193464,4.3130665138721405,Low,81203.63152908119,15-1200,15-2000,13-1000,13-2000,11-9000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Insurance Carriers and Related Activities,Credit Intermediation and Related Activities,1113.9305555555557,0.011139517460674936,27.0,0.05523906764019344
Architecture and Construction,0.2054669726902822,0.22589266140239625,0.02042568871211406,9.94110559213983,Medium,54265.61869496211,53-7000,49-9000,11-9000,47-2000,13-1000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Specialty Trade Contractors,Construction of Buildings,1218.513888888889,0.02519944593867977,17.0,0.05187717008113888
Business,0.6069755944268599,0.6468356515250052,0.03986005709814533,6.566995026510648,Low,73672.41533484089,15-1200,13-1000,11-9000,11-2000,11-3000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,3857.194444444444,0.04653619470591879,25.0,0.08415359655574238
Customer and Client Support,0.1647158563123585,0.1613532817254768,-0.003362574586881689,-2.0414395202518207,Medium,45388.9319965193,43-4000,41-2000,41-4000,41-1000,11-9000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Food Services and Drinking Places,General Merchandise Stores,1096.6944444444443,0.030811663597073442,28.0,0.1347887083346557
Design,0.0382058107860874,0.05058892773985622,0.012383116953768813,32.41160624257216,High,78574.39353574193,15-1200,27-1000,13-1000,11-2000,99-9000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Insurance Carriers and Related Activities,207.91666666666663,0.01884001578913651,13.0,0.1010683997193759
Education and Training,0.0816499740731293,0.16072602002670638,0.07907604595357709,96.8476069358615,High,58097.36122371827,25-2000,11-9000,15-1200,29-1000,25-1000,Educational Services,Unclassified Industry,"Professional, Scientific, and Technical Services",Social Assistance,Administrative and Support Services,476.80555555555554,0.21776193576819114,23.0,0.12539442184642874
Energy and Utilities,0.0738263183256889,0.07174694548634855,-0.0020793728393403432,-2.816573935282909,High,62494.206079508425,17-2000,49-9000,17-3000,11-9000,15-1200,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Utilities,Specialty Trade Contractors,414.7916666666667,0.01877941618639604,25.0,0.1528928897649548
Engineering,0.4648195499757996,0.6233629159127674,0.15854336593696777,34.10858384618766,High,69192.14329997853,17-2000,15-1200,17-3000,49-9000,11-9000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Computer and Electronic Product Manufacturing,Machinery Manufacturing,2880.833333333333,0.16503797665873107,13.0,0.08808641529210344
Environment,0.0455265455461592,0.04938139300517103,0.00385484745901183,8.467252265172226,Medium,67233.3099008099,17-2000,11-9000,15-1200,53-3000,13-1000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Waste Management and Remediation Services,Chemical Manufacturing,275.2361111111111,0.008353655578151731,28.0,0.10658923459327754
Finance,0.1452041163740628,0.14062289409556267,-0.0045812222785001355,-3.155022318167875,Medium,68705.62601175455,13-2000,11-3000,43-3000,11-9000,13-1000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,869.7777777777778,0.02216101084179391,27.0,0.16810385308276693
Health Care,0.1006531803757548,0.10073707447937733,8.389410362252825e-05,0.0833496798703606,Medium,65914.18215770835,29-1000,29-2000,31-1100,11-9000,31-9000,Unclassified Industry,Ambulatory Health Care Services,Hospitals,Administrative and Support Services,Nursing and Residential Care Facilities,620.9166666666666,0.018699493310100974,15.0,0.09739229436631909
Hospitality and Food Services,0.0862901151321396,0.13036999034939528,0.044079875217255676,51.08334268618642,High,37541.91346214684,35-3000,11-9000,35-2000,35-1000,35-9000,Food Services and Drinking Places,Unclassified Industry,Administrative and Support Services,Food and Beverage Stores,Accommodation,565.0138888888889,0.038725654950930534,13.0,0.11311843799349025
Human Resources,0.1162682406061246,0.13390129040096738,0.017633049794842773,15.165835229740225,Medium,66115.96241603534,13-1000,11-3000,11-9000,15-1200,99-9000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Insurance Carriers and Related Activities,721.5694444444445,0.023633240104122072,25.0,0.10784041084662865
Information Technology,0.3489100939302356,0.42594796182141353,0.07703786789117795,22.07957557873967,Medium,96553.37672018258,15-1200,13-1000,99-9000,11-9000,15-2000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,2246.555555555556,0.06399302312110178,25.0,0.07175408423728875
"Law, Regulation, and Compliance",0.50534152406163,0.5731917483034992,0.06785022424186915,13.42660775163102,Medium,55585.60643210358,11-9000,15-1200,13-1000,11-3000,13-2000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Food Services and Drinking Places,Ambulatory Health Care Services,3244.527777777778,0.05854052751313193,26.0,0.10287332923596564
"Maintenance, Repair, and Facility Services",0.4828123353640801,0.532415595762959,0.04960326039887897,10.273817954852799,Low,46385.46776038221,49-9000,49-3000,37-2000,17-3000,53-7000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Real Estate,Motor Vehicle and Parts Dealers,3055.7638888888887,0.025848502603813675,25.0,0.05268876442044634
Manufacturing and Production,0.6552020201751217,0.7086992402601914,0.05349722008506963,8.164996205410196,Low,53296.38250923692,51-9000,15-1200,17-2000,49-9000,51-4000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Computer and Electronic Product Manufacturing,Food Manufacturing,4354.152777777777,0.025904160895934353,19.0,0.20528468153678647
Marketing and Public Relations,0.0540547901758414,0.04944228896346954,-0.004612501212371861,-8.53301103818421,High,65721.65938149072,11-2000,13-1000,41-4000,11-9000,15-1200,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Insurance Carriers and Related Activities,287.6111111111111,0.01410995296807897,25.0,0.1269107076016429
Media and Communications,0.5165780804766342,0.4945658927866282,-0.022012187690006013,-4.2611540291635865,Low,56258.748334609874,15-1200,13-1000,11-9000,99-9000,11-2000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Insurance Carriers and Related Activities,3339.027777777778,0.024193583877333145,28.0,0.10322188353725613
Physical and Inherent Abilities,0.7452787115907493,0.7315425000778832,-0.013736211512866081,-1.8430972600233038,Medium,55895.16663692128,15-1200,11-9000,13-1000,99-9000,11-2000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Insurance Carriers and Related Activities,4888.25,0.10606922938449302,25.0,0.09412438907089135
Public Safety and National Security,0.0421944039747849,0.030361476149602724,-0.011832927825182173,-28.043832144787384,High,51682.817688471696,33-9000,15-1200,11-9000,11-3000,13-1000,Administrative and Support Services,Unclassified Industry,Educational Services,"Professional, Scientific, and Technical Services",Accommodation,239.75,0.011165869307886088,22.0,0.1448897574140264
Sales,0.1199084227493223,0.09477396071075729,-0.02513446203856501,-20.96138157959972,High,59148.354304833694,41-4000,41-2000,11-2000,41-1000,13-1000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,General Merchandise Stores,Clothing and Clothing Accessories Stores,716.8055555555555,0.028534623766998,25.0,0.09902437072801916
Science and Research,0.133320359099317,0.13782870604637243,0.0045083469470554305,3.381589261769793,Medium,67784.93299736021,11-9000,29-2000,15-1200,15-2000,13-1000,Unclassified Industry,"Professional, Scientific, and Technical Services",Educational Services,Administrative and Support Services,Chemical Manufacturing,843.6111111111111,0.014649987089525295,28.0,0.11982921328648212
"Transportation, Supply Chain, and Logistics",0.3807362502681909,0.37559325775831587,-0.005142992509875044,-1.3508019019077686,Medium,45867.89654164763,53-7000,53-3000,13-1000,11-3000,43-5000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Nonstore Retailers,Truck Transportation,2503.555555555556,0.047852866477006976,29.0,0.0770129507236832
