,July 2023 actual,July 2025 weighted predicted,Percentage Point change,Percentage change,Model Variance,Mean Salary,Most common occ,2nd most common occ,3rd most common occ,4th most common occ,5th most common occ,Most common ind,2nd most common ind,3rd most common ind,4th most common ind,5th most common ind,Monthly average obs,Prediction std dev,Number of Models,Average RMSE
Administrative Support and Clerical Tasks,0.0530464174554763,0.04689831173661841,-0.006148105718857891,-11.590048892591492,High,44410.32071448647,43-6000,43-4000,43-9000,99-9000,29-2000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Ambulatory Health Care Services,Educational Services,382.80555555555554,0.012524226295370682,22.0,0.09808557683077736
Auditing,0.11141171934683,0.14447518147485158,0.03306346212802158,29.676826030386845,High,68294.44356490234,13-2000,11-3000,15-1200,11-9000,13-1000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,714.1111111111111,0.09079982543459607,27.0,0.07888699979829832
Automation Engineering,0.0751321070807926,0.15060181435586625,0.07546970727507366,100.44934210871794,High,74134.08860618649,17-2000,15-1200,49-9000,17-3000,11-9000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Machinery Manufacturing,Real Estate,429.5138888888889,0.07520563178860942,25.0,0.10354943112356599
Basic Electrical Systems,0.106472158788206,0.10434683988861564,-0.0021253188995903616,-1.9961264275837947,Low,55478.38780120482,49-9000,17-3000,47-2000,17-2000,49-3000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services","Merchant Wholesalers, Nondurable Goods",Utilities,661.0138888888889,0.003844561272901661,15.0,0.15219671391420164
Basic Technical Knowledge,0.1276357882342952,0.11386541412658359,-0.013770374107711605,-10.78880328018499,Medium,45842.807952922056,43-4000,11-9000,99-9000,43-6000,29-2000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Hospitals,Ambulatory Health Care Services,882.3888888888889,0.012898237214654726,13.0,0.04917479720395319
Budget Management,0.0354251000285456,0.031129921141734643,-0.004295178886810955,-12.124676806416618,Medium,82612.25612415781,11-9000,11-3000,13-2000,13-1000,11-2000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Real Estate,225.65277777777777,0.004420851481792252,25.0,0.12445109273092926
Business Analysis,0.1036927683384641,0.10293449845390135,-0.0007582698845627484,-0.7312659279070222,Low,94109.79303633218,15-1200,13-1000,11-9000,11-3000,11-2000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Insurance Carriers and Related Activities,Credit Intermediation and Related Activities,627.7222222222222,0.006515100236048141,15.0,0.10028393869325121
Business Management,0.2823609868314666,0.2892713035593104,0.006910316727843813,2.4473341042572527,Medium,65654.77461368566,15-1200,11-9000,13-1000,11-3000,11-2000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,1832.0416666666667,0.044501032155500386,27.0,0.09396076009602661
Business Operations,0.3685540188992255,0.4337784419645724,0.06522442306534687,17.69738483931207,High,63133.79024481096,15-1200,11-9000,13-1000,11-3000,99-9000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Credit Intermediation and Related Activities,Food Services and Drinking Places,2261.527777777778,0.12270836224816471,19.0,0.06801400160581288
Business Solutions,0.0422811024295696,0.055789617862299426,0.013508515432729823,31.94929804688002,High,86278.7545339167,15-1200,13-1000,11-3000,13-2000,11-9000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Insurance Carriers and Related Activities,Credit Intermediation and Related Activities,282.27777777777777,0.037992764769263554,27.0,0.24983656486846426
