,July 2022 actual,July 2024 predicted,Percent change,Monthly average obs,model
Skill subcat: Microsoft Development Tools,0.0077856105712317,0.0081595459352626,4.802903518095476,2579.833333333333,predicted job posting shares 16_06_15_03_2023 ARIMA test lvl subcategory
Skill subcat: Software Development,0.0853120292727866,0.0506894822517579,-40.58342922581591,8211.375,predicted job posting shares 14_33_06_03_2023 VAR no differencing 1 month input 3.5 year output lvl subcategory
Skill subcat: Application Programming Interface (API),0.0254760821379012,0.0563717929113071,121.2733991285176,2106.3125,predicted job posting shares 14_33_06_03_2023 VAR no differencing 1 month input 3.5 year output lvl subcategory
Skill subcat: Basic Electrical Systems,0.0127788499139798,0.0113395869700858,-11.262851927852092,1261.3125,predicted job posting shares 14_33_06_03_2023 VAR no differencing 1 month input 3.5 year output lvl subcategory
Skill subcat: Identity and Access Management,0.0124510844338675,0.0069944670719534,-43.82443465785085,1163.1458333333333,predicted job posting shares 14_33_06_03_2023 VAR no differencing 1 month input 3.5 year output lvl subcategory
Skill subcat: Interior Design,0.00150581837745,0.0013425004082762,-10.845794660201175,428.9791666666667,predicted job posting shares 16_06_15_03_2023 ARIMA test lvl subcategory
Skill subcat: Animation and Game Design,0.0030708709747106,0.0029957983853705,-2.444667651566665,960.125,predicted job posting shares 16_06_15_03_2023 ARIMA test lvl subcategory
Skill subcat: Digital Design,0.0032394949077616,0.0044798134208127,38.28740431353618,325.9583333333333,predicted job posting shares 14_33_06_03_2023 VAR no differencing 1 month input 3.5 year output lvl subcategory
Skill subcat: Drafting and Engineering Design,0.0211843072255572,0.0175813886366258,-17.007488376040744,2092.083333333333,predicted job posting shares 14_33_06_03_2023 VAR no differencing 1 month input 3.5 year output lvl subcategory
Skill subcat: Photo/Video Production and Technology,0.0076386655322378,0.004371046618447,-42.77735292899424,716.5833333333334,predicted job posting shares 14_33_06_03_2023 VAR no differencing 1 month input 3.5 year output lvl subcategory
Skill subcat: People Management,0.0785046292945843,0.0760729360633276,-3.0975157173622185,24228.291666666668,predicted job posting shares 16_06_15_03_2023 ARIMA test lvl subcategory
