,July 2023 actual,July 2025 weighted predicted,Percentage Point change,Percentage change,Model Variance,Mean Salary,Most common occ,2nd most common occ,3rd most common occ,4th most common occ,5th most common occ,Most common ind,2nd most common ind,3rd most common ind,4th most common ind,5th most common ind,Monthly average obs,Prediction std dev,Number of Models,Average RMSE
Cardiopulmonary Resuscitation (CPR) Certification,0.1012260509065569,0.08822668816299396,-0.012999362743562934,-12.841914336421972,High,54271.95667880554,29-1000,29-2000,31-1100,31-9000,39-9000,Unclassified Industry,Hospitals,Ambulatory Health Care Services,Nursing and Residential Care Facilities,Social Assistance,476.375,0.09328325109287199,30.0,0.04463081863551129
Child Development,0.1631710720423037,0.14850923868051358,-0.014661833361790111,-8.98555925279996,High,39334.98889276576,25-2000,25-9000,11-9000,21-1000,39-9000,Social Assistance,Unclassified Industry,Educational Services,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",Ambulatory Health Care Services,650.0,0.06047278928289803,23.0,0.04298039874163388
Communications,0.3191040052900136,0.31949340622341704,0.00038940093340344983,0.12202947219341474,High,59723.06652249859,15-1200,11-9000,13-1000,99-9000,41-4000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Ambulatory Health Care Services,937.0833333333334,0.1341622921233955,31.0,0.06934708524183467
Customer Service,0.098205428170144,0.10344648792108734,0.0052410597509433415,5.336833053528407,High,46959.829871999726,43-4000,41-2000,11-9000,41-1000,41-4000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Food Services and Drinking Places,Ambulatory Health Care Services,290.90277777777777,0.08804883784711287,30.0,0.14508948828545337
Early Childhood Education,0.052467320305665,0.061080422879839724,0.008613102574174726,16.416128218472696,Medium,38140.181913116125,25-2000,25-9000,11-9000,21-1000,25-3000,Social Assistance,Unclassified Industry,Educational Services,"Religious, Grantmaking, Civic, Professional, and Similar Organizations",Nursing and Residential Care Facilities,207.375,0.009364084027682028,17.0,0.03633467901712142
English Language,0.1391754125635598,0.10346516447276341,-0.0357102480907964,-25.65844600926758,High,44822.64599550315,53-7000,43-4000,99-9000,11-9000,25-2000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Nonstore Retailers,Health and Personal Care Stores,426.43055555555554,0.047241853878755985,18.0,0.12298306405917268
First Aid Certification,0.0849569665284722,0.08090643470187785,-0.0040505318265943585,-4.767745356393906,High,39322.65153636173,25-2000,39-9000,11-9000,31-1100,33-9000,Social Assistance,Unclassified Industry,Educational Services,Nursing and Residential Care Facilities,Administrative and Support Services,362.19444444444446,0.02156809530851601,29.0,0.08507665420959434
Individualized Education Programs (IEP),0.1139059529635736,0.1653854387133431,0.0514794857497695,45.194728115950454,High,59567.55752105897,29-1000,25-2000,21-1000,19-3000,25-9000,Unclassified Industry,Educational Services,Administrative and Support Services,Ambulatory Health Care Services,Social Assistance,273.1388888888889,0.1273143295818203,28.0,0.10967888017570593
Interpersonal Communications,0.1201030204900034,0.14031217413960875,0.02020915364960535,16.8265157421977,High,62524.03998373543,15-1200,11-9000,13-1000,29-1000,99-9000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Hospitals,259.8611111111111,0.07091228180686078,28.0,0.11610585755974742
Leadership,0.1244728862005014,0.12367426849076237,-0.0007986177097390329,-0.6415997363896716,Low,80406.06884916697,11-9000,15-1200,11-3000,13-1000,11-2000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Hospitals,417.9861111111111,0.00682001850916557,10.0,0.09170772021492193
