,July 2022 actual,July 2024 weighted predicted,Percentage Point change,Percentage change,Model Variance,Mean Salary,Most common occ,2nd most common occ,3rd most common occ,4th most common occ,5th most common occ,Most common ind,2nd most common ind,3rd most common ind,4th most common ind,5th most common ind,Monthly average obs,Prediction std dev,Number of Models,Average RMSE
.NET Framework,0.0034098190913747,0.0026005456470947447,-0.0008092734442799554,-23.73361819479078,High,114503.625955776,15-1200,13-1000,99-9000,11-9000,17-2000,"Professional, Scientific, and Technical Services",Administrative and Support Services,Unclassified Industry,Insurance Carriers and Related Activities,Credit Intermediation and Related Activities,1186.9166666666667,0.0007286031052687161,24.0,0.04906144688134816
3D Modeling,0.0014933594732703,0.0010844545163053165,-0.00040890495696498347,-27.381549069998844,High,76939.67018633541,17-2000,17-3000,27-1000,99-9000,15-1200,Administrative and Support Services,"Professional, Scientific, and Technical Services",Unclassified Industry,Computer and Electronic Product Manufacturing,"Electrical Equipment, Appliance, and Component Manufacturing",398.7708333333333,0.0002790925646847685,24.0,0.23113186583512954
A/B Testing,0.0012063289163946,0.0011832788810233381,-2.3050035371261846e-05,-1.9107587539352322,High,104892.4018789144,11-2000,13-1000,15-1200,15-2000,99-9000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Other Information Services,Credit Intermediation and Related Activities,356.1458333333333,0.00042859483594893255,16.0,0.19483480989967428
API Gateway,0.0008630852185705,0.0008727052112021548,9.619992631654814e-06,1.1146051889972226,High,133223.36012861735,15-1200,17-2000,11-9000,13-1000,99-9000,"Professional, Scientific, and Technical Services",Administrative and Support Services,Unclassified Industry,Machinery Manufacturing,Credit Intermediation and Related Activities,203.29166666666663,0.0003133716219929226,24.0,0.39421018736083796
ASP.NET,0.0022089079487527,0.0012521910793156002,-0.0009567168694370998,-43.31175819152298,Low,106553.150447645,15-1200,99-9000,11-2000,15-2000,13-1000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Insurance Carriers and Related Activities,Educational Services,869.125,2.168404344971009e-19,5.0,0.08340499873823845
ASP.NET MVC Framework,0.0007918376535652,0.001235885081604692,0.0004440474280394919,56.07808949728469,High,114599.04226020892,15-1200,99-9000,13-1000,11-9000,11-2000,"Professional, Scientific, and Technical Services",Administrative and Support Services,Unclassified Industry,"Merchant Wholesalers, Nondurable Goods",Insurance Carriers and Related Activities,295.7083333333333,0.0006550020686663295,12.0,0.3027993947515515
AWS CloudFormation,0.0014394556471539,0.0014002948928429093,-3.916075431099073e-05,-2.720525247750398,Medium,138971.89078498294,15-1200,17-2000,99-9000,11-9000,13-1000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,361.9791666666667,0.0003096310616538111,20.0,0.1667729213056325
AWS Kinesis,0.000920641260437,0.0008535759080636174,-6.706535237338258e-05,-7.2846346623166465,High,140289.43656207368,15-1200,15-2000,11-9000,17-2000,99-9000,"Professional, Scientific, and Technical Services",Administrative and Support Services,Credit Intermediation and Related Activities,Unclassified Industry,Machinery Manufacturing,245.79166666666663,0.000245182437281259,12.0,0.5537241282589083
Ability To Distinguish Colors,0.0006541161207587,0.0005561724265305759,-9.794369422812406e-05,-14.973441430325945,Medium,47602.81726457399,51-9000,49-9000,53-7000,29-2000,29-1000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Social Assistance,Transportation Equipment Manufacturing,209.75,0.00010165631242406218,16.0,1.091466986569715
Ability To Meet Deadlines,0.0304487173275155,0.028727791242426443,-0.0017209260850890584,-5.651883678968357,Low,62681.91914375716,13-1000,15-1200,11-9000,99-9000,13-2000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Insurance Carriers and Related Activities,8960.895833333334,0.002763984930583632,27.0,0.10498487386645873
