,July 2023 actual,July 2025 weighted predicted,Percentage Point change,Percentage change,Model Variance,Mean Salary,Most common occ,2nd most common occ,3rd most common occ,4th most common occ,5th most common occ,Most common ind,2nd most common ind,3rd most common ind,4th most common ind,5th most common ind,Monthly average obs,Prediction std dev,Number of Models,Average RMSE
Ability To Meet Deadlines,0.0368579232921811,0.03912014192820841,0.0022622186360273105,6.13767253812482,Medium,62681.91914375716,13-1000,15-1200,11-9000,99-9000,13-2000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Insurance Carriers and Related Activities,274.44444444444446,0.004187954200539426,18.0,0.16955975653339322
Accountability,0.0414142959825804,0.051783333644903076,0.010369037662322673,25.03733895822852,High,72167.4399266149,11-9000,29-1000,15-1200,41-1000,13-1000,Unclassified Industry,"Professional, Scientific, and Technical Services",Hospitals,Administrative and Support Services,General Merchandise Stores,337.4583333333333,0.02966661831166302,15.0,0.08417369935795052
Accounting,0.0531430974233422,0.043469162487728835,-0.009673934935613367,-18.203558702177293,Low,69565.45384831692,13-2000,11-3000,43-3000,99-9000,11-9000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Real Estate,Insurance Carriers and Related Activities,323.59722222222223,0.0010657872077266524,10.0,0.17714693021931172
Active Directory,0.0881761137450276,0.08090887981238402,-0.007267233932643571,-8.241726272556873,Medium,83842.5516872805,15-1200,99-9000,13-1000,11-9000,11-3000,"Professional, Scientific, and Technical Services",Administrative and Support Services,Unclassified Industry,Educational Services,Insurance Carriers and Related Activities,858.1944444444445,0.01196091385081445,30.0,0.1307911389327383
Advocacy,0.0246009094298588,0.026961529200262936,0.0023606197704041376,9.595660587811395,Medium,70398.31017335037,29-1000,15-1200,11-9000,21-1000,11-2000,Unclassified Industry,Hospitals,"Professional, Scientific, and Technical Services",Educational Services,Administrative and Support Services,219.16666666666663,0.005919833607047414,22.0,0.08881645701526342
Agile Methodology,0.1379593405293626,0.13388558318726967,-0.004073757342092921,-2.9528680888597623,High,123055.6218907086,15-1200,13-1000,11-2000,11-9000,99-9000,"Professional, Scientific, and Technical Services",Administrative and Support Services,Unclassified Industry,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,1318.7777777777778,0.03569852493466127,28.0,0.10542837887253147
Amazon Web Services,0.0867041732360531,0.09812874424636094,0.011424571010307832,13.17649495279115,High,136206.63724279834,15-1200,15-2000,11-9000,17-2000,99-9000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,789.0416666666666,0.027755150028552566,28.0,0.052507522011950976
Analytical Skills,0.0690452832821692,0.2900856607202953,0.2210403774381261,320.13827292849896,High,78324.69305136871,15-1200,13-1000,13-2000,11-9000,99-9000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Insurance Carriers and Related Activities,Credit Intermediation and Related Activities,503.4861111111111,0.18809180741519993,30.0,0.11661113768782827
Ansible,0.0286000824567274,0.025345145099440906,-0.003254937357286495,-11.380867038447501,Medium,134928.89175724637,15-1200,17-2000,99-9000,11-9000,13-1000,"Professional, Scientific, and Technical Services",Administrative and Support Services,Unclassified Industry,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,234.48611111111111,0.005621281641547197,14.0,0.10097761417435254
Application Development,0.035817559588249,0.03237860054520125,-0.0034389590430477443,-9.601321481924737,Medium,124383.60820639494,15-1200,13-1000,11-9000,99-9000,11-2000,"Professional, Scientific, and Technical Services",Administrative and Support Services,Unclassified Industry,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,394.55555555555554,0.008057820646689032,21.0,0.09344578885499912
Application Programming Interface (API),0.0468125618333844,0.046853560880897545,4.099904751314609e-05,0.08758129422412342,High,123135.58961593172,15-1200,11-2000,13-1000,11-9000,99-9000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,451.9861111111111,0.013547191857830517,31.0,0.09748765364196722
Auditing,0.1053487580383232,0.28466098697835907,0.17931222894003584,170.20820394940642,High,68859.41998154458,13-2000,11-3000,15-1200,11-9000,13-1000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,751.8055555555555,0.19595068633825963,18.0,0.1594547734531242
Authentications,0.0213233106453231,0.020470163206247463,-0.0008531474390756355,-4.001008348404654,Medium,115059.20848339336,15-1200,99-9000,13-1000,11-9000,17-2000,"Professional, Scientific, and Technical Services",Administrative and Support Services,Unclassified Industry,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,202.625,0.0024261854494048536,18.0,0.10471529001816895
Automation,0.121023115340124,0.1057486622879943,-0.015274453052129697,-12.62110383557909,Medium,97449.89165281013,15-1200,17-2000,13-1000,13-2000,99-9000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,992.3194444444443,0.015559741276850985,10.0,0.09040297290146393
Backup Devices,0.0247562733694519,0.021632390697436037,-0.003123882672015861,-12.618549752607711,High,73625.77873039038,15-1200,41-1000,43-9000,99-9000,13-2000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,General Merchandise Stores,Educational Services,202.22222222222223,0.006107642081299049,34.0,0.13706283882736323
Budgeting,0.0343803666732602,0.032179436326987894,-0.002200930346272306,-6.4017070183957925,Low,87317.76058579037,11-9000,13-2000,11-3000,13-1000,11-2000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Real Estate,261.81944444444446,0.0027109719177006476,18.0,0.1812509866326899
Business Development,0.0227518753415973,0.018674214946612665,-0.004077660394984636,-17.92230457385392,Medium,88628.38114107572,11-2000,41-4000,11-9000,13-1000,15-1200,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,233.90277777777777,0.0020308340402978155,10.0,0.10577018000008268
Business Objectives,0.0271976791380915,0.025704020607319505,-0.0014936585307719942,-5.491860254649678,High,106526.57218792869,15-1200,13-1000,11-2000,11-3000,11-9000,"Professional, Scientific, and Technical Services",Unclassified Industry,Credit Intermediation and Related Activities,Administrative and Support Services,Insurance Carriers and Related Activities,237.20833333333331,0.006618298332926716,18.0,0.16603667067709052
Business Process,0.0756659086174872,0.07373580451571174,-0.001930104101775465,-2.550823927236099,Low,105421.22171473314,15-1200,13-1000,11-9000,11-3000,13-2000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Insurance Carriers and Related Activities,Credit Intermediation and Related Activities,610.1527777777778,0.00033203493618897745,10.0,0.08092701561845714
Business Requirements,0.0717559047479409,0.06956846364860723,-0.0021874410993336646,-3.0484475208243196,Medium,107041.26693957351,15-1200,13-1000,15-2000,11-2000,11-9000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Insurance Carriers and Related Activities,Credit Intermediation and Related Activities,622.625,0.01584438242069941,26.0,0.11243493766013112
Business Strategies,0.0297966775855652,0.029634576788300063,-0.00016210079726513768,-0.544023060287991,High,116102.26950730788,15-1200,11-2000,13-1000,11-3000,11-9000,"Professional, Scientific, and Technical Services",Unclassified Industry,Credit Intermediation and Related Activities,Administrative and Support Services,Insurance Carriers and Related Activities,258.55555555555554,0.008815108771348227,32.0,0.17833450544743942
C# (Programming Language),0.0224197331120061,0.04999462829052006,0.02757489517851396,122.9938600997315,High,116186.9868352586,15-1200,99-9000,17-2000,15-2000,11-9000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Insurance Carriers and Related Activities,Computer and Electronic Product Manufacturing,233.75,0.02822491011094527,18.0,0.4091147517630505
CI/CD,0.0398671688760214,0.03022840492145608,-0.009638763954565324,-24.177196992693094,High,133133.0382960927,15-1200,17-2000,11-9000,99-9000,13-1000,"Professional, Scientific, and Technical Services",Administrative and Support Services,Unclassified Industry,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,302.8888888888889,0.012995671160571301,22.0,0.03624610110855073
Certified Information System Auditor (CISA),0.0327346808738062,0.04537567350278594,0.01264099262897974,38.61651401982926,High,116403.87763578274,15-1200,13-2000,13-1000,11-3000,11-9000,"Professional, Scientific, and Technical Services",Administrative and Support Services,Unclassified Industry,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,219.02777777777777,0.015145997943620164,22.0,0.12689046743378954
Certified Information Systems Security Professional,0.0592796123803241,0.0559726078056242,-0.003307004574699901,-5.578654181277257,Medium,127106.70612860014,15-1200,13-2000,13-1000,11-9000,99-9000,"Professional, Scientific, and Technical Services",Administrative and Support Services,Unclassified Industry,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,480.875,0.012725912435155333,22.0,0.12485941911134246
Change Management,0.0619429865553621,0.06307184521465738,0.0011288586592952746,1.8224156148595565,Medium,116318.36961501188,15-1200,13-1000,11-9000,11-3000,11-2000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,522.5833333333334,0.011844202363628936,32.0,0.1325344640294489
Cloud Computing,0.0240470303623882,0.022422833341949777,-0.0016241970204384226,-6.754251963597212,Medium,141145.1004104831,15-1200,15-2000,11-9000,13-1000,11-2000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,217.09722222222223,0.0027206268804824433,10.0,0.1906734331402429
Coaching,0.0602289036724323,0.04907957251707212,-0.011149331155360175,-18.511595721546225,High,70655.96701646132,11-9000,41-1000,11-3000,15-1200,11-2000,Unclassified Industry,"Professional, Scientific, and Technical Services",Credit Intermediation and Related Activities,Administrative and Support Services,Educational Services,454.7916666666667,0.016258635266337147,34.0,0.14050760361609788
Collaboration,0.0323547684900059,0.034694706795545704,0.0023399383055398015,7.2321281058233735,Medium,88737.20446735395,15-1200,11-9000,13-1000,11-2000,11-3000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Insurance Carriers and Related Activities,241.54166666666663,0.006065352037107887,26.0,0.028018058738307
Communications,0.4644807319563178,0.441193747630742,-0.0232869843255758,-5.01355227965965,Medium,59723.06652249859,15-1200,11-9000,13-1000,99-9000,41-4000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Ambulatory Health Care Services,4024.4861111111113,0.05820101514613024,26.0,0.03958822949555236
CompTIA A+,0.0325950633130021,0.028712640240253298,-0.0038824230727487995,-11.911076948882961,Medium,51494.73545162442,15-1200,49-9000,99-9000,17-3000,49-2000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Educational Services,"Merchant Wholesalers, Durable Goods",301.2361111111111,0.00644606269074565,30.0,0.054003561753868445
Computer Hardware,0.042065696969145,0.044014032348423646,0.0019483353792786456,4.631648872257461,High,61276.84452184927,15-1200,99-9000,49-9000,11-9000,13-1000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Educational Services,Hospitals,335.15277777777777,0.019597967896281716,28.0,0.0805681501305237
Computer Literacy,0.025651405437459,0.025374712289009026,-0.000276693148449976,-1.078666621696752,Medium,48057.5076519774,11-9000,43-4000,29-1000,29-2000,99-9000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Hospitals,Ambulatory Health Care Services,200.06944444444449,0.00354080702293266,22.0,0.05560264932190845
Computer Networks,0.0241237027166479,0.02447390213077279,0.0003501994141248896,1.4516818509921987,Medium,77148.65992074725,15-1200,49-9000,99-9000,11-9000,13-1000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Educational Services,Computer and Electronic Product Manufacturing,204.75,0.005303017708884962,25.0,0.046279466895030624
Computer Science,0.2384938265770721,0.23663352776023128,-0.0018602988168408274,-0.7800196942370958,Low,113691.46828580122,15-1200,15-2000,13-1000,99-9000,11-9000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Insurance Carriers and Related Activities,Educational Services,1951.361111111111,0.018382961082686163,18.0,0.08084405915163229
Configuration Management,0.0268002106755012,0.02737792127294099,0.0005777105974397873,2.155619612228975,High,117699.05816974596,15-1200,17-2000,11-9000,99-9000,13-1000,"Professional, Scientific, and Technical Services",Administrative and Support Services,Unclassified Industry,Computer and Electronic Product Manufacturing,Insurance Carriers and Related Activities,253.01388888888889,0.008243416892204758,30.0,0.09911605342446599
Consulting,0.087734111778014,0.0821661931196427,-0.005567918658371307,-6.346355534389324,Medium,105674.68112528331,15-1200,13-1000,11-9000,11-3000,13-2000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Insurance Carriers and Related Activities,Credit Intermediation and Related Activities,889.0555555555555,0.010918363927093255,18.0,0.03623156460451375
Coordinating,0.0992604297138096,0.11481659291171373,0.015556163197904121,15.672069164677282,Medium,70309.27493652521,11-9000,13-1000,29-1000,15-1200,11-3000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Hospitals,757.4027777777778,0.018798718848216996,32.0,0.09440218064097211
Critical Thinking,0.0431766425011142,0.04291405022577137,-0.00026259227534283086,-0.6081813224269453,Medium,75624.28666522518,29-1000,15-1200,13-1000,11-9000,99-9000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Hospitals,Educational Services,343.125,0.008966061686766065,30.0,0.11593838536828238
Customer Relationship Management,0.0338898840566855,0.027465717135821563,-0.006424166920863936,-18.956001472647802,High,71271.63335117773,41-4000,11-2000,15-1200,13-1000,43-4000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities,340.875,0.006902906030127938,22.0,0.08051502815835299
Customer Service,0.2320682431390973,0.23398595776524908,0.0019177146261517841,0.8263580575315264,Low,46959.829871999726,43-4000,41-2000,11-9000,41-1000,41-4000,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Food Services and Drinking Places,Ambulatory Health Care Services,1947.4166666666667,0.017875383154234266,30.0,0.0536564717024346
Customer Support,0.0322945724065813,0.03632528061804937,0.004030708211468073,12.481070071844819,High,55374.52632339135,15-1200,43-4000,99-9000,41-4000,13-1000,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Computer and Electronic Product Manufacturing,Health and Personal Care Stores,251.33333333333331,0.009137580829721612,28.0,0.05426763679896419
Cyber Security,0.0774715427915058,0.1039430779747002,0.02647153518319441,34.16936623352856,High,121194.71526848843,15-1200,99-9000,13-1000,11-9000,41-4000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Credit Intermediation and Related Activities,Computer and Electronic Product Manufacturing,547.7916666666666,0.05395079961471996,31.0,0.04666051294857399
Data Analysis,0.0567707383779991,0.06899116689093862,0.012220428512939523,21.5259284308964,High,91485.68615064769,15-1200,15-2000,13-1000,11-9000,99-9000,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Insurance Carriers and Related Activities,Educational Services,410.30555555555554,0.019866084106546538,29.0,0.04729864458224229
