date,Skill: Long-Term Care
2022-08-01,0.002489374252036214
2022-09-01,0.0027375854551792145
2022-10-01,0.001984457252547145
2022-11-01,0.0024141950998455286
2022-12-01,0.002764045028015971
2023-01-01,0.003462629159912467
2023-02-01,0.003436993109062314
2023-03-01,0.003361547482199967
2023-04-01,0.003105979412794113
2023-05-01,0.002552803489379585
2023-06-01,0.002227573422715068
2023-07-01,0.003004944766871631
2023-08-01,0.003022543271072209
2023-09-01,0.0035566877340897918
2023-10-01,0.0035869149724021554
2023-11-01,0.005308580584824085
2023-12-01,0.0028899464523419738
2024-01-01,0.0028496775776147842
2024-02-01,0.002302405424416065
2024-03-01,0.0030013956129550934
2024-04-01,0.002809871337376535
2024-05-01,0.0030586840584874153
2024-06-01,0.003474206430837512
2024-07-01,0.002980082295835018
2024-08-01,0.0030187302036210895
2024-09-01,0.0047465357929468155
