,Skill: (American Society For Quality) ASQ Certified
2022-03-01,0.0003606335361138291
2022-04-01,0.0003573491459588619
2022-05-01,0.00035348511437178977
2022-06-01,0.0003489649326215283
2022-07-01,0.0003437959254466597
2022-08-01,0.0003379856415108201
2022-09-01,0.00033153464563593016
2022-10-01,0.00032444239355111523
2022-11-01,0.00031670875294502427
2022-12-01,0.0003083337487586453
2023-01-01,0.000299317395972133
2023-02-01,0.0002896596948349712
2023-03-01,0.0002793606441310136
2023-04-01,0.0002684202436494564
2023-05-01,0.00025683849345927676
2023-06-01,0.0002446153935889074
2023-07-01,0.00023175094403700896
2023-08-01,0.00021824514480099004
2023-09-01,0.0002040979958805582
2023-10-01,0.00018930949727588494
2023-11-01,0.0001738796489870215
2023-12-01,0.00015780845101396153
2024-01-01,0.00014109590335669974
2024-02-01,0.00012374200601523582
2024-03-01,0.00010574675898957018
2024-04-01,8.711016227970291e-05
2024-05-01,6.7832215885634e-05
2024-06-01,4.7912919807363466e-05
2024-07-01,2.7352274044891236e-05
2024-08-01,6.150278598217372e-06
2024-09-01,-1.569306653265818e-05
