date,Skill: Fabrication,Skill: Landscaping,Skill: Corporate Communications
2022-08-01,0.001617284375242889,0.002353775082156062,0.0017049364396370947
2022-09-01,0.0017267868970520794,0.002308183000423014,0.001548618369270116
2022-10-01,0.0014999555423855782,0.002889305935241282,0.001292903150897473
2022-11-01,0.0015323911211453378,0.0036346029955893755,0.001391916477587074
2022-12-01,0.0017100884579122066,0.003956896951422095,0.001490443421062082
2023-01-01,0.0016828938387334347,0.005699902307242155,0.0013160447706468403
2023-02-01,0.002338200923986733,0.005098094930872321,0.0009587994136381894
2023-03-01,0.001551510882563889,0.004395855590701103,0.0012422559666447341
2023-04-01,0.001606233068741858,0.004684547195211053,0.0015699113137088716
2023-05-01,0.0014042023103684187,0.0034988896222785115,0.0014305169461295009
2023-06-01,0.0016540212091058493,0.0029328004457056522,0.0011654722038656473
2023-07-01,0.0013862740597687662,0.002855747356079519,0.0017410748987458646
2023-08-01,0.0014947650488466024,0.003293992020189762,0.0017108513857237995
2023-09-01,0.001415147737134248,0.0040139248594641685,0.0014191484078764915
2023-10-01,0.0024363920092582703,0.003984431503340602,0.0012741946266032755
2023-11-01,0.0024984785122796893,0.004554450744763017,0.0018264587270095944
2023-12-01,0.0019873817218467593,0.00481927371583879,0.001392112229950726
2024-01-01,0.0020466895075514913,0.004998974269255996,0.0017237334395758808
2024-02-01,0.002551271114498377,0.005068433471024036,0.0012766373110935092
2024-03-01,0.001744209963362664,0.004273809492588043,0.0011153850355185568
2024-04-01,0.002049734932370484,0.004006840754300356,0.001599545474164188
2024-05-01,0.001768884132616222,0.004130724584683776,0.0012792981578968465
2024-06-01,0.001359721238259226,0.003988991491496563,0.0011539096012711525
2024-07-01,0.002305582514964044,0.0031880526803433895,0.001421044289600104
2024-08-01,0.002134443260729313,0.003293389454483986,0.0016071085119619966
2024-09-01,0.0022478015162050724,0.003091251361183822,0.0013389030355028808
