,Skill cat: Information Technology
2022-03-01,0.3631904217325778
2022-04-01,0.3630786518093385
2022-05-01,0.3633526410929234
2022-06-01,0.36437136462309516
2022-07-01,0.36577839106986365
2022-08-01,0.3669526981963863
2022-09-01,0.3677484045176429
2022-10-01,0.3684850675948774
2022-11-01,0.369453435475348
2022-12-01,0.37049374082689107
2023-01-01,0.3715072356756901
2023-02-01,0.3724356489199012
2023-03-01,0.37331235860556156
2023-04-01,0.37420022640646033
2023-05-01,0.3751224262394188
2023-06-01,0.3760488070385921
2023-07-01,0.37694634206103317
2023-08-01,0.37781624240361894
2023-09-01,0.37868131969491226
2023-10-01,0.37954690541928016
2023-11-01,0.3804097479407612
2023-12-01,0.38126260544146784
2024-01-01,0.38210252719737947
2024-02-01,0.3829323054047359
2024-03-01,0.38375592149586374
2024-04-01,0.38457400378213635
2024-05-01,0.3853844561782987
2024-06-01,0.38618584368478537
2024-07-01,0.38697882504345016
2024-08-01,0.38776432690284335
2024-09-01,0.3885428327272897
2024-10-01,0.3893141504028107
2024-11-01,0.3900779055818939
2024-12-01,0.3908340443488659
2025-01-01,0.391582850456435
2025-02-01,0.3923245970524055
2025-03-01,0.39305933694297873
2025-04-01,0.39378701098048025
2025-05-01,0.39450763413874
2025-06-01,0.39522129905437087
2025-07-01,0.3959281246163727
2025-08-01,0.39662819611489586
2025-09-01,0.3973215582934955
