,Skill: PTC Windchill,Skill: Strong Academic Record,Skill: Valves (Piping),Skill: Solid-State Drives,Skill: Blogs,Skill: Ecology,Skill: Microsoft Teams,Skill: Risk Awareness,Skill: Orthopedics,Skill: Hydraulics,Skill: Financial Sales,Skill: Raiser's Edge NXT,Skill: Inventory Forecasting,Skill: Medical Ventilators,Skill: Algorithm Design,Skill: Information Systems,Skill: Team Foundation Server,Skill: Medical Records Filing,Skill: Brand Loyalty,Skill: Safety Culture,Skill: Equipment Calibration,Skill: Furniture Assembly,Skill: First Article Inspections,Skill: Human Capital,Skill: Logo Design,Skill: Landscape Architecture,Skill: Strategic Sourcing,Skill: Account Management,Skill: Team Effectiveness,Skill: Risk Mitigation,Skill: Articulate Storyline,Skill: Technology Strategies,Skill: Organizational Architecture,Skill: Security Testing
2022-03-01,0.0007763739066185206,0.00039066492789996724,0.0007388347942025423,0.0004092042519746056,0.0026597029547523747,0.0001335374527642641,0.026066591973142206,0.0014958839577619623,6.356386013953872e-05,0.0012268398535376097,2.0772059678342177e-05,0.00021203334132281952,0.00014875632829867852,9.839097138459166e-05,0.0004760228123633659,0.07301082148040441,0.007936742700422952,1.5651459740757653e-05,0.00027327311001964784,0.00023371775381398447,9.02132098501962e-05,5.369883914927459e-05,0.00013726940636165044,0.0009889568061668935,0.0002765283027013553,0.0002809868425666509,0.0017529764406515925,0.01568288607964541,0.001147523870518577,0.017326822990128665,0.00016844612487738425,0.008725248343480657,0.0022493616035346095,0.005464637286276011
2022-04-01,0.000779966321718389,0.00039066491475037873,0.0007388347463833435,0.00040920405533226804,0.0026597025166179835,9.040663077082505e-05,0.026187411762049972,0.0014958845912063183,6.356386010594148e-05,0.0012268329330555655,2.349919190889548e-05,0.00020747990121954907,0.00014875635489090765,9.839093426576921e-05,0.000476022845762522,0.07321528854437007,0.00793674524095763,1.5651459719360246e-05,0.0002732729326840071,0.00023371768809180368,9.021321564813159e-05,5.369886038726691e-05,8.263462312590753e-05,0.0009889566787546142,0.00027652832560712216,0.0002809868412647097,0.0017529768486701193,0.015820576076024162,0.0011475220434011132,0.017392907320371354,0.00016844609731726692,0.008725247250384949,0.0022493594135094557,0.0054646379026456575
2022-05-01,0.0007719515829695996,0.0003906649072129898,0.0007388347046008226,0.0004092038705118867,0.002659702105481972,0.0001346872325340327,0.02660256863500532,0.0014958851865921,6.356386007648666e-05,0.0012268266134450759,2.8014233392105318e-05,0.00020302645620708418,0.00014875638040133445,9.839090005731806e-05,0.00047602285883573706,0.07340626791535339,0.007936747588211925,1.565145970276972e-05,0.00027327275550137096,0.00023371764573878085,9.021323878583872e-05,5.3698879355570416e-05,3.970276499269496e-05,0.000988956577178044,0.00027652835016501944,0.00028098684474747395,0.0017529772316422433,0.016052049965179727,0.0011475203134136275,0.01765468880968335,0.00016844607159492201,0.008725246552388821,0.0022493573114763924,0.005464638614281193
2022-06-01,0.0007596248005542854,0.0003906649047755204,0.0007388346668997869,0.00040920370375373,0.0026597017224455496,0.0001229901671632593,0.027203236111014828,0.001495885747478108,6.356386005273278e-05,0.0012268212644341275,3.484626618923873e-05,0.0002017665464696943,0.00014875640394873806,9.839087011438691e-05,0.0004760228577669372,0.07359471422252621,0.007936749711600709,1.5651459691144867e-05,0.00027327257878816276,0.00023371761620104547,9.021327468748264e-05,5.369889558572571e-05,-3.755118597946355e-05,0.0009889564829561263,0.00027652837723821496,0.0002809868526477682,0.001752977577276946,0.016169389831390157,0.001147518748694665,0.017823189004347206,0.0001684460469645255,0.008725246132730255,0.0022493553700739287,0.005464639267495188
2022-07-01,0.0007474020678711836,0.00039066490409862814,0.000738834629489286,0.0004092035574831924,0.002659701379181005,0.0001237470403000224,0.027680021646831143,0.0014958863421661096,6.356386003975793e-05,0.0012268170399398347,4.0735069110561426e-05,0.00020414197738306806,0.0001487564244550878,9.839084520554479e-05,0.00047602284857247383,0.07371971851287969,0.007936751560645472,1.565145968408464e-05,0.00027327241876016367,0.0002337175885296352,9.021332081637577e-05,5.36989068619198e-05,3.6440544472956775e-05,0.000988956371534265,0.0002765284078235056,0.0002809868652065296,0.0017529778787471653,0.016230939931689115,0.0011475174055592583,0.017851456770484386,0.0001684460216500583,0.008725245821328522,0.0022493536348512626,0.0054646397345972765
2022-08-01,0.0007367505836355148,0.00039066490379827134,0.0007388345911278687,0.00040920343164571246,0.002659701089695167,0.00011965327688121216,0.027945831389694753,0.00149588704547167,6.356386003542843e-05,0.0012268140823015062,4.416973077877659e-05,0.00020746167533469218,0.00014875644083899622,9.839082582938243e-05,0.00047602282226882577,0.07374192623191535,0.007936753141014843,1.565145968134552e-05,0.00027327227785632445,0.00023371755702048563,9.021337571689083e-05,5.3698911118688844e-05,7.68947087086369e-05,0.0009889562405143513,0.0002765284461026551,0.0002809868832573641,0.0017529781300807418,0.01633743602007498,0.0011475163120723759,0.017943501069828116,0.00016844599689483348,0.008725245533181962,0.0022493521606343865,0.005464639967714153
2022-09-01,0.0007290273127306603,0.0003906649037302378,0.0007388345520528849,0.0004092033259887477,0.0026597008618558845,0.00011934279489320938,0.028164291589132695,0.0014958878946492796,6.356386003324907e-05,0.0012268123825173725,4.675772410399055e-05,0.00020870416817511412,0.00014875645256067494,9.83908117990982e-05,0.0004760227750678138,0.0737525576579727,0.007936754427752506,1.565145968224831e-05,0.00027327214857280783,0.00023371751955811743,9.021343524941996e-05,5.36989054107047e-05,0.00012673572848418874,0.000988956094808809,0.00027652849243567314,0.0002809869062564691,0.0017529783269263884,0.01649479120956787,0.001147515474766363,0.01813154668167183,0.00016844597572018513,0.008725245266492166,0.0022493509978333205,0.005464639987834368
2022-10-01,0.0007223364714041145,0.00039066490484814236,0.0007388345366190691,0.0004092032747748066,0.002659700753038836,0.00011934410729513561,0.02847540815625349,0.0014958886128477345,6.356386003013244e-05,0.0012268119861867622,5.104542558569891e-05,0.00020684235720135454,0.00014875645668145144,9.839080545257658e-05,0.00047602275924159396,0.07381958618248083,0.00793675509149932,1.5651459684975387e-05,0.00027327206862299126,0.00023371750372800615,9.021346981064622e-05,5.369890684840396e-05,0.00012673596611947232,0.0009889560348336432,0.0002765285089560974,0.00028098691988006193,0.0017529783969466896,0.01662643967624522,0.0011475152030835513,0.018296896304143218,0.00016844596184554308,0.008725245168301967,0.002249350592446527,0.005464639909855211
2022-11-01,0.0007146435749999672,0.0003906649053123086,0.0007388345122033649,0.00040920323196434483,0.0026597006666924223,0.00011934547809962317,0.028887846462142264,0.0014958894525072958,6.356386003135515e-05,0.0012268119432705992,5.62797501405539e-05,0.00020201115224453774,0.00014875645913404277,9.839080124674153e-05,0.00047602273281240303,0.07386095376396727,0.00793675575126585,1.5651459687485434e-05,0.00027327200776376887,0.00023371748509147034,9.021350307312046e-05,5.3698900358168866e-05,0.0001267362068691171,0.0009889559815118242,0.0002765285374273338,0.0002809869351304993,0.0017529784327045114,0.016717300887138187,0.0011475150722731417,0.01837091016832959,0.00016844595007335623,0.008725245111972396,0.002249350358210363,0.005464639763658117
2022-12-01,0.000705083318937433,0.0003906649046864986,0.0007388344797173802,0.0004092031969665084,0.002659700606059087,0.00011934678391106663,0.02933571708568916,0.0014958903471744358,6.356386003492398e-05,0.0012268121196956057,5.945326241301556e-05,0.00019382119398226713,0.00014875646027645467,9.839079880414888e-05,0.00047602269050631065,0.07388049678422703,0.007936756457661273,1.565145968922758e-05,0.00027327196004504005,0.00023371745952302362,9.021353459127894e-05,5.36988846493697e-05,0.00012673645595273974,0.000988955943255809,0.0002765285793768973,0.00028098695023829473,0.0017529784324946897,0.01684059765809076,0.0011475150868472729,0.018476173588555245,0.00016844594205767954,0.008725245109613412,0.002249350293045397,0.005464639582983795
