,Skill: PTC Windchill,Skill: Strong Academic Record,Skill: Valves (Piping),Skill: Solid-State Drives,Skill: Blogs,Skill: Ecology,Skill: Microsoft Teams,Skill: Risk Awareness,Skill: Orthopedics,Skill: Hydraulics,Skill: Financial Sales,Skill: Raiser's Edge NXT,Skill: Inventory Forecasting,Skill: Medical Ventilators,Skill: Algorithm Design,Skill: Information Systems,Skill: Team Foundation Server,Skill: Medical Records Filing,Skill: Brand Loyalty,Skill: Safety Culture,Skill: Equipment Calibration,Skill: Furniture Assembly,Skill: First Article Inspections,Skill: Human Capital,Skill: Logo Design,Skill: Landscape Architecture,Skill: Strategic Sourcing,Skill: Account Management,Skill: Team Effectiveness,Skill: Tire Balancing And Rotation,Skill: Risk Mitigation,Skill: Articulate Storyline,Skill: Technology Strategies,Skill: Organizational Architecture,Skill: Security Testing,Skill: Daily Production Reports,Skill: Technical Sales,Skill: Relational Databases,Skill: Instructional Strategies
2022-03-01,0.00017244343829601592,3.4549883992788526e-05,0.021496398770275753,9.347402808780876e-05,0.00015728692844411204,8.065027789269855e-05,0.0008728914896091311,8.44998392905392e-05,0.00020941327238658967,0.05386405012080674,1.916129454370807e-08,6.846151137690525e-06,9.157885154051864e-05,3.820170888087447e-05,1.624845214097051e-05,0.004755464149975793,0.0003048996256153623,5.838457075716221e-06,1.6528761251335123e-05,0.00479982341539316,0.0031028224663731925,0.0011957214970418802,0.0052579917598680245,0.0007350991619812324,0.00037172567682196164,8.43815438201958e-05,0.000802043163298217,0.0017890185473654196,0.0007923373585815771,0.00028937442760561076,0.0019738784978029075,2.027073688337176e-05,0.0002530279335399105,0.0005079448338550532,0.00013030631742785625,0.0025513958689874247,0.0002624003673872343,0.0007569047896488241,9.32623853274164e-05
2022-04-01,0.00015918327059322767,3.45498542101873e-05,0.02149636067633946,9.335246694811336e-05,0.00014325568092851804,8.065025159662776e-05,0.0008728904280200387,8.449985227971062e-05,0.00020941326064682764,0.05537839851641995,8.327922636979461e-08,6.846151137690525e-06,9.122568488765121e-05,4.5568856810788465e-05,1.6248451630809022e-05,0.0048931819489998266,0.00030489960113880217,5.838457048717533e-06,1.723622807754768e-05,0.00479981499744003,0.003102821404313786,0.0011957218481909414,0.005258000777002688,0.0007350991101009109,0.0003717257367427447,8.438154452329174e-05,0.0008020431508927375,0.0017890184035639692,0.0007923371511514667,0.00028937443245547395,0.001973877780772871,2.027073616542471e-05,0.0002530281405453479,0.0005079445596039905,0.00013030643335532085,0.002551396250088404,0.00029257162828176986,0.0007569050429732119,9.326240156853304e-05
2022-05-01,0.00013811152687094307,3.454981939158238e-05,0.02149632677362743,0.00010515569583110028,0.00013854856687575877,8.065022707009727e-05,0.0008728894131680453,8.449986458414192e-05,0.0002094132533966208,0.056680733732850035,2.149148044997115e-07,6.846151137690525e-06,9.103501175625428e-05,5.220617301304527e-05,1.624845116020867e-05,0.0050030152569719814,0.00030489955592199526,5.8384570233210955e-06,2.1944062872146276e-05,0.004799806883475809,0.0031028204545469323,0.001195722139203868,0.005258009622126225,0.0007350990149443342,0.00037172576139096644,8.43815452486348e-05,0.000802043136144476,0.0017890182276376323,0.0007923369527282907,0.0002893744363857534,0.001973877169998053,2.027073545089464e-05,0.00025302833257340103,0.0005079442999809048,0.0001303065343010326,0.0025513967159320784,0.00033378611694517824,0.0007569052776703627,9.32624157976602e-05
2022-06-01,0.00012829099767084986,3.454978215661937e-05,0.02149630192366356,0.00012775370472114627,0.0001367515155549833,8.06502056414333e-05,0.0008728884622369614,8.449987610179481e-05,0.00020941325023828152,0.058027842329495094,3.8883967103191366e-07,6.846151137690525e-06,9.121614870371018e-05,5.599934714510006e-05,1.6248450744876673e-05,0.005081077354047029,0.0003048994952831879,5.838457000784128e-06,2.637620170624902e-05,0.0047997994490001,0.0031028196207997776,0.0011957223693849818,0.005258018043235603,0.0007350988782738956,0.0003717257600831965,8.438154585094756e-05,0.000802043121291849,0.0017890180460848578,0.0007923367668305815,0.00028937443892320053,0.0019738767581503978,2.027073477582672e-05,0.00025302850327754326,0.0005079440771651105,0.00013030662527346504,0.0025513971984667226,0.0003705672954997514,0.000756905476749385,9.326242723123841e-05
2022-07-01,0.0001341147851348723,3.45497417431387e-05,0.021496288929204712,0.00015227006123404304,0.0001380354906021184,8.065018809833494e-05,0.000872887602810512,8.449988684844293e-05,0.00020941325058955153,0.059365993103154886,5.655118045762238e-07,6.846151137690525e-06,9.163407166243889e-05,6.215883668030605e-05,1.6248450410863165e-05,0.005156363103985987,0.00030489942459774924,5.83845698126115e-06,2.671660848110692e-05,0.004799793011509731,0.0031028189175189703,0.0011957225364368931,0.005258025839016951,0.0007350987207218302,0.00037172573269362224,8.43815464625025e-05,0.0008020431076587041,0.001789017871034452,0.0007923365963283739,0.0002893744403275845,0.001973876557166957,2.027073415419997e-05,0.0002530286494021289,0.0005079439060736163,0.0001303066871465088,0.0025513976445717726,0.00039605654248352895,0.0007569056374179187,9.326243522407334e-05
2022-08-01,0.0001483994426675296,3.454970167818181e-05,0.021496284688961486,0.00016433739216725212,0.00014126508705396832,8.065017381197509e-05,0.0008728868308413438,8.44998966178896e-05,0.00020941325351398136,0.06041361344045035,7.368769035470099e-07,6.846151137690525e-06,9.092474422588766e-05,6.816847806284376e-05,1.6248450164253548e-05,0.005232272164493824,0.0003048993450588359,5.8384569645358e-06,2.7187416374779164e-05,0.004799787899666065,0.0031028183667415393,0.0011957226468328108,0.00525803280294573,0.0007350985566761541,0.0003717256757954074,8.438154724846417e-05,0.0008020430966772078,0.0017890177153848516,0.0007923364458149414,0.00028937444104280103,0.001973876525292102,2.027073360326816e-05,0.00025302876943971114,0.000507943793327163,0.00013030669634299383,0.0025513979993459805,0.0004124619953053513,0.0007569057571434932,9.326243951977741e-05
2022-09-01,0.00016141833042522134,3.454966534766021e-05,0.021496287411755022,0.00015802711254290022,0.0001437498204042882,8.065016194881778e-05,0.000872886155796937,8.449990503707384e-05,0.00020941325781658143,0.06114468434141013,9.097686853894911e-07,6.846151137690525e-06,8.961284092727674e-05,7.236996753935058e-05,1.6248449989915004e-05,0.005298168039656493,0.0003048992563049447,5.838456951307089e-06,3.0332482074128548e-05,0.0047997844995988055,0.003102817981892547,0.0011957227079228392,0.005258038756985705,0.0007350984203574065,0.0003717255856465635,8.438154805058669e-05,0.0008020430884873098,0.0017890175933844273,0.0007923363189166063,0.0002893744413190865,0.001973876608073959,2.027073314886304e-05,0.00025302886337355904,0.0005079437389689154,0.000130306632956393,0.0025513982245178486,0.000432211642052758,0.0007569058339104043,9.326244073158426e-05
2022-10-01,0.00016374064031459096,3.454964447612246e-05,0.021496288912225794,0.00013696182532683731,0.00014374981703217237,8.06501570318135e-05,0.0008728857717898584,8.449990793243147e-05,0.00020941325945365375,0.06143638463296459,1.0826675514843126e-06,6.846151137690525e-06,8.825438259162338e-05,7.7775761431306e-05,1.624844991112753e-05,0.005353357189610812,0.00030489921209928065,5.8384569446207445e-06,3.2471522503044894e-05,0.0047997836872238474,0.003102817877410716,0.0011957227432443265,0.0052580412227298924,0.0007350983453720263,0.000371725535752444,8.438154834829707e-05,0.0008020430852406455,0.0017890175400598377,0.0007923362752543761,0.0002893744411268278,0.001973876655671899,2.027073292737125e-05,0.0002530289026872752,0.0005079437405421667,0.0001303065945542777,0.002551398326811299,0.00046209786393321893,0.0007569058653675671,9.326244057109679e-05
2022-11-01,0.00015292318918925797,3.454962520472198e-05,0.021496292348120602,0.00011657227195503412,0.00014374981421235778,8.065015358974922e-05,0.0008728854288350013,8.44999095049386e-05,0.00020941326025542966,0.06145824966465362,1.2505737140280432e-06,6.846151137690525e-06,8.739204350287648e-05,8.28519563638763e-05,1.624844986371796e-05,0.005397442744490094,0.00030489916339206417,5.838456939780954e-06,3.322117664522052e-05,0.0047997839806625045,0.0031028178536453626,0.0011957227595037082,0.005258043132699426,0.0007350982675681731,0.00037172548410254207,8.43815486861892e-05,0.0008020430843102272,0.001789017499652967,0.000792336251273305,0.00028937444053322525,0.001973876724023772,2.0270732742913628e-05,0.0002530289286992223,0.0005079437713166491,0.00013030654196512022,0.0025513983397257895,0.000499867304955752,0.0007569058840571385,9.326244004411813e-05
2022-12-01,0.0001365134397883562,3.454960874756575e-05,0.02149629854689808,0.00011496478642049774,0.00014374981201618144,8.065015173100825e-05,0.0008728851364336855,8.449990958225731e-05,0.00020941325957726648,0.06136969535232334,1.4146574864942822e-06,6.846151137690525e-06,8.679864315979546e-05,8.675285724102449e-05,1.624844983822225e-05,0.0054348507620194195,0.00030489910747742623,5.838456937064921e-06,3.575346911542043e-05,0.004799785310718504,0.003102817897820253,0.001195722759500718,0.005258044433095266,0.0007350982092137252,0.0003717254261256606,8.438154896006107e-05,0.0008020430862878596,0.0017890174733509166,0.0007923362495997053,0.00028937443970187085,0.001973876796932054,2.027073260577593e-05,0.00025302894141003974,0.0005079438240906861,0.00013030646687279336,0.0025513982321557966,0.0005407201746507605,0.0007569058926385764,9.32624399436589e-05
