,Skill cat: Information Technology,"Skill cat: Maintenance, Repair, and Facility Services",Skill cat: Architecture and Construction,Skill cat: Design,Skill cat: Engineering,Skill cat: Media and Communications,Skill cat: Business,Skill cat: Health Care,Skill cat: Finance,Skill cat: Human Resources,Skill cat: Manufacturing and Production,Skill cat: Marketing and Public Relations,Skill cat: Energy and Utilities,Skill cat: Customer and Client Support,Skill cat: Education and Training,Skill cat: Public Safety and National Security,Skill cat: Science and Research,Skill cat: Analysis,Skill cat: Environment,"Skill cat: Transportation, Supply Chain, and Logistics","Skill cat: Law, Regulation, and Compliance",Skill cat: Physical and Inherent Abilities,Skill cat: Administration,Skill cat: Social and Human Services,Skill cat: Sales,"Skill cat: Performing Arts, Sports, and Recreation","Skill cat: Economics, Policy, and Social Studies","Skill cat: Agriculture, Horticulture, and Landscaping",Skill cat: Personal Care and Services,Skill cat: Hospitality and Food Services,Skill cat: Property and Real Estate
2021-08-01,0.33145103884393806,0.1288488373719314,0.07091811396939919,0.04017115480358908,0.08054163076967134,0.5128796507884938,0.5032236953610497,0.25426023778050694,0.21363695571709243,0.074120389499815,0.11011819526742211,0.12650348488043753,0.014097382001236154,0.3131101461945133,0.10573895419782085,0.03757820450374071,0.12024666551196193,0.15140795380304,0.016302176615744908,0.24450341017305507,0.2988479809828762,0.6179727493535052,0.2837297410338319,0.02530302568651628,0.27766731144063905,0.006711641566441236,0.044271116645065306,0.007050482793885221,0.005947288332134622,0.08837243156516476,0.01380270366299195
2021-09-01,0.3255525167947448,0.11559744464159376,0.0749942817608217,0.03832979775237409,0.0802807455722986,0.49761979277362184,0.4892181925422505,0.2562802511662113,0.21369538426875506,0.06703715742294616,0.1121206211688244,0.120502238468578,0.015171523480323997,0.29201146123374366,0.11710876936109856,0.03631466898054488,0.11840722089308812,0.15642253351744678,0.01757285827999388,0.27010561388205834,0.3111357299367022,0.6088328095166256,0.2737607023005212,0.025213150009865862,0.2725512617409437,0.00661807704516298,0.05045413415933845,0.00660856743626929,0.005522957560553488,0.09327106908346713,0.013772705648660306
2021-10-01,0.3185385904182029,0.11618059862871094,0.06699210075102471,0.04452412825337819,0.07693340034739352,0.45036322819878377,0.5211729213179734,0.2373198523271918,0.2354108418532922,0.06811944980353304,0.10929983065501754,0.12533873864547881,0.013339200372120932,0.3134693649817869,0.11298799025599604,0.036659453981773796,0.12791663090343622,0.13969658959333547,0.018255970415290024,0.2111151872354183,0.31918045749677937,0.5902911124827276,0.283245415447369,0.025688510804363313,0.28133881800870514,0.00783609100937819,0.048210948146159664,0.007376499972828814,0.005269276975296202,0.091364996095197,0.014522806221284388
2021-11-01,0.306219641827061,0.12112259878843096,0.07190291917270197,0.042893419019494616,0.080412440278676,0.4472479370647551,0.56629494632173,0.25844525463379636,0.21757885047079822,0.07566961073627246,0.11731350358456048,0.13785723070756384,0.01436063208778621,0.32312007606807286,0.10646456017515181,0.03544154939151685,0.12299406331078692,0.16156961408595402,0.015255980319850298,0.24314086377953062,0.3034864086772343,0.6023430602899643,0.2711446184647601,0.023644346627375513,0.2303326120885395,0.006319691963091962,0.04878152135254133,0.008434409834331814,0.005436569099529965,0.09705433392487593,0.014403465810136636
2021-12-01,0.32835904409919436,0.1129106684023149,0.07438096180499436,0.039013443745613864,0.08244284597341633,0.4907462860865392,0.5217160886886074,0.2369776859821506,0.24788976082794328,0.06989597619094015,0.11315854090010753,0.13792990719401596,0.012782396966940586,0.3173566426421024,0.11166686692906129,0.03650548839701644,0.1121848997257676,0.14446279468456324,0.01515851767142831,0.29886316324179507,0.309276446642844,0.6023818294691561,0.26821223608372047,0.02576574961425767,0.27909750839652325,0.0060978390995058696,0.046540253604675515,0.006998989193040997,0.004154724478159384,0.0864183061338331,0.015260861327072245
2022-01-01,0.3250337731236934,0.1265486446498961,0.07970103037397319,0.03402387585658812,0.07513885543281497,0.5353870686494191,0.45564974358481597,0.25374743379527565,0.2348333743748083,0.06708648712511223,0.11694404531199672,0.12380969413740539,0.01493062100059441,0.30545432992733634,0.10859638386570702,0.03665643200700846,0.12108620838706667,0.14733289590352663,0.015795724129322713,0.24673019956738287,0.3048102136926105,0.6037867441595749,0.2881959892227287,0.024785702809683927,0.25889032810639234,0.0081597325687881,0.052605603716999357,0.007064089637501421,0.005083270855996252,0.09653996171007327,0.01474519589592295
2022-02-01,0.30945367679429586,0.11699986602856087,0.06958892090788137,0.03890640810111493,0.07681531087978728,0.5137897719889176,0.4831799211306695,0.23771631663970413,0.21731573736754906,0.07373770408997841,0.11585098094997057,0.12737069059131464,0.013075704296461575,0.3040782376899513,0.10538328257256777,0.03569491367652741,0.11528160119007055,0.14535125861913833,0.01859620718503788,0.23301907343615408,0.32505701324868846,0.6201734901501632,0.2918716830115991,0.02420330388939042,0.24799672065452819,0.007041718338827135,0.046936956205266084,0.007101212043966575,0.005870398645706894,0.09690739417929517,0.014603782284393024
2022-03-01,0.3245638118855123,0.11829133405641412,0.07742118282287837,0.0394784827312972,0.07696886704007509,0.5265160650023573,0.4983212569472184,0.2211884487678502,0.22782771231813803,0.08080210780621114,0.11316464044474239,0.15350731265537884,0.014947037053342827,0.2931542192856839,0.11211659385422451,0.03701181870952248,0.12189113973261974,0.15285622933916695,0.016020608453265545,0.23685665997185082,0.30626026081892854,0.6331919729012976,0.2999400841445821,0.024969732233953205,0.28101242466735576,0.007036151655882112,0.050641465584889314,0.007203735923312362,0.005513872725360374,0.08737981456494853,0.01362543062634594
2022-04-01,0.30974365004397447,0.12218935699485228,0.07151647525761941,0.04173032593101175,0.07966924054821403,0.48621457073068497,0.434872841572071,0.2379851929659265,0.2538240170745935,0.07293906071558413,0.11046782653435167,0.13760673559794467,0.013506799143653027,0.2950201465876493,0.11164557319945367,0.036911710599633905,0.12476745091059548,0.14859228211265438,0.016183281714707568,0.23674262309483632,0.3084348172856687,0.5777386471914819,0.2958574602133939,0.02482150769529985,0.24797155938132853,0.006798048537076277,0.049426648836630546,0.00830667647352739,0.005062129367257614,0.09937482862455399,0.01432758164377894
2022-05-01,0.3300404070514587,0.1167845617485752,0.07567068175102495,0.03506392725730914,0.08177107195736084,0.4731561125001548,0.4800700473744696,0.25004298404672975,0.24849404793170599,0.07557227393419544,0.11579652202849362,0.14826739925762775,0.013846939302801627,0.32471241574048565,0.10663189085326423,0.036700381518836964,0.11596318230308689,0.1393734347308078,0.017550484956373052,0.25290403246191384,0.30767231548412066,0.6143171756787852,0.28111287114956823,0.025436105098218153,0.26209071598315553,0.007028881500535179,0.05046727635453304,0.008149777145814113,0.0060289334243973985,0.0845587650551688,0.013709868646646013
