,Skill cat: Information Technology,"Skill cat: Maintenance, Repair, and Facility Services",Skill cat: Architecture and Construction,Skill cat: Design,Skill cat: Media and Communications,Skill cat: Business,Skill cat: Health Care,Skill cat: Finance,Skill cat: Human Resources,Skill cat: Manufacturing and Production,Skill cat: Marketing and Public Relations,Skill cat: Energy and Utilities,Skill cat: Customer and Client Support,Skill cat: Education and Training,Skill cat: Public Safety and National Security,Skill cat: Science and Research,Skill cat: Analysis,Skill cat: Environment,"Skill cat: Transportation, Supply Chain, and Logistics","Skill cat: Law, Regulation, and Compliance",Skill cat: Physical and Inherent Abilities,Skill cat: Administration,Skill cat: Social and Human Services,Skill cat: Sales,"Skill cat: Performing Arts, Sports, and Recreation","Skill cat: Agriculture, Horticulture, and Landscaping",Skill cat: Personal Care and Services,Skill cat: Hospitality and Food Services,Skill cat: Property and Real Estate
2023-08-01,0.3401751418764343,0.12772663047620791,0.07458269980531619,0.04435849392252015,0.4967005445486559,0.5034217669183536,0.241190211414985,0.22729012556656353,0.07939780242353876,0.12031700038173981,0.14242122485785683,0.013977569636628294,0.33146309574841354,0.11352357525227955,0.03751119069057114,0.12217816772223777,0.14809944948940745,0.016966573014955858,0.22854881139637187,0.32919695324675424,0.6428717933070711,0.2893993226372226,0.025263776650154758,0.2640539429829734,0.007285297676877373,0.0079351987780297,0.0066209882114826825,0.10237717996553385,0.014070940736884426
2023-09-01,0.34359933030571055,0.12853693179507011,0.0751197782707372,0.044818514740809674,0.4998291440216194,0.50649646411339,0.2381669643345319,0.2294564503063524,0.08022027755321823,0.12165205837435715,0.143103724380838,0.014272467629712333,0.33589568973000977,0.11494137812209088,0.03810606257825754,0.12281821178277688,0.14827851272376164,0.017014190205654048,0.22579711423035814,0.33493196853332763,0.6476231202251248,0.2906129803512073,0.02552949774204429,0.26468633749663717,0.007531999556706843,0.007941613852565872,0.006800277721130172,0.10295108361527786,0.014193720536057521
2023-10-01,0.34721497796083606,0.12959231179296457,0.07570961688608793,0.044942816871519756,0.5018149552158085,0.508813749007263,0.235110803565174,0.23116160358407245,0.08057492648583134,0.12260172989403179,0.14276958100562925,0.014663899133163828,0.3378165574973374,0.11658211283703046,0.03889499819883839,0.12296567232946955,0.14789364288161033,0.017047299076916433,0.2232122767592324,0.3411641416519843,0.6515683045871825,0.2909931702412127,0.025826767775647318,0.26415477320113345,0.007752554126017166,0.007964054508109523,0.007013985983637273,0.10310798094266674,0.014295309619414973
2023-11-01,0.349647189969409,0.130515033737981,0.07628880157158326,0.04444730607739773,0.5006543649149192,0.508393991173224,0.23210713853756482,0.23116496951178886,0.08034218701525137,0.12249175523902565,0.14073052921070459,0.015031199491480685,0.3377301663177054,0.11768564135368487,0.03959193574406253,0.12220721338777701,0.14673027200568003,0.017068290572875226,0.222849482679697,0.34789048299355385,0.6523732792591783,0.28937775617913886,0.026163911602091274,0.2618563368883006,0.007894084486275103,0.007966530925586033,0.00728988424511876,0.10236313357251237,0.014274662005911898
2023-12-01,0.3493213684685581,0.1311855069957264,0.07704990176196566,0.043269156395696715,0.4957074906337208,0.5036638801678808,0.22923070325161402,0.22894113792052231,0.07941965312082422,0.12119175785293698,0.13709868489577795,0.015296468231527784,0.3355060712308233,0.11771918104734032,0.0399886678291881,0.12039931792669754,0.14444983926520927,0.017079843381262252,0.22555813504096173,0.355112646926697,0.6485936933028728,0.28527785712632664,0.026553267003864393,0.25767635680150014,0.007919771243282763,0.007937233790791776,0.0076278048910457955,0.10029109002592586,0.01412103659273019
2024-01-01,0.3462328060926745,0.13149955592867069,0.0776283897685782,0.041602952795645555,0.4876972619701259,0.49575733595791127,0.2265407807918505,0.22517266932415705,0.07816055805331457,0.11941612166332978,0.1324610686521366,0.015506418036403083,0.3331740753332749,0.11628611428503456,0.040110141626016955,0.11799629180702915,0.1415401360144528,0.01708481781512453,0.2311405252154517,0.36283777498567127,0.6414083853960857,0.2796077710576687,0.027011362323246607,0.252281066831262,0.007823322590055842,0.007938125395911336,0.007946941945381538,0.09759101621217325,0.013918488694456858
2024-02-01,0.3412010109944217,0.13115072869833214,0.07831714049287145,0.0397200606935224,0.47716342576570053,0.48563381389286153,0.2240769485843402,0.22020967700771216,0.0765363874942904,0.11797762021294589,0.1274971017283342,0.015586048944880446,0.3307815164613067,0.11376382262013607,0.03999081438882724,0.11520807556854226,0.13842979764542696,0.01708614904155037,0.23916874897919332,0.3710791240316323,0.6318559480405282,0.2729485620830198,0.027558867777786794,0.2460756017106684,0.0076723296094254115,0.007958755393232275,0.008151099929933896,0.09453135144156286,0.013703592348860377
2024-03-01,0.33570271548094316,0.13054532879040753,0.07943079952347876,0.037905562829474035,0.4657917738521743,0.4741575920772095,0.22185554210833516,0.21487117647638118,0.074579291597983,0.11715047161144684,0.12279933370337898,0.015517405706268866,0.32769507251421015,0.11153421305637369,0.039807457041686985,0.11242284419924062,0.1352173582181627,0.01708674332395972,0.2477201872619724,0.37985648413271633,0.6211594909168954,0.26613270662503175,0.028220316874530617,0.23931355433463217,0.007539523459400513,0.007979623969786558,0.008120683678918349,0.0910500548600785,0.013522566907131191
2024-04-01,0.32971899477670946,0.13051155977241338,0.08119467228010677,0.036087418657542863,0.4542248991971819,0.4621315805010764,0.2198670075939707,0.20920237138128833,0.07253872761121816,0.11682719183027493,0.11809426433829344,0.015484833100003627,0.32377304445565364,0.11009169647542963,0.03976922174909052,0.10976919897158806,0.13196929950606337,0.01708938065104587,0.2560273234744435,0.3891963987299457,0.6104386726691919,0.25934482368179684,0.029023611495665062,0.23210356355800116,0.007434799248072285,0.00806585475578623,0.00790600357447303,0.08749134403586328,0.013334479445246787
2024-05-01,0.3230637558748412,0.1312757629015117,0.08324896691156315,0.03412803353962991,0.44275211541056375,0.45013888330510216,0.21807427802145068,0.20300022626070532,0.07043213065289608,0.11626013818383221,0.11315498376735095,0.015514801709918456,0.318801421464283,0.10892334480308655,0.03973179358492979,0.10702791998932809,0.12883592442765007,0.01709662673251306,0.2634180282091279,0.3991322061652749,0.6003883986063857,0.2523360071140917,0.02999934159556549,0.22463475024518015,0.007301708543205515,0.008187545687550419,0.007627086424236638,0.08426448695138938,0.013093001376810479
