,Skill: Strong Academic Record,Skill: Valves (Piping),Skill: Solid-State Drives,Skill: Blogs,Skill: Ecology,Skill: Microsoft Teams
2022-03-01,1.1087234672863945e-05,0.00015550496767357844,2.3446422760830743e-05,2.6062481974640112e-05,5.9613852629076005e-05,0.00018853073738059028
2022-04-01,1.2030756433192715e-05,0.0001555049690688519,2.3446422811294994e-05,2.6062482180179433e-05,5.9613830337386515e-05,0.0001885305280409259
2022-05-01,1.2762105952658523e-05,0.00015550496067817844,2.344642285162016e-05,2.6062482371405445e-05,5.961380612916519e-05,0.00018853032317482746
2022-06-01,1.4290132143436832e-05,0.00015550494274532193,2.3446422886423218e-05,2.606248254180161e-05,5.961377966475963e-05,0.0001885301250883725
2022-07-01,1.559371599831392e-05,0.00015550491582304874,2.3446422914488262e-05,2.606248268601216e-05,5.9613751373018546e-05,0.000188529940434148
2022-08-01,1.569930322708772e-05,0.00015550488352283328,2.3446422928427667e-05,2.606248280299817e-05,5.961372250936856e-05,0.00018852977772380758
2022-09-01,1.48925480355957e-05,0.00015550485014716967,2.344642292778824e-05,2.6062482891554385e-05,5.961369363456003e-05,0.0001885296401303409
2022-10-01,1.3587998745097927e-05,0.00015550482870947265,2.344642293881397e-05,2.6062482916208387e-05,5.961367647002856e-05,0.0001885295677169292
2022-11-01,1.281569912748805e-05,0.00015550480829953973,2.3446422938530574e-05,2.606248292264167e-05,5.961365973226138e-05,0.00018852950375289844
2022-12-01,1.2518541835472363e-05,0.00015550479139492506,2.3446422920466784e-05,2.606248290888593e-05,5.96136446676741e-05,0.00018852944895536222
2023-01-01,1.2015528177102482e-05,0.0001555047913948453,2.3446422920466784e-05,2.6062482908885933e-05,5.961364466762313e-05,0.00018852944895489818
2023-02-01,1.1811877458183799e-05,0.00015550479139476696,2.3446422920466784e-05,2.6062482908885933e-05,5.96136446675781e-05,0.00018852944895452137
2023-03-01,1.1898677115876928e-05,0.00015550479139469405,2.3446422920466784e-05,2.6062482908885933e-05,5.961364466753936e-05,0.00018852944895422568
2023-04-01,1.1706213562295055e-05,0.00015550479139463013,2.3446422920466784e-05,2.6062482908885933e-05,5.9613644667507304e-05,0.000188529448954004
