,Skill: Strong Academic Record,Skill: Valves (Piping),Skill: Solid-State Drives,Skill: Blogs,Skill: Ecology,Skill: Microsoft Teams,Skill: Orthopedics,Skill: Hydraulics,Skill: Financial Sales,Skill: Raiser's Edge NXT,Skill: Inventory Forecasting,Skill: Medical Ventilators
2022-03-01,5.734605911858327e-05,0.000509479921218872,9.477714856312722e-06,6.969847083439434e-05,0.00012540822819796362,0.0005005801501792987,0.00012575754660389872,0.00022364718451896765,0.00012061405617950484,0.0006707258374215824,0.00027092321655880193,3.317893187342265e-05
2022-04-01,5.7346027424064826e-05,0.0005094802542689487,9.477714642540102e-06,6.835178594878942e-05,0.00012540822632203382,0.0005005794913833185,0.0001257575447273987,0.00022364769224444218,0.0001206139755271135,0.0006963495781747786,0.0002709231581682939,3.141715731188972e-05
2022-05-01,5.7345995881379594e-05,0.0005094805666060544,9.477714449087933e-06,7.596188841867581e-05,0.00012540822217673453,0.0005005788753871058,0.00012575755214815876,0.00022364823308467722,0.00012061392640711684,0.0007247795454132048,0.0002709230977062354,2.877195885922996e-05
2022-06-01,5.734596665383092e-05,0.0005094808515582136,9.477714281128818e-06,8.897925123528362e-05,0.00012540821654461913,0.000500578299285741,0.0001257575664166972,0.00022364882516936422,0.00012061390430646075,0.0007514365197763914,0.0002709230392808549,2.5213320476821937e-05
2022-07-01,5.7345940356043935e-05,0.0005094810738932464,9.47771414083598e-06,0.00010044902968208346,0.0001254082101055471,0.0005005777584376924,0.00012575758768764995,0.0002236494631208064,0.0001206139051649024,0.0007709262074825298,0.0002709229857888737,2.099406617299592e-05
2022-08-01,5.734591772513998e-05,0.0005094812288475632,9.4777140287664e-06,0.00010645800303039713,0.00012540820369587698,0.0005005772224152188,0.00012575761548410896,0.00022365009104602208,0.0001206139217308818,0.000783917200951172,0.00027092293742962366,1.7712088090629432e-05
2022-09-01,5.7345899411856353e-05,0.0005094813255240242,9.477713944920208e-06,0.00010743686593910819,0.00012540819823687502,0.0005005766763061128,0.00012575764594706225,0.00022365065526556017,0.00012061394701952652,0.0007994654087764936,0.0002709228945769896,1.7414176266081598e-05
2022-10-01,5.734588935970978e-05,0.0005094813926954878,9.477713914605605e-06,0.00010691989453496511,0.00012540819631899408,0.0005005764234368738,0.0001257576666134848,0.00022365096952834933,0.000120613962736778,0.0008233307026061748,0.0002709228751999168,2.1349836922163687e-05
2022-11-01,5.73458821677336e-05,0.0005094814311180817,9.477713898045198e-06,0.00010698610738861445,0.00012540819616833467,0.000500576157955958,0.00012575768541764218,0.00022365126824297547,0.00012061397870552422,0.000850133101489924,0.000270922858760883,2.9027442508768538e-05
2022-12-01,5.734587692187967e-05,0.0005094814350992958,9.477713893140362e-06,0.00010953091603312673,0.00012540819846173197,0.0005005758707583076,0.00012575770021129674,0.00022365153991847953,0.00012061399199766236,0.0008699771017468764,0.00027092284454538067,3.818188588363619e-05
2023-01-01,5.734587692185577e-05,0.0005094814351008973,9.477713893140362e-06,0.00011517683802756344,0.00012540819846173102,0.0005005758707551226,0.00012575770021135745,0.00022365153992780708,0.00012061399199766758,0.0008814509404650342,0.0002709228445453374,4.6498339258364986e-05
2023-02-01,5.7345876921836646e-05,0.000509481435102153,9.47771389314036e-06,0.0001237615944063702,0.00012540819846173064,0.0005005758707525026,0.00012575770021141722,0.00022365153993598265,0.00012061399199768668,0.0008919559512168771,0.00027092284454530364,5.305504518583139e-05
2023-03-01,5.734587692182199e-05,0.0005094814351030807,9.47771389314036e-06,0.00013348685707417608,0.0001254081984617307,0.0005005758707503977,0.00012575770021147278,0.00022365153994295664,0.0001206139919977119,0.0009070579014010766,0.0002709228445452782,5.82192615323247e-05
2023-04-01,5.734587692181126e-05,0.0005094814351037065,9.47771389314036e-06,0.00014239957545173984,0.00012540819846173097,0.0005005758707487584,0.00012575770021152184,0.00022365153994864442,0.00012061399199773757,0.0009244154009046145,0.00027092284454526005,6.27547794404757e-05
2023-05-01,5.73458769218039e-05,0.0005094814351040952,9.47771389314036e-06,0.00014846019441208723,0.00012540819846173135,0.0005005758707475358,0.00012575770021156223,0.00022365153995297196,0.00012061399199775963,0.000939292142885514,0.0002709228445452477,6.716532227405684e-05
2023-06-01,5.7345876921799275e-05,0.000509481435104318,9.47771389314036e-06,0.00015129311294884588,0.00012540819846173162,0.0005005758707466938,0.0001257577002115921,0.00022365153995597777,0.00012061399199777592,0.0009508259845214288,0.00027092284454524005,7.173710992092002e-05
2023-07-01,5.7345876921796775e-05,0.000509481435104437,9.47771389314036e-06,0.00015188604376672397,0.0001254081984617317,0.0005005758707462011,0.00012575770021161097,0.0002236515399578071,0.00012061399199778584,0.0009607420470143151,0.00027092284454523604,7.673197598633261e-05
2023-08-01,5.734587692179543e-05,0.0005094814351044831,9.47771389314036e-06,0.00015234224765536968,0.0001254081984617317,0.0005005758707458845,0.0001257577002116224,0.00022365153995898126,0.00012061399199779175,0.0009694159098585618,0.0002709228445452338,8.203302384605911e-05
2023-09-01,5.734587692179489e-05,0.0005094814351044875,9.47771389314036e-06,0.00015416938498783798,0.00012540819846173162,0.0005005758707457314,0.00012575770021162734,0.00022365153995953846,0.00012061399199779422,0.0009766516737133686,0.00027092284454523284,8.668616308403311e-05
2023-10-01,5.734587692179489e-05,0.0005094814351044875,9.47771389314036e-06,0.0001580106828471709,0.00012540819846173162,0.0005005758707457314,0.00012575770021162734,0.00022365153995953857,0.00012061399199779422,0.0009840584690665075,0.00027092284454523284,8.920427079235014e-05
2023-11-01,5.734587692179489e-05,0.0005094814351044875,9.47771389314036e-06,0.00016312398717296925,0.00012540819846173162,0.0005005758707457314,0.00012575770021162734,0.00022365153995953862,0.00012061399199779422,0.0009931836054623102,0.00027092284454523284,8.859591983436998e-05
2023-12-01,5.734587692179489e-05,0.0005094814351044875,9.47771389314036e-06,0.00016823428435657254,0.00012540819846173162,0.0005005758707457314,0.00012575770021162734,0.00022365153995953867,0.00012061399199779422,0.0010021490140276175,0.00027092284454523284,8.513928371295944e-05
2024-01-01,5.734587692179489e-05,0.0005094814351044875,9.47771389314036e-06,0.00017192012694538172,0.00012540819846173162,0.0005005758707457314,0.00012575770021162734,0.0002236515399595387,0.00012061399199779422,0.0010074746132123318,0.00027092284454523284,8.008848536182356e-05
2024-02-01,5.734587692179489e-05,0.0005094814351044875,9.47771389314036e-06,0.00017351922760582247,0.00012540819846173162,0.0005005758707457314,0.00012575770021162734,0.00022365153995953873,0.00012061399199779422,0.001009206385931634,0.00027092284454523284,7.465045371702569e-05
2024-03-01,5.734587692179489e-05,0.0005094814351044875,9.47771389314036e-06,0.00017307950119486564,0.00012540819846173162,0.0005005758707457314,0.00012575770021162734,0.00022365153995953875,0.00012061399199779422,0.0010113067424879073,0.00027092284454523284,6.930915931283745e-05
2024-04-01,5.734587692179489e-05,0.0005094814351044875,9.47771389314036e-06,0.00017148619529233974,0.00012540819846173162,0.0005005758707457314,0.00012575770021162734,0.00022365153995953875,0.00012061399199779422,0.0010162601453496537,0.00027092284454523284,6.400340159035845e-05
2024-05-01,5.734587692179489e-05,0.0005094814351044875,9.47771389314036e-06,0.0001698071739362003,0.00012540819846173162,0.0005005758707457314,0.00012575770021162734,0.00022365153995953875,0.00012061399199779422,0.001021905558999801,0.00027092284454523284,5.863655695920736e-05
2024-06-01,5.734587692179489e-05,0.0005094814351044875,9.47771389314036e-06,0.00016896908751553707,0.00012540819846173162,0.0005005758707457314,0.00012575770021162734,0.00022365153995953875,0.00012061399199779422,0.0010249333405779309,0.00027092284454523284,5.321145617682656e-05
2024-07-01,5.734587692179489e-05,0.0005094814351044875,9.47771389314036e-06,0.00016918786258507702,0.00012540819846173162,0.0005005758707457314,0.00012575770021162734,0.00022365153995953875,0.00012061399199779422,0.0010253961398969844,0.00027092284454523284,4.760953524550212e-05
2024-08-01,5.734587692179489e-05,0.0005094814351044875,9.47771389314036e-06,0.00017008821105688534,0.00012540819846173162,0.0005005758707457314,0.00012575770021162734,0.00022365153995953875,0.00012061399199779422,0.001025835528755253,0.00027092284454523284,4.159116069072946e-05
2024-09-01,5.734587692179489e-05,0.0005094814351044875,9.47771389314036e-06,0.00017082229483630102,0.00012540819846173162,0.0005005758707457314,0.00012575770021162734,0.00022365153995953875,0.00012061399199779422,0.001027374495436254,0.00027092284454523284,3.522856233662629e-05
